exercise,question,answer,german,english,french,explanation_english,explanation_french,opposite,type
1,,hier,,here,ici,hier = here,hier = ici,dort,local
1,,immer,,always,toujours,immer = always,immer = toujours,nie,temporal - frequency
1,,jetzt,,now,maintenant,jetzt = now,jetzt = maintenant,,temporal - point in time
1,,sehr,,very,très,sehr = very,sehr = très,,modal
1,,bald,,soon,bientôt,bald = soon,bald = bientôt,,temporal - point in time
1,,gestern,,yesterday,hier,gestern = yesterday,gestern = hier,morgen,temporal - point in time
1,,heute,,today,aujourd'hui,heute = today,heute = aujourd'hui,,temporal - point in time
1,,morgen,,tomorrow,demain,morgen = tomorrow,morgen = demain,gestern,temporal - point in time
1,,manchmal,,sometimes,parfois,manchmal = sometimes,manchmal = parfois,,temporal - frequency
1,,dort,,there,là,dort = there,dort = là,hier,local
2,Ich bin _____.,hier,Ich bin hier.,I am here.,Je suis là.,hier = here,hier = ici,,
2,_____ ist es sehr ruhig.,Hier,Hier ist es sehr ruhig.,It is very quiet here.,C'est très calme ici.,hier = here,hier = ici,,
2,Wir treffen uns _____.,hier,Wir treffen uns hier.,We are meeting here.,Nous nous réunissons ici.,hier = here,hier = ici,,
2,_____ gibt es ein gutes Restaurant.,Hier,Hier gibt es ein gutes Restaurant.,There is a good restaurant here.,Il y a un bon restaurant ici.,hier = here,hier = ici,,
2,Mein Auto steht _____.,hier,Mein Auto steht hier.,My car is parked here.,Ma voiture est garée ici.,hier = here,hier = ici,,
2,Ich bin _____ müde.,sehr,Ich bin sehr müde.,I am very tired.,Je suis très fatigué.,sehr = very,sehr = très,,
2,Das Essen schmeckt _____ gut.,sehr,Das Essen schmeckt sehr gut.,The food tastes very good.,La nourriture a très bon goût.,sehr = very,sehr = très,,
2,Er spricht _____ langsam.,sehr,Er spricht sehr langsam.,He speaks very slowly.,Il parle très lentement.,sehr = very,sehr = très,,
2,Wir sind _____ glücklich.,sehr,Wir sind sehr glücklich.,We are very happy.,Nous sommes très heureux.,sehr = very,sehr = très,,
2,Das Wetter ist heute _____ schön.,sehr,Das Wetter ist heute sehr schön.,The weather is very nice today.,Il fait très beau aujourd'hui.,sehr = very,sehr = très,,
2,Ich bin _____ müde.,jetzt,Ich bin jetzt müde.,I am tired now.,Je suis fatigué maintenant.,jetzt = now,jetzt = maintenant,,
2,Wir gehen _____ nach Hause.,jetzt,Wir gehen jetzt nach Hause.,We are going home now.,Nous rentrons à la maison maintenant.,jetzt = now,jetzt = maintenant,,
2,Er arbeitet _____ im Büro.,jetzt,Er arbeitet jetzt im Büro.,He is working in the office now.,Il travaille au bureau maintenant.,jetzt = now,jetzt = maintenant,,
2,_____ ist es sehr kalt draußen.,Jetzt,Jetzt ist es sehr kalt draußen.,It is very cold outside now.,Il fait très froid dehors maintenant.,jetzt = now,jetzt = maintenant,,
2,Ich rufe dich _____ an.,jetzt,Ich rufe dich jetzt an.,I am calling you now.,Je t'appelle maintenant.,jetzt = now,jetzt = maintenant,,
2,_____ habe ich einen Termin beim Arzt.,Morgen,Morgen habe ich einen Termin beim Arzt.,Tomorrow I have an appointment with the doctor.,Demain j'ai rendez-vous chez le médecin.,morgen = tomorrow,morgen = demain,,
2,Wir fahren _____ nach Berlin.,morgen,Wir fahren morgen nach Berlin.,We are going to Berlin tomorrow.,Nous allons à Berlin demain.,morgen = tomorrow,morgen = demain,,
2,_____ beginnt die Schule wieder.,Morgen,Morgen beginnt die Schule wieder.,School starts again tomorrow.,L'école recommence demain.,morgen = tomorrow,morgen = demain,,
2,Ich rufe dich _____ an.,morgen,Ich rufe dich morgen an.,I will call you tomorrow.,Je t'appellerai demain.,morgen = tomorrow,morgen = demain,,
2,Das Wetter soll _____ schön sein.,morgen,Das Wetter soll morgen schön sein.,The weather is supposed to be nice tomorrow.,Il est prévu que le temps soit beau demain.,morgen = tomorrow,morgen = demain,,
2,_____ war das Wetter schön.,Gestern,Gestern war das Wetter schön.,Yesterday the weather was nice.,"Hier, il faisait beau.",gestern = yesterday,gestern = hier,,
2,Ich habe _____ einen Film gesehen.,gestern,Ich habe gestern einen Film gesehen.,I watched a movie yesterday.,J'ai regardé un film hier.,gestern = yesterday,gestern = hier,,
2,Wir waren _____ im Park.,gestern,Wir waren gestern im Park.,We were in the park yesterday.,Nous étions au parc hier.,gestern = yesterday,gestern = hier,,
2,Er hat mich _____ angerufen.,gestern,Er hat mich gestern angerufen.,He called me yesterday.,Il m'a appelé hier.,gestern = yesterday,gestern = hier,,
2,_____ hatte ich viel zu tun.,Gestern,Gestern hatte ich viel zu tun.,Yesterday I had a lot to do.,"Hier, j'avais beaucoup à faire.",gestern = yesterday,gestern = hier,,
2,_____ ist ein schöner Tag.,Heute,Heute ist ein schöner Tag.,Today is a beautiful day.,Aujourd'hui est une belle journée.,heute = today,heute = aujourd'hui,,
2,Ich gehe _____ einkaufen.,heute,Ich gehe heute einkaufen.,I am going shopping today.,Je vais faire du shopping aujourd'hui.,heute = today,heute = aujourd'hui,,
2,Wir haben _____ keine Schule.,heute,Wir haben heute keine Schule.,We have no school today.,Nous n'avons pas école aujourd'hui.,heute = today,heute = aujourd'hui,,
2,_____ schauen wir einen Film.,Heute,Heute schauen wir einen Film.,Today we are watching a movie.,"Aujourd'hui, nous regardons un film.",heute = today,heute = aujourd'hui,,
2,Ich besuche meine Oma _____.,heute,Ich besuche meine Oma heute.,I am visiting my grandma today.,Je rends visite à ma grand-mère aujourd'hui.,heute = today,heute = aujourd'hui,,
2,Ich bin _____ pünktlich.,immer,Ich bin immer pünktlich.,I am always on time.,Je suis toujours à l'heure.,immer = always,immer = toujours,,
2,Er ist _____ freundlich.,immer,Er ist immer freundlich.,He is always friendly.,Il est toujours amical.,immer = always,immer = toujours,,
2,Wir essen _____ zusammen.,immer,Wir essen immer zusammen.,We always eat together.,Nous mangeons toujours ensemble.,immer = always,immer = toujours,,
2,Das Wetter ist hier _____ schön.,immer,Das Wetter ist hier immer schön.,The weather is always nice here.,Il fait toujours beau ici.,immer = always,immer = toujours,,
2,Ich trinke _____ Kaffee am Morgen.,immer,Ich trinke immer Kaffee am Morgen.,I always drink coffee in the morning.,Je bois toujours du café le matin.,immer = always,immer = toujours,,
2,Ich komme _____ zurück.,bald,Ich komme bald zurück.,I will be back soon.,Je reviendrai bientôt.,bald = soon,bald = bientôt,,
2,Wir sehen uns _____ wieder.,bald,Wir sehen uns bald wieder.,We will see each other again soon.,On se reverra bientôt.,bald = soon,bald = bientôt,,
2,Er wird _____ Vater.,bald,Er wird bald Vater.,He will be a father soon.,Il sera bientôt papa.,bald = soon,bald = bientôt,,
2,_____ beginnt der Sommer.,Bald,Bald beginnt der Sommer.,Summer will start soon.,L'été va bientôt commencer.,bald = soon,bald = bientôt,,
2,Das Essen ist _____ fertig.,bald,Das Essen ist bald fertig.,The food will be ready soon.,La nourriture sera bientôt prête.,bald = soon,bald = bientôt,,
2,Ich gehe _____ ins Kino.,manchmal,Ich gehe manchmal ins Kino.,I sometimes go to the cinema.,Je vais parfois au cinéma.,manchmal = sometimes,manchmal = parfois,,
2,_____ regnet es im Sommer.,Manchmal,Manchmal regnet es im Sommer.,Sometimes it rains in summer.,Parfois il pleut en été.,manchmal = sometimes,manchmal = parfois,,
2,Er ist _____ sehr lustig.,manchmal,Er ist manchmal sehr lustig.,He is sometimes very funny.,Il est parfois très drôle.,manchmal = sometimes,manchmal = parfois,,
2,Wir besuchen _____ unsere Großeltern.,manchmal,Wir besuchen manchmal unsere Großeltern.,We sometimes visit our grandparents.,Nous rendons parfois visite à nos grands-parents.,manchmal = sometimes,manchmal = parfois,,
2,_____ brauche ich eine Pause.,Manchmal,Manchmal brauche ich eine Pause.,Sometimes I need a break.,"Parfois, j'ai besoin d'une pause.",manchmal = sometimes,manchmal = parfois,,
2,Ich war letztes Jahr _____ im Urlaub.,dort,Ich war letztes Jahr dort im Urlaub.,I was there on vacation last year.,J'y étais en vacances l'année dernière.,dort = there,dort = là,,
2,_____ gibt es ein schönes Café.,Dort,Dort gibt es ein schönes Café.,There is a nice café there.,Il y a un joli café là-bas.,dort = there,dort = là,,
2,Meine Freunde wohnen _____.,dort,Meine Freunde wohnen dort.,My friends live there.,Mes amis vivent là-bas.,dort = there,dort = là,,
2,Wir treffen uns _____ um 18 Uhr.,dort,Wir treffen uns dort um 18 Uhr.,We will meet there at 6 PM.,Nous nous retrouverons là-bas à 18 heures.,dort = there,dort = là,,
2,Er arbeitet _____ seit fünf Jahren.,dort,Er arbeitet dort seit fünf Jahren.,He has been working there for five years.,Il travaille là depuis cinq ans.,dort = there,dort = là,,
3,,nie,,never,jamais,nie = never,nie = jamais,immer,temporal - frequency
3,,oft,,"often, frequently","souvent, fréquemment","oft = often, frequently","oft = souvent, fréquemment",,temporal - frequency
3,,links,,"left, on the left",à gauche,"links = left, on the left",links = à gauche,recht,local
3,,rechts,,"right, on the right",à droite,"rechts = right, on the right",rechts = à droite,links,local
3,,nicht,,not,ne ... pas,nicht = not,nicht = ne ... pas,,degree
3,,auch,,"also, too",aussi,"auch = also, too",auch = aussi,,modal
3,,nur,,"only, merely","seulement, que","nur = only, merely","nur = seulement, que",,modal
3,,schon,,already,déjà,schon = already,schon = déjà,,modal
3,,noch,,"still, another",encore,"noch = still, another",noch = encore,,degree
3,,zu,,"too, overly, excessively","trop, excessivement","zu = too, overly, excessively","zu = trop, excessivement",,
4,Ich gehe _____ spazieren.,oft,Ich gehe oft spazieren.,I go for a walk often.,Je vais souvent me promener.,"oft = often, frequently","oft = souvent, fréquemment",,
4,Er reist _____ nach Deutschland.,oft,Er reist oft nach Deutschland.,He often travels to Germany.,Il voyage souvent en Allemagne.,"oft = often, frequently","oft = souvent, fréquemment",,
4,Wir sehen uns _____.,oft,Wir sehen uns oft.,We see each other often.,Nous nous voyons souvent.,"oft = often, frequently","oft = souvent, fréquemment",,
4,Sie geht _____ ins Kino.,oft,Sie geht oft ins Kino.,She often goes to the cinema.,Elle va souvent au cinéma.,"oft = often, frequently","oft = souvent, fréquemment",,
4,Ich mache das _____ mit meinen Freunden.,oft,Ich mache das oft mit meinen Freunden.,I often do that with my friends.,Je fais souvent ça avec mes amis.,"oft = often, frequently","oft = souvent, fréquemment",,
4,Ich war noch _____ in Frankreich.,nie,Ich war noch nie in Frankreich.,I have never been to France.,Je ne suis jamais allé en France.,nie = never,nie = jamais,,
4,Er isst _____ Fleisch.,nie,Er isst nie Fleisch.,He never eats meat.,Il ne mange jamais de viande.,nie = never,nie = jamais,,
4,Wir kommen _____ zu spät.,nie,Wir kommen nie zu spät.,We are never late.,Nous ne sommes jamais en retard.,nie = never,nie = jamais,,
4,Sie lügt _____.,nie,Sie lügt nie.,She never lies.,Elle ne ment jamais.,nie = never,nie = jamais,,
4,Ich habe das noch _____ gemacht.,nie,Ich habe das noch nie gemacht.,I have never done that before.,Je n'ai jamais fait ça avant.,nie = never,nie = jamais,,
4,Das Haus ist _____ von der Schule.,links,Das Haus ist links von der Schule.,The house is to the left of the school.,La maison est à gauche de l'école.,"links = left, on the left",links = à gauche,,
4,Bitte biegen Sie _____ ab.,links,Bitte biegen Sie links ab.,Please turn left.,Veuillez tourner à gauche.,"links = left, on the left",links = à gauche,,
4,_____ gibt es einen schönen Park.,Links,Links gibt es einen schönen Park.,There is a nice park on the left.,Il y a un joli parc sur la gauche.,"links = left, on the left",links = à gauche,,
4,Mein Auto steht _____ auf dem Parkplatz.,links,Mein Auto steht links auf dem Parkplatz.,My car is parked on the left in the parking lot.,Ma voiture est garée à gauche sur le parking.,"links = left, on the left",links = à gauche,,
4,"Schau nach _____, bevor du die Straße überquerst.",links,"Schau nach links, bevor du die Straße überquerst.",Look to the left before crossing the street.,Regardez à gauche avant de traverser la rue.,"links = left, on the left",links = à gauche,,
4,Ich verstehe das _____.,nicht,Ich verstehe das nicht.,I don’t understand that.,Je ne comprends pas ça.,nicht = not,nicht = ne ... pas,,
4,Er ist heute _____ zu Hause.,nicht,Er ist heute nicht zu Hause.,He is not at home today.,Il n'est pas à la maison aujourd'hui.,nicht = not,nicht = ne ... pas,,
4,Wir haben das _____ gemacht.,nicht,Wir haben das nicht gemacht.,We did not do that.,Nous n'avons pas fait ça.,nicht = not,nicht = ne ... pas,,
4,Sie mag Kaffee _____.,nicht,Sie mag Kaffee nicht.,She does not like coffee.,Elle n'aime pas le café.,nicht = not,nicht = ne ... pas,,
4,Das ist _____ richtig.,nicht,Das ist nicht richtig.,That is not correct.,Ce n'est pas correct.,nicht = not,nicht = ne ... pas,,
4,Das Geschäft ist _____ von der Bank.,rechts,Das Geschäft ist rechts von der Bank.,The shop is to the right of the bank.,Le magasin se trouve à droite de la rive.,"rechts = right, on the right",rechts = à droite,,
4,Bitte biegen Sie _____ ab.,rechts,Bitte biegen Sie rechts ab.,Please turn right.,Veuillez tourner à droite.,"rechts = right, on the right",rechts = à droite,,
4,_____ gibt es einen Supermarkt.,Rechts,Rechts gibt es einen Supermarkt.,There is a supermarket on the right.,Il y a un supermarché sur la droite.,"rechts = right, on the right",rechts = à droite,,
4,Mein Haus ist _____ neben dem Park.,rechts,Mein Haus ist rechts neben dem Park.,My house is to the right of the park.,Ma maison est à droite du parc.,"rechts = right, on the right",rechts = à droite,,
4,"Schau nach _____, bevor du die Straße überquerst.",rechts,"Schau nach rechts, bevor du die Straße überquerst.",Look to the right before crossing the street.,Regardez à droite avant de traverser la rue.,"rechts = right, on the right",rechts = à droite,,
4,Ich mag Pizza und ich mag _____ Pasta.,auch,Ich mag Pizza und ich mag auch Pasta.,"I like pizza, and I also like pasta.",J'aime la pizza et j'aime aussi les pâtes.,"auch = also, too",auch = aussi,,
4,Er spricht Deutsch und _____ Englisch.,auch,Er spricht Deutsch und auch Englisch.,He speaks German and also English.,Il parle allemand et aussi anglais.,"auch = also, too",auch = aussi,,
4,Ich habe _____ ein Fahrrad.,auch,Ich habe auch ein Fahrrad.,I also have a bicycle.,J'ai aussi un vélo.,"auch = also, too",auch = aussi,,
