exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french,explanation_synonym_english,explanation_synonym_french
1,,,und,und,and,et,Coordinating conjunction,Conjonction de coordination,und = and ● Coordinating conjunction,und = et ● Conjonction de coordination,,
1,,,aber,aber,but,mais,Coordinating conjunction,Conjonction de coordination,aber = but ● Coordinating conjunction,aber = mais ● Conjonction de coordination,,
1,,,oder,oder,or,"ou, ou bien, ou alors",Coordinating conjunction,Conjonction de coordination,oder = or ● Coordinating conjunction,"oder = ou, ou bien, ou alors ● Conjonction de coordination",,
1,,,denn,denn,"for, because","car, parce que",Coordinating conjunction,Conjonction de coordination,"denn = for, because ● Coordinating conjunction","denn = car, parce que ● Conjonction de coordination",,
2,,,,Was,What,"Que, Quoi",,,was = what,"was = que, quoi",,
2,,,,Wie,How,Comment,,,wie = how,wie = comment,,
2,,,,Warum,Why,Pourquoi,,,warum = why,warum = pourquoi,,
2,,,,Wann,When,Quand,,,wann = when,wann = quand,,
2,,,,Wer,Who,Qui,,,wer = who,wer = qui,,
2,,,,Wo,Where,Où,,,wo = where,wo = où,,
3,,,,hier,here,ici,,,hier = here,hier = ici,,
3,,,,immer,always,toujours,,,immer = always,immer = toujours,,
3,,,,jetzt,now,maintenant,,,jetzt = now,jetzt = maintenant,,
3,,,,sehr,very,très,,,sehr = very,sehr = très,,
3,,,,bald,soon,bientôt,,,bald = soon,bald = bientôt,,
3,,,,gestern,yesterday,hier,,,gestern = yesterday,gestern = hier,,
3,,,,heute,today,aujourd'hui,,,heute = today,heute = aujourd'hui,,
3,,,,morgen,tomorrow,demain,,,morgen = tomorrow,morgen = demain,,
3,,,,manchmal,sometimes,parfois,,,manchmal = sometimes,manchmal = parfois,,
3,,,,dort,there,là,,,dort = there,dort = là,,
4,,,,nie,never,jamais,,,nie = never,nie = jamais,,
4,,,,oft,"often, frequently","souvent, fréquemment",,,"oft = often, frequently","oft = souvent, fréquemment",,
4,,,,links,"left, on the left",à gauche,,,"links = left, on the left",links = à gauche,,
4,,,,rechts,"right, on the right",à droite,,,"rechts = right, on the right",rechts = à droite,,
4,,,,nicht,not,ne ... pas,,,nicht = not,nicht = ne ... pas,,
4,,,,auch,"also, too",aussi,,,"auch = also, too",auch = aussi,,
4,,,,nur,"only, merely","seulement, que",,,"nur = only, merely","nur = seulement, que",,
4,,,,schon,already,déjà,,,schon = already,schon = déjà,,
4,,,,noch,"still, another",encore,,,"noch = still, another",noch = encore,,
4,,,,zu,"too, overly, excessively","trop, excessivement",,,"zu = too, overly, excessively","zu = trop, excessivement",,
5,,,also,also,"so, thus, hence","donc, ainsi, d'où",Adverb,Adverbe,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe",,
5,,,deshalb,deshalb,"therefore, for this reason, because of that","pour cette raison, à cause de cela",Adverb,Adverbe,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe",,
5,,,dass,dass,that,que,Subordinating conjunction,Conjonctions de subordination,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination,,
5,,,wenn,wenn,"if, when (regular events)","si, quand (évènements récurrents)",Subordinating conjunction,Conjonctions de subordination,"wenn = if, when (regular events) ● Subordinating conjunction","wenn = si, quand (évènements récurrents) ● Conjonctions de subordination",,
5,,,als,als,"when (for a specific, one-off event in the past), as","quand (pour un évèvement spécifique dans le passé), lorsque",Subordinating conjunction,Conjonctions de subordination,"als = when (for a specific, one-off event in the past), as ● Subordinating conjunction","als = quand (pour un évèvement spécifique dans le passé), lorsque ● Conjonctions de subordination",,
5,,,dann,dann,then,"ensuite, alors",Adverb,Adverbe,dann = then ● Adverb,"dann = ensuite, alors ● Adverbe",,
