Nr,exercise,level,level_routledge,level_goethe,question,answer,german,english,french,plural,explanation_plural_english,explanation_plural_french,explanation_english_,explanation_french_,explanation_english,explanation_french
1,1,A1,A1,A1,_____ Jahr,das,das Jahr,the year,l'année,die Jahre,<br><br>Plural: die Jahre,<br><br>Pluriel: die Jahre,,,<br><br>Plural: die Jahre,<br><br>Pluriel: die Jahre
2,1,A1,A1,A1,_____ Beispiel,das,das Beispiel,the example,l'exemple,die Beispiele,<br><br>Plural: die Beispiele,<br><br>Pluriel: die Beispiele,Concepts and abstractions are usually Neuter,Les noms communs désignant des concepts et abstractions sont souvent Neutres,<br><br>Plural: die Beispiele<br><br>Concepts and abstractions are usually Neuter,<br><br>Pluriel: die Beispiele<br><br>Les noms communs désignant des concepts et abstractions sont souvent Neutres
3,1,A1,A1,A1,_____ Zeit,die,die Zeit,the time,le temps,die Zeiten,<br><br>Plural: die Zeiten,<br><br>Pluriel: die Zeiten,,,<br><br>Plural: die Zeiten,<br><br>Pluriel: die Zeiten
4,1,A1,A1,A1,_____ Frau,die,die Frau,the woman,la femme,die Frauen,<br><br>Plural: die Frauen,<br><br>Pluriel: die Frauen,"Words designating Women, including through professions and nationalities, are Feminine","Les mots désignant les Femmes, notamment par le biais des professions et des nationalités, sont Féminins","<br><br>Plural: die Frauen<br><br>Words designating Women, including through professions and nationalities, are Feminine","<br><br>Pluriel: die Frauen<br><br>Les mots désignant les Femmes, notamment par le biais des professions et des nationalités, sont Féminins"
5,1,A1,A1,A1,_____ Mensch,der,der Mensch,the human being,l'être humain,die Menschen,<br><br>Plural: die Menschen,<br><br>Pluriel: die Menschen,,,<br><br>Plural: die Menschen,<br><br>Pluriel: die Menschen
6,1,A1,A1,A1,_____ Kind,das,das Kind,the child,l'enfant,die Kinder,<br><br>Plural: die Kinder,<br><br>Pluriel: die Kinder,Young people and young animals are usually Neuter,Les jeunes individus et les jeunes animaux sont généralement Neutres,<br><br>Plural: die Kinder<br><br>Young people and young animals are usually Neuter,<br><br>Pluriel: die Kinder<br><br>Les jeunes individus et les jeunes animaux sont généralement Neutres
7,1,A1,A1,A1,_____ Tag,der,der Tag,the day,le jour,die Tage,<br><br>Plural: die Tage,<br><br>Pluriel: die Tage,,,<br><br>Plural: die Tage,<br><br>Pluriel: die Tage
8,1,A1,A1,A1,_____ Mann,der,der Mann,the man,l'homme,die Männer,<br><br>Plural: die Männer,<br><br>Pluriel: die Männer,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Männer<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Männer<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
9,1,A1,A1,A1,_____ Land,das,das Land,the country,le pays,die Länder,<br><br>Plural: die Länder,<br><br>Pluriel: die Länder,,,<br><br>Plural: die Länder,<br><br>Pluriel: die Länder
10,1,A1,A1,A1,_____ Frage,die,die Frage,the question,la question,die Fragen,<br><br>Plural: die Fragen,<br><br>Pluriel: die Fragen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Fragen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Fragen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
11,1,A1,A1,A1,_____ Haus,das,das Haus,the house,la maison,die Häuser,<br><br>Plural: die Häuser,<br><br>Pluriel: die Häuser,,,<br><br>Plural: die Häuser,<br><br>Pluriel: die Häuser
12,1,A1,A1,A1,_____ Leute,die,die Leute,the people,le peuple,,​,​,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,​<br><br>Most words finishing in <i>-e</i> are Feminine,​<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
13,1,A1,A1,A1,_____ Arbeit,die,die Arbeit,the work,le travail,die Arbeiten,<br><br>Plural: die Arbeiten,<br><br>Pluriel: die Arbeiten,Words formed from verb stems that end in <i>-t</i> are usually Feminine,Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins,<br><br>Plural: die Arbeiten<br><br>Words formed from verb stems that end in <i>-t</i> are usually Feminine,<br><br>Pluriel: die Arbeiten<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins
14,1,A1,A1,A1,_____ Prozent,das,das Prozent,the percent,le pourcentage,die Prozente,<br><br>Plural: die Prozente,<br><br>Pluriel: die Prozente,,,<br><br>Plural: die Prozente,<br><br>Pluriel: die Prozente
15,1,A1,A1,A1,_____ Hand,die,die Hand,the hand,la main,die Hände,<br><br>Plural: die Hände,<br><br>Pluriel: die Hände,,,<br><br>Plural: die Hände,<br><br>Pluriel: die Hände
16,1,A1,A1,A1,_____ Stadt,die,die Stadt,the city,la ville,die Städte,<br><br>Plural: die Städte,<br><br>Pluriel: die Städte,,,<br><br>Plural: die Städte,<br><br>Pluriel: die Städte
