Nr,level,german,english,answer,question,type
1,1,und,and,,,Konjuktion
2,1,aber,but,,,Konjuktion
3,1,oder,or,,,Konjuktion
4,1,denn,"because, for",,,Konjuktion
5,2,Ich gehe einkaufen und mein Bruder kocht das Abendessen.,"I go shopping, and my brother cooks dinner.",und,Ich gehe einkaufen _____ mein Bruder kocht das Abendessen.,
6,2,Wir lernen Deutsch und wir hören deutsche Musik.,"We learn German, and we listen to German music.",und,Wir lernen Deutsch _____ wir hören deutsche Musik.,
7,2,Sie liest ein Buch und ihr Freund schaut einen Film.,"She reads a book, and her boyfriend watches a movie.",und,Sie liest ein Buch _____ ihr Freund schaut einen Film.,
8,2,Er putzt das Haus und seine Schwester macht die Wäsche.,"He cleans the house, and his sister does the laundry.",und,Er putzt das Haus _____ seine Schwester macht die Wäsche.,
9,2,Wir essen zusammen und dann spielen wir Karten.,"We eat together, and then we play cards.",und,Wir essen zusammen _____ dann spielen wir Karten.,
10,2,"Ich möchte ins Kino gehen, aber ich habe keine Zeit.","I want to go to the cinema, but I have no time.",aber,"Ich möchte ins Kino gehen, _____ ich habe keine Zeit.",
11,2,"Er lernt viel, aber er versteht die Grammatik nicht.","He studies a lot, but he doesn’t understand the grammar.",aber,"Er lernt viel, _____ er versteht die Grammatik nicht.",
12,2,"Sie mag Sport, aber sie geht selten ins Fitnessstudio.","She likes sports, but she rarely goes to the gym.",aber,"Sie mag Sport, _____ sie geht selten ins Fitnessstudio.",
13,2,"Wir wollten spazieren gehen, aber es hat geregnet.","We wanted to go for a walk, but it rained.",aber,"Wir wollten spazieren gehen, _____ es hat geregnet.",
14,2,"Ich esse gern Pizza, aber ich koche nicht oft.","I like eating pizza, but I don’t cook often.",aber,"Ich esse gern Pizza, _____ ich koche nicht oft.",
15,2,"Ich gehe ins Bett, denn ich bin müde.",I am going to bed because I am tired.,denn,"Ich gehe ins Bett, _____ ich bin müde.",
16,2,"Er bleibt zu Hause, denn er fühlt sich nicht gut.",He stays at home because he doesn’t feel well.,denn,"Er bleibt zu Hause, _____ er fühlt sich nicht gut.",
17,2,"Sie kauft das Buch, denn sie möchte es lesen.",She buys the book because she wants to read it.,denn,"Sie kauft das Buch, _____ sie möchte es lesen.",
18,2,"Wir nehmen den Bus, denn unser Auto ist kaputt.",We take the bus because our car is broken.,denn,"Wir nehmen den Bus, _____ unser Auto ist kaputt.",
19,2,"Ich esse jetzt, denn ich habe Hunger.",I am eating now because I am hungry.,denn,"Ich esse jetzt, _____ ich habe Hunger.",
20,2,"Möchtest du Tee trinken, oder soll ich Kaffee machen?","Do you want to drink tea, or should I make coffee?",oder,"Möchtest du Tee trinken, _____ soll ich Kaffee machen?",
21,2,"Wir können ins Kino gehen, oder wir bleiben zu Hause.","We can go to the cinema, or we stay at home.",oder,"Wir können ins Kino gehen, _____ wir bleiben zu Hause.",
22,2,"Er fährt mit dem Fahrrad, oder er nimmt den Bus.","He rides his bike, or he takes the bus.",oder,"Er fährt mit dem Fahrrad, _____ er nimmt den Bus.",
23,2,"Liest du ein Buch, oder schaust du einen Film?","Are you reading a book, or are you watching a movie?",oder,"Liest du ein Buch, _____ schaust du einen Film?",
24,2,"Ich koche Pasta, oder du bestellst Pizza.","I will cook pasta, or you order pizza.",oder,"Ich koche Pasta, _____ du bestellst Pizza.",
25,3,weil,"because, since",,,Subjunktion
26,3,dann,then,,,Adverb
27,3,also,"so, thus, hence",,,Adverb
28,3,deshalb,"therefore, for this reason, because of that",,,Adverb
29,3,dass,that,,,Subjunktion
30,3,obwohl,"although, even though",,,Subjunktion
31,3,wenn,"if, when",,,Subjunktion
32,3,als,"than, when, as",,,Subjunktion
33,3,wie,like,,,Subjunktion
34,4,"Ich bleibe zu Hause, weil es stark regnet.",I stay at home because it is raining heavily.,weil,"Ich bleibe zu Hause, _____ es stark regnet.",
35,4,"Er kann nicht kommen, weil er arbeiten muss.",He can't come because he has to work.,weil,"Er kann nicht kommen, _____ er arbeiten muss.",
36,4,"Sie lernt viel, weil sie die Prüfung bestehen will.",She studies a lot because she wants to pass the exam.,weil,"Sie lernt viel, _____ sie die Prüfung bestehen will.",
37,4,"Wir gehen früh ins Bett, weil wir morgen früh aufstehen müssen.",We go to bed early because we have to get up early tomorrow.,weil,"Wir gehen früh ins Bett, _____ wir morgen früh aufstehen müssen.",
38,4,"Ich trinke Kaffee, weil ich müde bin.",I drink coffee because I am tired.,weil,"Ich trinke Kaffee, _____ ich müde bin.",
39,4,"Es regnet, also bleibe ich zu Hause.","It’s raining, so I’m staying at home.",also,"Es regnet, _____ bleibe ich zu Hause.",
40,4,"Ich habe Hunger, also esse ich jetzt.","I’m hungry, so I’m eating now.",also,"Ich habe Hunger, _____ esse ich jetzt.",
