Nr,level,question,answer,case,german,english
1,1,from ... on,ab,Dative,,
2,1,"on, to, next to, attached to",an,Accusative or Dative,,
3,1,"on, upon",auf,Accusative or Dative,,
4,1,"from, out of, off",aus,Dative,,
5,1,"at, near, by, in the vicinity of, among",bei,Dative,,
6,1,"until, up to, by, to",bis,Accusative,,
7,1,for,für,Accusative,,
8,1,"against, for, toward",gegen,Accusative,,
9,1,behind,hinter,Accusative or Dative,,
10,1,"in, into",in,Accusative or Dative,,
11,1,with,mit,Dative,,
12,1,"after, to, in the direction of",nach,Dative,,
13,1,"next to, in addition to, besides, alongside",neben,Accusative or Dative,,
14,1,without,ohne,Accusative,,
15,1,per,pro,Accusative,,
16,1,"since, for",seit,Dative,,
17,1,"above, over, about, across, via, beyond",über,Accusative or Dative,,
18,1,"around, at",um,Accusative,,
19,1,"under, below, among, between, amid",unter,Accusative or Dative,,
20,1,"from, of",von,Dative,,
21,1,"before, in front of, ago, against",vor,Accusative or Dative,,
22,1,"to, toward, at, by",zu,Dative,,
23,1,"between, among",zwischen,Accusative or Dative,,
24,2,_____ morgen beginnt mein Urlaub.,Ab,,"From tomorrow on, my vacation begins.",Ab morgen beginnt mein Urlaub.
25,2,Das Konzert startet _____ 19 Uhr.,ab,,The concert starts from 7 PM.,Das Konzert startet ab 19 Uhr.
26,2,_____ nächster Woche habe ich einen neuen Job.,Ab,,"From next week on, I have a new job.",Ab nächster Woche habe ich einen neuen Job.
27,2,_____ Januar wird das Wetter kälter.,Ab,,"From January on, the weather will get colder.",Ab Januar wird das Wetter kälter.
28,2,Der Bus fährt _____ 8 Uhr jede Stunde.,ab,,The bus leaves every hour from 8 AM.,Der Bus fährt ab 8 Uhr jede Stunde.
29,2,Ich habe _____ Montag Deutschunterricht.,am,,Ich habe am Montag Deutschunterricht.,I have German class on Monday.
30,2,Wir fahren _____ Wochenende nach Berlin.,am,,Wir fahren am Wochenende nach Berlin.,We are going to Berlin on the weekend.
31,2,Mein Geburtstag ist _____ 3. Mai.,am,,Mein Geburtstag ist am 3. Mai.,My birthday is on May 3rd.
32,2,_____ Abend lese ich gern ein Buch.,Am,,Am Abend lese ich gern ein Buch.,"In the evening, I like to read a book."
33,2,_____ Morgen trinke ich immer Kaffee.,Am,,Am Morgen trinke ich immer Kaffee.,"In the morning, I always drink coffee."
34,2,Ich arbeite _____ 18 Uhr.,bis,,Ich arbeite bis 18 Uhr.,I work until 6 PM.
35,2,Das Museum ist _____ 20 Uhr geöffnet.,bis,,Das Museum ist bis 20 Uhr geöffnet.,The museum is open until 8 PM.
36,2,_____ nächste Woche muss ich meine Hausaufgaben machen.,Bis,,Bis nächste Woche muss ich meine Hausaufgaben machen.,I have to do my homework by next week.
37,2,Wir bleiben _____ Sonntag in Hamburg.,bis,,Wir bleiben bis Sonntag in Hamburg.,We are staying in Hamburg until Sunday.
38,2,_____ zum Sommer möchte ich Deutsch lernen.,Bis,,Bis zum Sommer möchte ich Deutsch lernen.,I want to learn German by the summer.
39,2,Ich fahre _____ einer Woche nach Spanien.,in,,Ich fahre in einer Woche nach Spanien.,I am going to Spain in a week.
40,2,Wir sehen uns _____ zwei Tagen wieder.,in,,Wir sehen uns in zwei Tagen wieder.,We will see each other again in two days.
41,2,_____ der Nacht ist es sehr ruhig.,In,,In der Nacht ist es sehr ruhig.,"At night, it is very quiet."
42,2,Mein Urlaub beginnt _____ drei Monaten.,in,,Mein Urlaub beginnt in drei Monaten.,My vacation starts in three months.
43,2,_____ einer Stunde beginnt der Unterricht.,In,,In einer Stunde beginnt der Unterricht.,The class starts in an hour.
44,2,_____ dem Frühstück gehe ich zur Arbeit.,Nach,,Nach dem Frühstück gehe ich zur Arbeit.,"After breakfast, I go to work."
45,2,Wir fahren _____ der Schule nach Hause.,nach,,Wir fahren nach der Schule nach Hause.,We go home after school.
46,2,_____ dem Konzert sind wir noch essen gegangen.,Nach,,Nach dem Konzert sind wir noch essen gegangen.,"After the concert, we went out to eat."
47,2,_____ einer Woche fühlte ich mich besser.,Nach,,Nach einer Woche fühlte ich mich besser.,"After a week, I felt better."
48,2,_____ dem Sport dusche ich immer.,Nach,,Nach dem Sport dusche ich immer.,"After sports, I always take a shower."
49,2,Ich wohne _____ 2018 in Berlin.,seit,,Ich wohne seit 2018 in Berlin.,I have been living in Berlin since 2018.
50,2,_____ einer Woche regnet es jeden Tag.,Seit,,Seit einer Woche regnet es jeden Tag.,It has been raining every day for a week.
51,2,Sie lernt _____ drei Monaten Deutsch.,seit,,Sie lernt seit drei Monaten Deutsch.,She has been learning German for three months.
52,2,_____ dem Wochenende fühle ich mich besser.,Seit,,Seit dem Wochenende fühle ich mich besser.,I have been feeling better since the weekend.
53,2,_____ gestern habe ich Kopfschmerzen.,Seit,,Seit gestern habe ich Kopfschmerzen.,I have had a headache since yesterday.
54,2,Der Bus kommt _____ 8 Uhr.,um,,Der Bus kommt um 8 Uhr.,The bus arrives at 8 o’clock.
55,2,Ich stehe _____ 7 Uhr auf.,um,,Ich stehe um 7 Uhr auf.,I get up at 7 o’clock.
56,2,Der Film beginnt _____ 20:15 Uhr.,um,,Der Film beginnt um 20:15 Uhr.,The movie starts at 8:15 PM.
57,2,Wir treffen uns _____ 14 Uhr im Park.,um,,Wir treffen uns um 14 Uhr im Park.,We are meeting at 2 PM in the park.
58,2,Die Schule endet _____ 16 Uhr.,um,,Die Schule endet um 16 Uhr.,School ends at 4 PM.
59,2,Der Kurs geht _____ 9 bis 12 Uhr.,von,,Der Kurs geht von 9 bis 12 Uhr.,The course runs from 9 to 12 o’clock.
60,2,Ich arbeite _____ Montag bis Freitag.,von,,Ich arbeite von Montag bis Freitag.,I work from Monday to Friday.
61,2,_____ April bis Juni ist das Wetter meistens schön.,Von,,Von April bis Juni ist das Wetter meistens schön.,"From April to June, the weather is usually nice."
62,2,Der Film läuft _____ 18 bis 20 Uhr.,von,,Der Film läuft von 18 bis 20 Uhr.,The movie runs from 6 to 8 PM.
63,2,Ich habe _____ 2015 bis 2020 in Berlin gelebt.,von,,Ich habe von 2015 bis 2020 in Berlin gelebt.,I lived in Berlin from 2015 to 2020.
64,2,Ich bin _____ einer Stunde angekommen.,vor,,Ich bin vor einer Stunde angekommen.,I arrived an hour ago.
65,2,_____ dem Essen wasche ich meine Hände.,Vor,,Vor dem Essen wasche ich meine Hände.,"Before eating, I wash my hands."
66,2,Wir haben uns _____ zwei Tagen getroffen.,vor,,Wir haben uns vor zwei Tagen getroffen.,We met two days ago.
67,2,_____ dem Schlafen lese ich ein Buch.,Vor,,Vor dem Schlafen lese ich ein Buch.,"Before sleeping, I read a book."
68,2,_____ einem Jahr bin ich nach Deutschland gezogen.,Vor,,Vor einem Jahr bin ich nach Deutschland gezogen.,"A year ago, I moved to Germany."
69,2,_____ 8 und 9 Uhr frühstücke ich.,Zwischen,,Zwischen 8 und 9 Uhr frühstücke ich.,"Between 8 and 9 o’clock, I have breakfast."
70,2,Der Zug kommt _____ 14 und 15 Uhr an.,zwischen,,Der Zug kommt zwischen 14 und 15 Uhr an.,The train arrives between 2 and 3 PM.
71,2,_____ Montag und Freitag arbeite ich viel.,Zwischen,,Zwischen Montag und Freitag arbeite ich viel.,"Between Monday and Friday, I work a lot."
72,2,Die Pause ist _____ den zwei Unterrichtsstunden.,zwischen,,Die Pause ist zwischen den zwei Unterrichtsstunden.,The break is between the two lessons.
73,2,_____ Weihnachten und Neujahr habe ich Urlaub.,Zwischen,,Zwischen Weihnachten und Neujahr habe ich Urlaub.,"Between Christmas and New Year, I have vacation."
74,3,Das Bild hängt _____ der Wand.,an,,Das Bild hängt an der Wand.,The picture is hanging on the wall.
75,3,Ich stehe _____ der Haltestelle.,an,,Ich stehe an der Haltestelle.,I am standing at the bus stop.
76,3,Wir sitzen _____ dem Tisch.,an,,Wir sitzen an dem Tisch.,We are sitting at the table.
77,3,Die Uhr hängt _____ der Wand.,an,,Die Uhr hängt an der Wand.,The clock is hanging on the wall.
78,3,Der Spiegel ist _____ der Tür.,an,,Der Spiegel ist an der Tür.,The mirror is on the door.
79,3,Das Buch liegt _____ dem Tisch.,auf,,Das Buch liegt auf dem Tisch.,The book is on the table.
80,3,Die Katze sitzt _____ dem Sofa.,auf,,Die Katze sitzt auf dem Sofa.,The cat is sitting on the sofa.
81,3,Das Handy ist _____ dem Bett.,auf,,Das Handy ist auf dem Bett.,The phone is on the bed.
82,3,Die Blumen stehen _____ dem Fensterbrett.,auf,,Die Blumen stehen auf dem Fensterbrett.,The flowers are on the windowsill.
83,3,Mein Laptop liegt _____ dem Schreibtisch.,auf,,Mein Laptop liegt auf dem Schreibtisch.,My laptop is on the desk.
84,3,Ich bin _____ meinem Freund.,bei,,Ich bin bei meinem Freund.,I am at my friend’s place.
85,3,Sie arbeitet _____ einer großen Firma.,bei,,Sie arbeitet bei einer großen Firma.,She works at a big company.
86,3,Wir sind _____ unseren Großeltern.,bei,,Wir sind bei unseren Großeltern.,We are at our grandparents' place.
87,3,Er bleibt heute _____ mir zu Hause.,bei,,Er bleibt heute bei mir zu Hause.,He is staying at my place today.
88,3,Ich kaufe mein Brot _____ der Bäckerei.,bei,,Ich kaufe mein Brot bei der Bäckerei.,I buy my bread at the bakery.
89,3,Der Garten ist _____ dem Haus.,hinter,,Der Garten ist hinter dem Haus.,The garden is behind the house.
90,3,Die Katze versteckt sich _____ der Tür.,hinter,,Die Katze versteckt sich hinter der Tür.,The cat is hiding behind the door.
91,3,Mein Auto steht _____ der Garage.,hinter,,Mein Auto steht hinter der Garage.,My car is behind the garage.
92,3,Das Kino ist _____ dem Supermarkt.,hinter,,Das Kino ist hinter dem Supermarkt.,The cinema is behind the supermarket.
93,3,Der Ball liegt _____ dem Sofa.,hinter,,Der Ball liegt hinter dem Sofa.,The ball is behind the sofa.
