Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
1,1,A1,29,A1,A1,A1,die Sprache,sprechen,,"the language, the speech",to speak,"la langue, la parole",parler (une langue),sprechen,to speak,parler (une langue),die Sprache,"the language, the speech","la langue, la parole",,
2,1,A1,29,A1,A1,A1,das Gespräch,sprechen,,the conversation,to speak,la conversation,parler (une langue),sprechen,to speak,parler (une langue),das Gespräch,the conversation,la conversation,,
3,1,A1,37,A1,A1,A1,das Leben,leben,,the life,to live,la vie,vivre,leben,to live,vivre,das Leben,the life,la vie,,
4,1,A1,38,A1,A1,A1,die Arbeit,arbeiten,,the work,to work,le travail,travailler,arbeiten,to work,travailler,die Arbeit,the work,le travail,,
5,1,A1,39,A1,A1,A1,das Essen,essen,,"the meal, the food",to eat,"le repas, la nourriture",manger,essen,to eat,manger,das Essen,"the meal, the food","le repas, la nourriture",,
6,1,A1,24,A1,A2,A1,die Liebe,lieben,,the love,to love,l'amour,"aimer, être amoureux de",lieben,to love,"aimer, être amoureux de",die Liebe,the love,l'amour,,
7,1,A1,34,A2,A2,A1,die Kenntnis,kennen,,the knowledge,"to know, to be acquainted with, to be familiar with",la connaissance,"connaître, être familier avec",kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",die Kenntnis,the knowledge,la connaissance,,
8,1,A1,43,A1,A2,A1,das Spiel,spielen,,the game,to play,le jeu,jouer,spielen,to play,jouer,das Spiel,the game,le jeu,,
9,1,A1,47,A1,A1,A1,die Frage,fragen,,the question,"to ask, to wonder (refl.)",la question,"demander, se demander (réfl.)",fragen,"to ask, to wonder (refl.)","demander, se demander (réfl.)",die Frage,the question,la question,,
10,1,A1,51,A2,A1,B1,das Getränk,trinken,,the drink,to drink,la boisson,boire,trinken,to drink,boire,das Getränk,the drink,la boisson,,
11,1,A1,62,A1,A1,A1,die Wohnung,wohnen,,the apartment,"to live, to reside, to dwell",l'appartement,"vivre, résider, habiter",wohnen,"to live, to reside, to dwell","vivre, résider, habiter",die Wohnung,the apartment,l'appartement,,
12,1,A1,66,A1,A1,A1,der Zug,ziehen,,the train,"to pull, to drag, to move",le train,"tirer, traîner, déplacer",ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",der Zug,the train,le train,,
13,1,A1,76,A1,A1,A2,der Regen,regnen,,the rain,to rain,la pluie,pleuvoir,regnen,to rain,pleuvoir,der Regen,the rain,la pluie,,
14,1,A1,78,A2,A1,A2,die Führung,führen,,the leadership,"to lead, to guide",le leadership,"guider, conduire",führen,"to lead, to guide","guider, conduire",die Führung,the leadership,le leadership,,
15,1,A1,82,A2,A1,,der Anruf,anrufen,,the call,"to call by telephone, to call on (someone)",l'appel,appeler par téléphone,anrufen,"to call by telephone, to call on (someone)",appeler par téléphone,der Anruf,the call,l'appel,,
16,1,A1,84,A1,A1,A1,der Anfang,anfangen,,the beginning,to begin something new,le début,commencer quelque chose de nouveau,anfangen,to begin something new,commencer quelque chose de nouveau,der Anfang,the beginning,le début,,
17,1,A1,88,A2,B1,A1,der Beginn,beginnen,,the beginning,to begin (on a certain date or time),le début,commencer (à une certaine date ou heure),beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),der Beginn,the beginning,le début,,
18,1,A1,77,A1,A2,A2,der Schnee,schneien,,the snow,to snow,la neige,neiger,schneien,to snow,neiger,der Schnee,the snow,la neige,,
19,1,A1,4,A1,A2,A1,die Kunst,können,,the art,"can, to be able to",l'art,"pouvoir, être capable de",können,"can, to be able to","pouvoir, être capable de",die Kunst,the art,l'art,,
20,1,A1,65,A1,A2,A1,das Interesse,interessieren,,the interest,"to interest, to be interested in (refl.)",l'intérêt,"intéresser, être intéressé par (réfl.)",interessieren,"to interest, to be interested in (refl.)","intéresser, être intéressé par (réfl.)",das Interesse,the interest,l'intérêt,,
21,2,A1,29,A1,A1,A1,sprechen,die Sprache,,to speak,"the language, the speech",parler (une langue),"la langue, la parole",sprechen,to speak,parler (une langue),die Sprache,"the language, the speech","la langue, la parole",Feminine,Féminin
22,2,A1,29,A1,A1,A1,sprechen,das Gespräch,,to speak,the conversation,parler (une langue),la conversation,sprechen,to speak,parler (une langue),das Gespräch,the conversation,la conversation,Neuter,Neutre
23,2,A1,37,A1,A1,A1,leben,das Leben,,to live,the life,vivre,la vie,leben,to live,vivre,das Leben,the life,la vie,Neuter,Neutre
24,2,A1,38,A1,A1,A1,arbeiten,die Arbeit,,to work,the work,travailler,le travail,arbeiten,to work,travailler,die Arbeit,the work,le travail,Feminine,Féminin
25,2,A1,39,A1,A1,A1,essen,das Essen,,to eat,"the meal, the food",manger,"le repas, la nourriture",essen,to eat,manger,das Essen,"the meal, the food","le repas, la nourriture",Neuter,Neutre
26,2,A1,24,A1,A2,A1,lieben,die Liebe,,to love,the love,"aimer, être amoureux de",l'amour,lieben,to love,"aimer, être amoureux de",die Liebe,the love,l'amour,Feminine,Féminin
27,2,A1,34,A2,A2,A1,kennen,die Kenntnis,,"to know, to be acquainted with, to be familiar with",the knowledge,"connaître, être familier avec",la connaissance,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",die Kenntnis,the knowledge,la connaissance,Feminine,Féminin
28,2,A1,,A1,A2,A1,spielen,das Spiel,,to play,the game,jouer,le jeu,spielen,to play,jouer,das Spiel,the game,le jeu,Neuter,Neutre
29,2,A1,,A1,A1,A1,fragen,die Frage,,"to ask, to wonder (refl.)",the question,"demander, se demander (réfl.)",la question,fragen,"to ask, to wonder (refl.)","demander, se demander (réfl.)",die Frage,the question,la question,Feminine,Féminin
30,2,A1,,A2,A1,B1,trinken,das Getränk,,to drink,the drink,boire,la boisson,trinken,to drink,boire,das Getränk,the drink,la boisson,Neuter,Neutre
31,2,A1,,A1,A1,A1,wohnen,die Wohnung,,"to live, to reside, to dwell",the apartment,"vivre, résider, habiter",l'appartement,wohnen,"to live, to reside, to dwell","vivre, résider, habiter",die Wohnung,the apartment,l'appartement,Feminine,Féminin
32,2,A1,,A1,A1,A1,ziehen,der Zug,,"to pull, to drag, to move",the train,"tirer, traîner, déplacer",le train,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",der Zug,the train,le train,Masculine,Masculin
33,2,A1,,A1,A1,A2,regnen,der Regen,,to rain,the rain,pleuvoir,la pluie,regnen,to rain,pleuvoir,der Regen,the rain,la pluie,Masculine,Masculin
34,2,A1,,A1,A2,A2,schneien,der Schnee,,to snow,the snow,neiger,la neige,schneien,to snow,neiger,der Schnee,the snow,la neige,Masculine,Masculin
35,2,A1,,A2,A1,A2,führen,die Führung,,"to lead, to guide",the leadership,"guider, conduire",le leadership,führen,"to lead, to guide","guider, conduire",die Führung,the leadership,le leadership,Feminine,Féminin
36,2,A1,,A2,A1,,anrufen,der Anruf,,"to call by telephone, to call on (someone)",the call,appeler par téléphone,l'appel,anrufen,"to call by telephone, to call on (someone)",appeler par téléphone,der Anruf,the call,l'appel,Masculine,Masculin
37,2,A1,,A1,A1,A1,anfangen,der Anfang,,to begin something new,the beginning,commencer quelque chose de nouveau,le début,anfangen,to begin something new,commencer quelque chose de nouveau,der Anfang,the beginning,le début,Masculine,Masculin
38,2,A1,,A2,B1,A1,beginnen,der Beginn,,to begin (on a certain date or time),the beginning,commencer (à une certaine date ou heure),le début,beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),der Beginn,the beginning,le début,Masculine,Masculin
39,2,A1,,A1,A2,A1,können,die Kunst,,"can, to be able to",the art,"pouvoir, être capable de",l'art,können,"can, to be able to","pouvoir, être capable de",die Kunst,the art,l'art,Feminine,Féminin
40,2,A1,,A1,A2,A1,interessieren,das Interesse,,"to interest, to be interested in (refl.)",the interest,"intéresser, être intéressé par (réfl.)",l'intérêt,interessieren,"to interest, to be interested in (refl.)","intéresser, être intéressé par (réfl.)",das Interesse,the interest,l'intérêt,Neuter,Neutre
41,3,A1,10,A2,B1,,das Wissen,wissen,,the knowledge,"to know, to have knowledge",la connaissance,savoir,wissen,"to know, to have knowledge",savoir,das Wissen,the knowledge,la connaissance,,
42,3,A1,10,A2,,A1,die Wissenschaft,wissen,,the science,"to know, to have knowledge",la science,savoir,wissen,"to know, to have knowledge",savoir,die Wissenschaft,the science,la science,,
43,3,A1,10,A2,B1,A2,der Wissenschaftler,wissen,,the scientist,"to know, to have knowledge",le scientifique,savoir,wissen,"to know, to have knowledge",savoir,der Wissenschaftler,the scientist,le scientifique,,
44,3,A1,11,A2,,A1,die Macht,machen,,the power,"to make, to prepare (e.g. food), to do",le pouvoir,"faire, préparer (par exemple de la nourriture)",machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)",die Macht,the power,le pouvoir,,
45,3,A1,70,B1,A2,B1,die Übersetzung,übersetzen,,the translation,to translate,la traduction,traduire,übersetzen,to translate,traduire,die Übersetzung,the translation,la traduction,,
46,3,A1,,A2,A2,B1,der Anzug,anziehen,,the suit,"to get dressed, to put on, to dress someone, to attract, to pull",le costume,"s'habiller, mettre, habiller quelqu'un, attirer, tirer",anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",der Anzug,the suit,le costume,,
47,3,A1,,B1,A2,B1,die Wäsche,waschen,,the laundry,to wash,la lessive,laver,waschen,to wash,laver,die Wäsche,the laundry,la lessive,,
48,3,A1,46,B1,B1,A2,die Erzählung,erzählen,,the narration,"to tell, to narrate",la narration,"raconter, narrer",erzählen,"to tell, to narrate","raconter, narrer",die Erzählung,the narration,la narration,,
49,3,A1,49,A1,B1,A1,die Hoffnung,hoffen,,the hope,to hope,l'espoir,espérer,hoffen,to hope,espérer,die Hoffnung,the hope,l'espoir,,
50,3,A1,54,A2,B1,A2,der Schlaf,schlafen,,the sleep,to sleep,le sommeil,dormir,schlafen,to sleep,dormir,der Schlaf,the sleep,le sommeil,,
51,3,A1,55,A2,B1,A2,der Kauf,kaufen,,the purchase,to buy,l'achat,acheter,kaufen,to buy,acheter,der Kauf,the purchase,l'achat,,
52,3,A1,57,A1,B1,A1,die Erklärung,erklären,,the explanation,"to explain, to declare, to assert",l'explication,"expliquer, déclarer, affirmer",erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer",die Erklärung,the explanation,l'explication,,
53,3,A1,72,A1,B1,A1,die Bedeutung,bedeuten,,the meaning,"to mean, to signify",la signification,"vouloir dire, signifier",bedeuten,"to mean, to signify","vouloir dire, signifier",die Bedeutung,the meaning,la signification,,
54,3,A1,73,A2,,A1,die Funktion,funktionieren,,the functionality,"to function, to work",la fonctionnalité,fonctionner,funktionieren,"to function, to work",fonctionner,die Funktion,the functionality,la fonctionnalité,,
