exercise,question,answer,german,english,french,du,ihr,Sie
1,,,sein,to be,être,sei,seid,seien Sie
1,,,haben,"to have, to contain","avoir, contenir",hab/habe,habt,haben Sie
1,,,werden,"to become, will, to be done (passive voice)",devenir,werd/werde,werdet,werden Sie
1,,,machen,"to make, to prepare, to do","faire, préparer",mach/mache,macht,machen Sie
1,,,tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un",tu/tue,tut,tun Sie
1,,,sagen,"to say, to tell","dire, raconter",sag/sage,sagt,sagen Sie
1,,,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",geh/gehe,geht,gehen Sie
1,,,sehen,"to see, to realise","voir, se rendre compte",sieh/siehe,seht,sehen Sie
1,,,geben,to give,donner,gib,gebt,geben Sie
1,,,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",komm/komme,kommt,kommen Sie
1,,,glauben,to believe,croire,glaub/glaube,glaubt,glauben Sie
1,,,reden,to talk,"parler, discuter",red/rede,redet,reden Sie
2,,,hören,"to hear, to listen to","entendre, écouter",hör/höre,hört,hören Sie
2,,,finden,to find,trouver,find/finde,findet,finden Sie
2,,,bleiben,"to remain, to stay",rester,bleib/bleibe,bleibt,bleiben Sie
2,,,brauchen,to need,avoir besoin,brauch/brauche,braucht,brauchen Sie
2,,,lieben,to love,"aimer, être amoureux de",lieb/liebe,liebt,lieben Sie
2,,,bringen,"to bring, to take, to lead","apporter, prendre, conduire",bring/bringe,bringt,bringen Sie
2,,,stehen,"to stand, to be, to appear","être debout, apparaître",steh/stehe,steht,stehen Sie
2,,,heißen,"to be called, to mean",être appelé,heiß/heiße,heißt,heißen Sie
2,,,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",nimm,nehmt,nehmen Sie
2,,,sprechen,to speak,parler (une langue),sprich,sprecht,sprechen Sie
2,,,bekommen,"to receive, to catch (e.g. a cold), to sit well with someone","recevoir, attraper (par exemple un rhume), s'entendre avec quelqu'un",bekomm/bekomme,bekommt,bekommen Sie
2,,,vergessen,"to forget, to leave (forget to take)",oublier,vergiss,vergesst,vergessen Sie
3,,,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",halt/halte,haltet,halten Sie
3,,,warten,"to wait, to maintain (e.g. a car)","attendre, entretenir (par exemple une voiture)",wart/warte,wartet,warten Sie
3,,,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",kenn/kenne,kennt,kennen Sie
3,,,verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un",versteh/verstehe,versteht,verstehen Sie
3,,,denken,"to think, to consider","penser, considérer",denk/denke,denkt,denken Sie
3,,,leben,to live,vivre,leb/lebe,lebt,leben Sie
3,,,arbeiten,to work,travailler,arbeit/arbeite,arbeitet,arbeiten Sie
3,,,essen,to eat,manger,iss,esst,essen Sie
3,,,spielen,to play,jouer,spiel/spiele,spielt,spielen Sie
3,,,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire",fahr/fahre,fahrt,fahren Sie
3,,,versuchen,"to try, to attempt","essayer, tenter",versuch/versuche,versucht,versuchen Sie
3,,,erzählen,"to tell, to narrate","raconter, narrer",erzähl/erzähle,erzählt,erzählen Sie
4,,,bedeuten,"to mean, to signify","vouloir dire, signifier",bedeut/bedeute,bedeutet,bedeuten Sie
4,,,fragen,"to ask, to wonder (refl.)","demander, se demander (réfl.)",frag/frage,fragt,fragen Sie
4,,,treffen,"to meet (refl.), to encounter (refl.), to hit, to affect","rencontrer (refl.), se rencontrer (refl.), heurter, frapper",triff,trefft,treffen Sie
4,,,hoffen,to hope,espérer,hoff/hoffe,hofft,hoffen Sie
4,,,suchen,"to seek, to search","chercher, rechercher",such/suche,sucht,suchen Sie
4,,,trinken,to drink,boire,trink/trinke,trinkt,trinken Sie
4,,,lernen,"to learn, to study, to train something","apprendre, étudier, se former à quelque chose",lern/lerne,lernt,lernen Sie
4,,,zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer",zeig/zeige,zeigt,zeigen Sie
4,,,schlafen,to sleep,dormir,schlaf/schlafe,schlaft,schlafen Sie
4,,,kaufen,to buy,acheter,kauf/kaufe,kauft,kaufen Sie
4,,,laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)",lauf/laufe,lauft,laufen Sie
4,,,erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer",erklär/erkläre,erklärt,erklären Sie
5,,,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier",zahl/zahle,zahlt,zahlen Sie
5,,,kochen,"to cook, to boil (to heat a liquid), to boil something","cuire, faire bouillir (chauffer un liquide), faire bouillir quelque chose",koch/koche,kocht,kochen Sie
5,,,waschen,to wash,laver,wasch/wasche,wascht,waschen Sie
5,,,aufwachen,to wake up,se réveiller,wach auf/wache auf,wacht auf,wachen Sie auf
5,,,zeichnen,"to draw, to sketch","dessiner, esquisser",zeichne,zeichnet,zeichnen Sie
5,,,aufstehen,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",steh auf/stehe auf,steht auf,stehen Sie auf
5,,,wiederholen,to repeat,répéter,wiederhol/wiederhole,wiederholt,wiederholen Sie
5,,,übersetzen,to translate,traduire,übersetz/übersetze,übersetzt,übersetzen Sie
5,,,wohnen,"to live, to reside, to dwell","vivre, résider, habiter",wohn/wohne,wohnt,wohnen Sie
5,,,schreiben,to write,écrire,schreib/schreibe,schreibt,schreiben Sie
5,,,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",zieh an/ziehe an,zieht an,ziehen Sie an
5,,,ausziehen,"to take something off, to undress, to pull out, to move out","enlever quelque chose, se déshabiller, se retirer, sortir",zieh aus/ziehe aus,zieht aus,ziehen Sie aus
6,,,buchstabieren,to spell,épeler,buchstabier/buchstabiere,buchstabiert,buchstabieren Sie
6,,,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",zieh/ziehe,zieht,ziehen Sie
6,,,lesen,to read,lire,lies,lest,lesen Sie
6,,,kosten,"to cost, to taste",coûter,kost/koste,kostet,kosten Sie
6,,,erinnern,"to remind, to remember (refl.)","rappeler, se souvenir (réfl.)",erinner/erinnere/erinnre,erinnert,erinnern Sie
6,,,fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)",fühl/fühle,fühlt,fühlen Sie
6,,,führen,"to lead, to guide","guider, conduire",führ/führe,führt,führen Sie
6,,,anrufen,"to call by telephone, to call on (someone)",appeler par téléphone,ruf an/rufe an,ruft an,rufen Sie an
6,,,aufhören,"to stop, to cease an activity or process","arrêter, cesser une activité ou un processus",hör auf/höre auf,hört auf,hören Sie auf
6,,,anfangen,to begin something new,commencer quelque chose de nouveau,fang an/fange an,fangt an,fangen Sie an
6,,,gewinnen,to win,gagner,gewinn/gewinne,gewinnt,gewinnen Sie
6,,,öffnen,to open,ouvrir,öffne,öffnet,öffnen Sie
7,,,bezahlen,"to pay, to pay someone (transitive)","payer, payer quelqu'un (transitif)",bezahl/bezahle,bezahlt,bezahlen Sie
7,,,beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),beginn/beginne,beginnt,beginnen Sie
7,,,holen,to fetch,aller chercher,hol/hole,holt,holen Sie
7,,,benutzen,to use (transitive),utiliser (transitif),benutz/benutze,benutzt,benutzen Sie
7,,,schicken,to send,envoyer,schick/schicke,schickt,schicken Sie
7,,,lachen,to laugh,rire,lach/lache,lacht,lachen Sie
7,,,scheinen,"to shine, to seem (formal)","briller, paraître (formel)",schein/scheine,scheint,scheinen Sie
7,,,ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement),änder/ändere/ändre,ändert,ändern Sie
7,,,aufmachen,"to open (coll.), to head or move off (refl.), to undo something","ouvrir (familier), se diriger ou s'éloigner (réfl.), défaire quelque chose",mach auf/mache auf,macht auf,machen Sie auf
7,,,verkaufen,to sell,vendre,verkauf/verkaufe,verkauft,verkaufen Sie
7,,,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester",sitz/sitze,sitzt,sitzen Sie
7,,,stellen,"to position, to put, to catch","positionner, mettre",stell/stelle,stellt,stellen Sie
8,,,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),setz/setze,setzt,setzen Sie
8,,,liegen,"to lie, to be located","être allongé, être localisé",lieg/liege,liegt,liegen Sie
8,,,danken,to thank,remercier,dank/danke,dankt,danken Sie
8,,,verlieren,to lose,perdre,verlier/verliere,verliert,verlieren Sie
8,,,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",leg/lege,legt,legen Sie
8,,,schauen,to look at (Bayern and Austria),regarder (Bayern et Autriche),schau/schaue,schaut,schauen Sie
8,,,besuchen,to visit,visiter,besuch/besuche,besucht,besuchen Sie
8,,,bestimmen,"to determine, to assign, to decide, to ascertain","déterminer, fixer, décider, identifier, assigner",bestimm/bestimme,bestimmt,bestimmen Sie
8,,,sich freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",freu dich/freue dich,freut euch,freuen Sie sich
8,,,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",schließ/schließe,schließt,schließen Sie
8,,,einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",lad ein/lade ein,ladet ein,laden Sie ein
8,,,wünschen,to wish,souhaiter,wünsch/wünsche,wünscht,wünschen Sie
9,,,folgen,to follow,suivre,folg/folge,folgt,folgen Sie
9,,,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir",trag/trage,tragt,tragen Sie
9,,,ansehen,"to look at something, to watch something","regarder quelque chose, observer quelque chose",sieh an/siehe an,seht an,sehen Sie an
9,,,probieren,"to try, to taste, to sample, to probe","essayer, goûter, échantillonner, sonder",probier/probiere,probiert,probieren Sie
9,,,träumen,to dream,rêver,träum/träume,träumt,träumen Sie
9,,,reisen,to travel,voyager,reis/reise,reist,reisen Sie
9,,,feiern,to celebrate,célébrer,feier/feiere/feire,feiert,feiern Sie
9,,,antworten,"to answer, to reply","répondre, répliquer",antwort/antworte,antwortet,antworten Sie
9,,,wählen,"to choose, to dial (a number), to vote","choisir, composer (un numéro), voter",wähl/wähle,wählt,wählen Sie
9,,,ausgehen,"to go out, to run out (e.g. of money)","sortir, être à court (par exemple d'argent)",geh aus/gehe aus,geht aus,gehen Sie aus
9,,,zählen,to count,compter,zähl/zähle,zählt,zählen Sie
9,,,ankommen,"to arrive, to depend on something","arriver, dépendre de quelque chose",komm an/komme an,kommt an,kommen Sie an
10,,,kennenlernen,"to meet someone, to get to know someone","rencontrer quelqu'un, apprendre à connaître quelqu'un",lern kennen/lerne kennen,lernt kennen,lernen Sie kennen
10,,,anmelden,"to register, to sign up, to sign on",s'inscrire,meld an/melde an,meldet an,melden Sie an
10,,,lassen,"to let, to leave, to allow","laisser, quitter, permettre",lass/lasse,lasst,lassen Sie
10,,,verlassen,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir",verlass/verlasse,verlasst,verlassen Sie
10,,,helfen,to help,aider,hilf,helft,helfen Sie
10,,,bewegen,to move,se déplacer,beweg/bewege,bewegt,bewegen Sie
10,,,vertrauen,to trust,faire confiance,vertrau/vertraue,vertraut,vertrauen Sie
10,,,versprechen,"to promise, to hope for, to misspeak","promettre, espérer",versprich,versprecht,versprechen Sie
10,,,hängen,"to hang, to be fond of, depend on","accrocher, aimer, dépendre de",häng/hänge,hängt,hängen Sie
10,,,mieten,"to rent, to hire","louer, embaucher",miet/miete,mietet,mieten Sie
10,,,rauchen,to smoke (e.g. a cigarette),fumer (par exemple une cigarette),rauch/rauche,raucht,rauchen Sie
10,,,sterben,to die,mourir,stirb,sterbt,sterben Sie
11,,,heiraten,to marry,se marier,heirat/heirate,heiratet,heiraten Sie
11,,,verheiraten,"to marry (to perform the marriage), to get married (refl.)","se marier (célébrer le mariage), se marier (réfl.)",verheirat/verheirate,verheiratet,verheiraten Sie
11,,,kämpfen,"to fight, to struggle","se battre, lutter",kämpf/kämpfe,kämpft,kämpfen Sie
11,,,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant",fehl/fehle,fehlt,fehlen Sie
11,,,sorgen,"to care, to worry","se soucier, s'inquiéter",sorg/sorge,sorgt,sorgen Sie
11,,,stecken,"to stick, to pin","coller, épingler",steck/stecke,steckt,stecken Sie
11,,,überraschen,to surprise,surprendre,überrasch/überrasche,überrascht,überraschen Sie
11,,,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",stell vor/stelle vor,stellt vor,stellen Sie vor
11,,,stehlen,to steal,voler,stiehl,stehlt,stehlen Sie
11,,,entscheiden,to decide,décider,entscheid/entscheide,entscheidet,entscheiden Sie
