Nr,level,question,answer,german,english,type
1,1,here,hier,,,
2,1,always,immer,,,
3,1,now,jetzt,,,
4,1,very,sehr,,,
5,1,soon,bald,,,
6,1,almost,fast,,,
7,1,yesterday,gestern,,,
8,1,today,heute,,,
9,1,tomorrow,morgen,,,
10,1,sometimes,manchmal,,,
11,1,never,nie,,,
12,1,"often, frequently",oft,,,
13,1,rarely,selten,,,
14,1,right now,gerade,,,
15,1,straight ahead,geradeaus,,,
16,1,left,links,,,
17,1,right,rechts,,,
18,1,not,nicht,,,
19,1,"also, too",auch,,,
20,1,too,zu,,,
21,1,there,dort,,,
22,1,only,nur,,,
23,2,Ich bin _____.,hier,Ich bin hier.,I am here.,
24,2,_____ ist es sehr ruhig.,Hier,Hier ist es sehr ruhig.,It is very quiet here.,
25,2,Wir treffen uns _____.,hier,Wir treffen uns hier.,We are meeting here.,
26,2,_____ gibt es ein gutes Restaurant.,Hier,Hier gibt es ein gutes Restaurant.,There is a good restaurant here.,
27,2,Mein Auto steht _____.,hier,Mein Auto steht hier.,My car is parked here.,
28,2,Ich war letztes Jahr _____ im Urlaub.,dort,Ich war letztes Jahr dort im Urlaub.,I was there on vacation last year.,
29,2,_____ gibt es ein schönes Café.,Dort,Dort gibt es ein schönes Café.,There is a nice café there.,
30,2,Meine Freunde wohnen _____.,dort,Meine Freunde wohnen dort.,My friends live there.,
31,2,Wir treffen uns _____ um 18 Uhr.,dort,Wir treffen uns dort um 18 Uhr.,We will meet there at 6 PM.,
32,2,Er arbeitet _____ seit fünf Jahren.,dort,Er arbeitet dort seit fünf Jahren.,He has been working there for five years.,
33,2,Ich bin _____ fertig.,fast,Ich bin fast fertig.,I am almost done.,
34,2,Der Film ist _____ zu Ende.,fast,Der Film ist fast zu Ende.,The movie is almost over.,
35,2,Es ist _____ Mitternacht.,fast,Es ist fast Mitternacht.,It is almost midnight.,
36,2,Ich habe _____ alles verstanden.,fast,Ich habe fast alles verstanden.,I understood almost everything.,
37,2,Wir sind _____ da.,fast,Wir sind fast da.,We are almost there.,
38,2,Ich bin _____ müde.,sehr,Ich bin sehr müde.,I am very tired.,
39,2,Das Essen schmeckt _____ gut.,sehr,Das Essen schmeckt sehr gut.,The food tastes very good.,
40,2,Er spricht _____ langsam.,sehr,Er spricht sehr langsam.,He speaks very slowly.,
41,2,Wir sind _____ glücklich.,sehr,Wir sind sehr glücklich.,We are very happy.,
42,2,Das Wetter ist heute _____ schön.,sehr,Das Wetter ist heute sehr schön.,The weather is very nice today.,
43,2,Ich mag Pizza und ich mag _____ Pasta.,auch,Ich mag Pizza und ich mag auch Pasta.,"I like pizza, and I also like pasta.",
44,2,Er spricht Deutsch und _____ Englisch.,auch,Er spricht Deutsch und auch Englisch.,He speaks German and also English.,
45,2,Ich habe _____ ein Fahrrad.,auch,Ich habe auch ein Fahrrad.,I also have a bicycle.,
46,2,Wir gehen ins Kino und du kannst _____ mitkommen.,auch,Wir gehen ins Kino und du kannst auch mitkommen.,"We are going to the cinema, and you can also come along.",
47,2,"Sie ist müde, aber sie arbeitet _____ hart.",auch,"Sie ist müde, aber sie arbeitet auch hart.","She is tired, but she also works hard.",
48,2,Ich gehe _____ spazieren.,oft,Ich gehe oft spazieren.,I go for a walk often.,
49,2,Er reist _____ nach Deutschland.,oft,Er reist oft nach Deutschland.,He often travels to Germany.,
50,2,Wir sehen uns _____.,oft,Wir sehen uns oft.,We see each other often.,
51,2,Sie geht _____ ins Kino.,oft,Sie geht oft ins Kino.,She often goes to the cinema.,
52,2,Ich mache das _____ mit meinen Freunden.,oft,Ich mache das oft mit meinen Freunden.,I often do that with my friends.,
53,2,Ich spreche _____ ein bisschen Deutsch.,nur,Ich spreche nur ein bisschen Deutsch.,I only speak a little German.,
54,2,Wir haben _____ eine Stunde Zeit.,nur,Wir haben nur eine Stunde Zeit.,We only have one hour.,
55,2,Das kostet _____ fünf Euro.,nur,Das kostet nur fünf Euro.,That only costs five euros.,
56,2,Ich wollte _____ helfen.,nur,Ich wollte nur helfen.,I just wanted to help.,
57,2,Es ist _____ ein Scherz.,nur,Es ist nur ein Scherz.,It is just a joke.,
58,2,Das Haus ist _____ von der Schule.,links,Das Haus ist links von der Schule.,The house is to the left of the school.,
59,2,Bitte biegen Sie _____ ab.,links,Bitte biegen Sie links ab.,Please turn left.,
60,2,_____ gibt es einen schönen Park.,Links,Links gibt es einen schönen Park.,There is a nice park on the left.,
61,2,Mein Auto steht _____ auf dem Parkplatz.,links,Mein Auto steht links auf dem Parkplatz.,My car is parked on the left in the parking lot.,
62,2,"Schau nach _____, bevor du die Strasse überquerst.",links,"Schau nach links, bevor du die Strasse überquerst.",Look to the left before crossing the street.,
63,2,Ich bin _____ müde.,jetzt,Ich bin jetzt müde.,I am tired now.,
64,2,Wir gehen _____ nach Hause.,jetzt,Wir gehen jetzt nach Hause.,We are going home now.,
65,2,Er arbeitet _____ im Büro.,jetzt,Er arbeitet jetzt im Büro.,He is working in the office now.,
66,2,_____ ist es sehr kalt draussen.,Jetzt,Jetzt ist es sehr kalt draussen.,It is very cold outside now.,
67,2,Ich rufe dich _____ an.,jetzt,Ich rufe dich jetzt an.,I am calling you now.,
68,2,_____ habe ich einen Termin beim Arzt.,Morgen,Morgen habe ich einen Termin beim Arzt.,Tomorrow I have an appointment with the doctor.,
69,2,Wir fahren _____ nach Berlin.,morgen,Wir fahren morgen nach Berlin.,We are going to Berlin tomorrow.,
70,2,_____ beginnt die Schule wieder.,Morgen,Morgen beginnt die Schule wieder.,School starts again tomorrow.,
71,2,Ich rufe dich _____ an.,morgen,Ich rufe dich morgen an.,I will call you tomorrow.,
72,2,Das Wetter soll _____ schön sein.,morgen,Das Wetter soll morgen schön sein.,The weather is supposed to be nice tomorrow.,
73,2,Ich verstehe das _____.,nicht,Ich verstehe das nicht.,I don’t understand that.,
74,2,Er ist heute _____ zu Hause.,nicht,Er ist heute nicht zu Hause.,He is not at home today.,
75,2,Wir haben das _____ gemacht.,nicht,Wir haben das nicht gemacht.,We did not do that.,
76,2,Sie mag Kaffee _____.,nicht,Sie mag Kaffee nicht.,She does not like coffee.,
77,2,Das ist _____ richtig.,nicht,Das ist nicht richtig.,That is not correct.,
78,2,_____ war das Wetter schön.,Gestern,Gestern war das Wetter schön.,Yesterday the weather was nice.,
79,2,Ich habe _____ einen Film gesehen.,gestern,Ich habe gestern einen Film gesehen.,I watched a movie yesterday.,
80,2,Wir waren _____ im Park.,gestern,Wir waren gestern im Park.,We were in the park yesterday.,
81,2,Er hat mich _____ angerufen.,gestern,Er hat mich gestern angerufen.,He called me yesterday.,
82,2,_____ hatte ich viel zu tun.,Gestern,Gestern hatte ich viel zu tun.,Yesterday I had a lot to do.,
83,2,Ich war noch _____ in Frankreich.,nie,Ich war noch nie in Frankreich.,I have never been to France.,
84,2,Er isst _____ Fleisch.,nie,Er isst nie Fleisch.,He never eats meat.,
85,2,Wir kommen _____ zu spät.,nie,Wir kommen nie zu spät.,We are never late.,
86,2,Sie lügt _____.,nie,Sie lügt nie.,She never lies.,
87,2,Ich habe das noch _____ gemacht.,nie,Ich habe das noch nie gemacht.,I have never done that before.,
88,2,Ich gehe _____ ins Kino.,manchmal,Ich gehe manchmal ins Kino.,I sometimes go to the cinema.,
