exercise,question,answer,german,english,french,ich,du,er/sie/es,wir,ihr,Sie
1,,,sein,to be,être,wäre,wärest,wäre,wären,wäret,wären
1,,,haben,"to have, to contain","avoir, contenir",hätte,hättest,hätte,hätten,hättet,hätten
1,,,werden,"to become, will, to be done (passive voice)",devenir,würde,würdest,würde,würden,würdet,würden
1,,,können,"can, to be able to","pouvoir, être capable de",könnte,könntest,könnte,könnten,könntet,könnten
1,,,müssen,"must, to have to, to be obliged (to do something)","devoir, être obligé (de faire quelque chose)",müsste,müsstest,müsste,müssten,müsstet,müssten
1,,,mögen,to like,"aimer, apprécier",möchte,möchtest,möchte,möchten,möchtet,möchten
1,,,dürfen,"to be allowed (to do something), may","être autorisé (à faire quelque chose), pouvoir",dürfte,dürftest,dürfte,dürften,dürftet,dürften
2,,,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",käme,kämest/kämst,käme,kämen,kämet/kämt,kämen
2,,,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",ginge,gingest/gingst,ginge,gingen,ginget/gingt,gingen
2,,,wissen,"to know, to have knowledge",savoir,wüsste,wüsstest,wüsste,wüssten,wüsstet,wüssten
2,,,finden,to find,trouver,fände,fändest,fände,fänden,fändet,fänden
2,,,geben,to give,donner,gäbe,gäbest/gäbst,gäbe,gäben,gäbet/gäbt,gäben
2,,,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",nähme,nähmest/nähmst,nähme,nähmen,nähmet/nähmt,nähmen
2,,,tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un",täte,tätest,täte,täten,tätet,täten
3,,,stehen,"to stand, to be, to appear","être debout, apparaître",stünde/stände,stündest/ständest,stünde/stände,stünden/ständen,stündet/ständet,stünden/ständen
3,,,liegen,"to lie, to be located","être allongé, être localisé",läge,lägest/lägst,läge,lägen,läget/lägt,lägen
3,,,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester",säße,säßest/säßt,säße,säßen,säßet/säßt,säßen
3,,,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",hielte,hieltest,hielte,hielten,hieltet,hielten
3,,,lassen,"to let, to leave, to allow","laisser, quitter, permettre",ließe,ließest/ließt,ließe,ließen,ließet/ließt,ließen
3,,,bringen,"to bring, to take, to lead","apporter, prendre, conduire",brächte,brächtest,brächte,brächten,brächtet,brächten
3,,,denken,"to think, to consider","penser, considérer",dächte,dächtest,dächte,dächten,dächtet,dächten
