exercise,level,level_routledge,level_goethe,question,answer,german,english,french,explanation_english_,explanation_french_,explanation_english,explanation_french
1,A1,A1,A1,das Jahr,Jahre,die Jahre,the year,l'année,,,​,​
1,A1,A1,A1,das Beispiel,Beispiele,die Beispiele,the example,l'exemple,,,​,​
1,A1,A1,A1,die Zeit,Zeiten,die Zeiten,the time,le temps,,,​,​
1,A1,A1,A1,die Frau,Frauen,die Frauen,the woman,la femme,,,​,​
1,A1,A1,A1,der Mensch,Menschen,die Menschen,the human being,l'être humain,,,​,​
1,A1,A1,A1,das Kind,Kinder,die Kinder,the child,l'enfant,,,​,​
1,A1,A1,A1,der Tag,Tage,die Tage,the day,le jour,,,​,​
1,A1,A1,A1,der Mann,Männer,die Männer,the man,l'homme,,,​,​
1,A1,A1,A1,das Land,Länder,die Länder,the country,le pays,,,​,​
1,A1,A1,A1,die Frage,Fragen,die Fragen,the question,la question,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
1,A1,A1,A1,das Haus,Häuser,die Häuser,the house,la maison,,,​,​
1,A1,A1,A1,die Arbeit,Arbeiten,die Arbeiten,the work,le travail,,,​,​
1,A1,A1,A1,das Prozent,Prozente,die Prozente,the percent,le pourcentage,,,​,​
1,A1,A1,A1,die Hand,Hände,die Hände,the hand,la main,,,​,​
1,A1,A1,A1,die Stadt,Städte,die Städte,the city,la ville,,,​,​
1,A1,A1,A1,der Herr,Herren,die Herren,"the gentleman, the lord","le monsieur, le seigneur",,,​,​
1,A1,A1,A1,der Teil,Teile,die Teile,the part,la partie,,,​,​
1,A1,A1,A1,das Problem,Probleme,die Probleme,the problem,le problème,,,​,​
1,A1,A1,A1,die Welt,Welten,die Welten,the world,le monde,,,​,​
1,A1,A1,A1,das Ende,Enden,die Enden,the end,la fin,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
2,A1,A1,A1,die Million,Millionen,die Millionen,the million,le million,,,​,​
2,A1,A1,A1,die Schule,Schulen,die Schulen,the school,l'école,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
2,A1,A1,A1,die Woche,Wochen,die Wochen,the week,la semaine,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
2,A1,A1,A1,der Vater,Väter,die Väter,the father,le père,,,​,​
2,A1,A1,A1,das Leben,Leben,die Leben,the life,la vie,,,​,​
2,A1,A1,A1,die Mutter,Mütter,die Mütter,the mother,la mère,,,​,​
2,A1,A1,A1,das Auge,Augen,die Augen,the eye,l'œil,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
2,A1,A1,A1,das Geld,Gelder,die Gelder,the money,l'argent,,,​,​
2,A1,A1,A1,die Stunde,Stunden,die Stunden,the hour,l'heure,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
2,A1,A1,A1,der Name,Namen,die Namen,the name,le nom,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
2,A1,A1,A1,der Kopf,Köpfe,die Köpfe,the head,la tête,,,​,​
2,A1,A1,A1,das Bild,Bilder,die Bilder,the image,l'image,,,​,​
2,A1,A1,A1,das Buch,Bücher,die Bücher,the book,le livre,,,​,​
2,A1,A1,A1,das Wasser,Wasser,die Wasser,the water,l'eau,,,​,​
2,A1,A1,A1,die Stelle,Stellen,die Stellen,the spot,l'endroit,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
2,A1,A1,A1,die Familie,Familien,die Familien,the family,la famille,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
2,A1,A1,A1,der Morgen,Morgen,die Morgen,the morning,le matin,,,​,​
2,A1,A1,A1,der Abend,Abende,die Abende,the evening,la soirée,,,​,​
2,A1,A1,A1,die Aufgabe,Aufgaben,die Aufgaben,the task,la tâche,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
2,A1,A1,A1,der Freund,Freunde,die Freunde,the friend,l'ami,,,​,​
3,A1,A1,A1,das Thema,Themen,die Themen,the topic,le sujet,,,​,​
3,A1,A1,A1,der Euro,Euro,die Euro,the euro,l'euro,,,​,​
3,A1,A1,A1,der Raum,Räume,die Räume,the space,l'espace,,,​,​
3,A1,A1,A1,der Blick,Blicke,die Blicke,the view,la vue,,,​,​
3,A1,A1,A1,der Platz,Plätze,die Plätze,the space,l'espace,,,​,​
3,A1,A1,A1,die Uhr,Uhren,die Uhren,the clock,l'horloge,,,​,​
3,A1,A1,A1,die Straße,Straßen,die Straßen,the street,la rue,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
3,A1,A1,A1,die Minute,Minuten,die Minuten,the minute,la minute,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
3,A1,A1,A1,die Gruppe,Gruppen,die Gruppen,the group,le groupe,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
3,A1,A1,A1,die Sprache,Sprachen,die Sprachen,the language,la langue,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
3,A1,A1,A1,der Anfang,Anfänge,die Anfänge,the beginning,le début,,,​,​
3,A1,A1,A1,der Ort,Orte,die Orte,the place,l'endroit,,,​,​
3,A1,A1,A1,der Moment,Momente,die Momente,the moment,le moment,,,​,​
3,A1,A1,A1,die Milliarde,Milliarden,die Milliarden,the billion,le milliard,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
3,A1,A1,A1,der Schüler,Schüler,die Schüler,the student,l'étudiant,,,​,​
3,A1,A1,A1,der Text,Texte,die Texte,the text,le texte,,,​,​
3,A1,A1,A1,das Ergebnis,Ergebnisse,die Ergebnisse,the result,le résultat,,,​,​
3,A1,A1,A1,die Wohnung,Wohnungen,die Wohnungen,the apartment,l'appartement,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
3,A1,A1,A1,das Gespräch,Gespräche,die Gespräche,the conversation,la conversation,,,​,​
3,A1,A1,A1,der Meter,Meter,die Meter,the meter,le compteur,,,​,​
4,A1,A1,A1,der Lehrer,Lehrer,die Lehrer,the teacher,l'enseignant,,,​,​
4,A1,A1,A1,der Preis,Preise,die Preise,the price,le prix,,,​,​
4,A1,A1,A1,der Sohn,Söhne,die Söhne,the son,le fils,,,​,​
4,A1,A1,A1,die Information,Informationen,die Informationen,the information,les informations,,,​,​
4,A1,A1,A1,der Beruf,Berufe,die Berufe,the job,le travail,,,​,​
4,A1,A1,A1,das Auto,Autos,die Autos,the car,la voiture,Many loan words add an -s in their plural form,De nombreux noms communs d'origine étrangère prennent un -s au pluriel,<br><br>Many loan words add an -s in their plural form,<br><br>De nombreux noms communs d'origine étrangère prennent un -s au pluriel
4,A1,A1,A1,der Tisch,Tische,die Tische,the table,la table,,,​,​
4,A1,A1,A1,das Licht,Lichter,die Lichter,the light,la lumière,,,​,​
4,A1,A1,A1,die Bank,Bänke,die Bänke,the Bank,la Banque,,,​,​
4,A1,A1,A1,die Tochter,Töchter,die Töchter,the daughter,la fille,,,​,​
4,A1,A1,A1,der Film,Filme,die Filme,the film,le film,,,​,​
4,A1,A1,A1,der Doktor,Doktoren,die Doktoren,the doctor,le médecin,,,​,​
4,A1,A1,A1,das Mädchen,Mädchen,die Mädchen,the girl,la fille,,,​,​
4,A1,A1,A1,der Arm,Arme,die Arme,the arm,le bras,,,​,​
4,A1,A1,A1,die Firma,Firmen,die Firmen,the Company,la société,,,​,​
4,A1,A1,A1,der Student,Studenten,die Studenten,the student,l'étudiant,,,​,​
4,A1,A1,A1,die Zeitung,Zeitungen,die Zeitungen,the newspaper,le journal,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
4,A1,A1,A1,der Satz,Sätze,die Sätze,the sentence,la phrase,,,​,​
4,A1,A1,A1,das Angebot,Angebote,die Angebote,the offer,l'offre,,,​,​
4,A1,A1,A1,das Zimmer,Zimmer,die Zimmer,the room,la chambre,,,​,​
5,A1,A1,A1,der Chef,Chefs,die Chefs,the boss,le patron,Many loan words add an -s in their plural form,De nombreux noms communs d'origine étrangère prennent un -s au pluriel,<br><br>Many loan words add an -s in their plural form,<br><br>De nombreux noms communs d'origine étrangère prennent un -s au pluriel
5,A1,A1,A1,der Zug,Züge,die Züge,the train,le train,,,​,​
5,A1,A1,A1,der Arzt,Ärzte,die Ärzte,the doctor,le médecin,,,​,​
5,A1,A1,A1,der Fuß,Füße,die Füße,the foot,le pied,,,​,​
5,A1,A1,A1,die Klasse,Klassen,die Klassen,the class,la classe,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
5,A1,A1,A1,die Lösung,Lösungen,die Lösungen,the solution,la solution,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
5,A1,A1,A1,der Junge,Jungen,die Jungen,the boy,le garçon,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
5,A1,A1,A1,das Studium,Studien,die Studien,the study,l'étude,,,​,​
5,A1,A1,A1,das Bett,Betten,die Betten,the bed,le lit,,,​,​
5,A1,A1,A1,der Kunde,Kunden,die Kunden,the customer,le client,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
5,A1,A1,A1,das Geschäft,Geschäfte,die Geschäfte,the business,l'entreprise,,,​,​
5,A1,A1,A1,der Gast,Gäste,die Gäste,the guest,l'invité,,,​,​
5,A1,A1,A1,das Dorf,Dörfer,die Dörfer,the village,le village,,,​,​
5,A1,A1,A1,der Kollege,Kollegen,die Kollegen,the colleague,le collègue,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
5,A1,A1,A1,der Bruder,Brüder,die Brüder,the brother,le frère,,,​,​
5,A1,A1,A1,der Sommer,Sommer,die Sommer,the summer,l'été,,,​,​
5,A1,A1,A1,die Antwort,Antworten,die Antworten,the answer,la réponse,,,​,​
5,A1,A1,A1,das Alter,Alter,die Alter,the age,l'âge,,,​,​
5,A1,A1,A1,die Polizei,Polizeien,die Polizeien,the police,la police,,,​,​
5,A1,A1,A1,der Kilometer,Kilometer,die Kilometer,the kilometer,le kilomètre,,,​,​
6,A1,A1,A1,die Hilfe,Hilfen,die Hilfen,the help,l'aide,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
6,A1,A1,A1,der Computer,Computer,die Computer,the computer,l'ordinateur,,,​,​
6,A1,A1,A1,die Mitte,Mitten,die Mitten,the middle,le milieu,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
6,A1,A1,A1,die Ordnung,Ordnungen,die Ordnungen,the order,l'ordre,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
6,A1,A1,A1,das Wochenende,Wochenenden,die Wochenenden,the weekend,le week-end,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
6,A1,A1,A1,die Schwester,Schwestern,die Schwestern,the sister,la sœur,,,​,​
6,A1,A1,A1,die Reise,Reisen,die Reisen,the trip,le voyage,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
6,A1,A1,A1,das Haar,Haare,die Haare,the hair,les cheveux,,,​,​
6,A1,A1,A1,der Brief,Briefe,die Briefe,the letter,la lettre,,,​,​
6,A1,A1,A1,die Größe,Größen,die Größen,the size,la taille,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
6,A1,A1,A1,der Sport,Sporte,die Sporte,the sport,le sport,,,​,​
6,A1,A1,A1,der Mund,Münder,die Münder,the mouth,la bouche,,,​,​
6,A1,A1,A1,die Aussage,Aussagen,die Aussagen,the statement,la déclaration,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
6,A1,A1,A1,die Farbe,Farben,die Farben,the color,la couleur,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
6,A1,A1,A1,das Bein,Beine,die Beine,the leg,la jambe,,,​,​
6,A1,A1,A1,der Kurs,Kurse,die Kurse,the course,le cours,,,​,​
6,A1,A1,A1,das Papier,Papiere,die Papiere,the paper,le papier,,,​,​
6,A1,A1,A1,die Sekunde,Sekunden,die Sekunden,the second,le second,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
6,A1,A1,A1,der Garten,Gärten,die Gärten,the garden,le jardin,,,​,​
6,A1,A1,A1,die Küche,Küchen,die Küchen,the kitchen,la cuisine,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
7,A1,A1,A1,das Essen,Essen,die Essen,the food,la nourriture,,,​,​
7,A1,A1,A1,das Meer,Meere,die Meere,the sea,la mer,,,​,​
7,A1,A1,A1,der Plan,Pläne,die Pläne,the plan,le plan,,,​,​
7,A1,A1,A1,der Baum,Bäume,die Bäume,the tree,l'arbre,,,​,​
7,A1,A1,A1,der Schluss,Schlüsse,die Schlüsse,the end,la fin,,,​,​
7,A1,A1,A1,das Glas,Gläser,die Gläser,the glass,le verre,,,​,​
7,A1,A1,A1,die Praxis,Praxen,die Praxen,the practice,la pratique,,,​,​
7,A1,A1,A1,der Hund,Hunde,die Hunde,the dog,le chien,,,​,​
7,A1,A1,A1,die Maschine,Maschinen,die Maschinen,the machine,la machine,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
7,A1,A1,A1,die Nummer,Nummern,die Nummern,the number,le nombre,,,​,​
7,A1,A1,A1,der Verein,Vereine,die Vereine,the Union,l'Union,,,​,​
7,A1,A1,A1,der Wagen,Wagen,die Wagen,the car,la voiture,,,​,​
7,A1,A1,A1,der Wind,Winde,die Winde,the wind,le vent,,,​,​
7,A1,A1,A1,der Job,Jobs,die Jobs,the job,le travail,Many loan words add an -s in their plural form,De nombreux noms communs d'origine étrangère prennent un -s au pluriel,<br><br>Many loan words add an -s in their plural form,<br><br>De nombreux noms communs d'origine étrangère prennent un -s au pluriel
7,A1,A1,A1,der Unterricht,Unterrichte,die Unterrichte,the lesson,la leçon,,,​,​
7,A1,A1,A1,das Hotel,Hotels,die Hotels,the hotel,l'hôtel,Many loan words add an -s in their plural form,De nombreux noms communs d'origine étrangère prennent un -s au pluriel,<br><br>Many loan words add an -s in their plural form,<br><br>De nombreux noms communs d'origine étrangère prennent un -s au pluriel
7,A1,A1,A1,der Fehler,Fehler,die Fehler,the error,l'erreur,,,​,​
7,A1,A1,A1,die Freizeit,Freizeiten,die Freizeiten,the free time,le temps libre,,,​,​
7,A1,A1,A1,der Partner,Partner,die Partner,the partner,le partenaire,,,​,​
7,A1,A1,A1,der See,Seen,die Seen,the lake,le lac,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
8,A1,A1,A1,der Arbeitsplatz,Arbeitsplätze,die Arbeitsplätze,the workplace,le lieu de travail,,,​,​
8,A1,A1,A1,die Karte,Karten,die Karten,the map,la carte,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
8,A1,A1,A1,der Urlaub,Urlaube,die Urlaube,the holidays,les vacances,,,​,​
8,A1,A1,A1,die Prüfung,Prüfungen,die Prüfungen,the exam,l'examen,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
