exercise,question,answer,german,english,french,case_english,case_french,gender_english,gender_french,person
1,,der,der/die/das,the,le/la,Nominative,Nominatif,Masculine,Masculin,
1,,das,der/die/das,the,le/la,Nominative,Nominatif,Neuter,Neutre,
1,,die,der/die/das,the,le/la,Nominative,Nominatif,Feminine,Féminin,
1,,die,der/die/das,the,les,Nominative,Nominatif,Plural,Pluriel,
1,,den,der/die/das,the,le/la,Accusative,Accusatif,Masculine,Masculin,
1,,das,der/die/das,the,le/la,Accusative,Accusatif,Neuter,Neutre,
1,,die,der/die/das,the,le/la,Accusative,Accusatif,Feminine,Féminin,
1,,die,der/die/das,the,les,Accusative,Accusatif,Plural,Pluriel,
1,,dem,der/die/das,the,le/la,Dative,Datif,Masculine,Masculin,
1,,dem,der/die/das,the,le/la,Dative,Datif,Neuter,Neutre,
1,,der,der/die/das,the,le/la,Dative,Datif,Feminine,Féminin,
1,,den,der/die/das,the,les,Dative,Datif,Plural,Pluriel,
2,_____ Woche hat sieben Tage.,Die,Die Woche hat sieben Tage.,The week has seven days.,La semaine compte sept jours.,Nominative,Nominatif,Feminine,Féminin,
2,_____ Schule ist groß.,Die,Die Schule ist groß.,The school is big.,L'école est grande.,Nominative,Nominatif,Feminine,Féminin,
2,_____ Mutter ist nett.,Die,Die Mutter ist nett.,The mother is kind.,La mère est gentille.,Nominative,Nominatif,Feminine,Féminin,
2,_____ Katze schläft auf dem Sofa.,Die,Die Katze schläft auf dem Sofa.,The cat is sleeping on the sofa.,Le chat dort sur le canapé.,Nominative,Nominatif,Feminine,Féminin,
2,_____ Sprache ist schwer.,Die,Die Sprache ist schwer.,The language is difficult.,La langue est difficile.,Nominative,Nominatif,Feminine,Féminin,
2,_____ Wohnung ist teuer.,Die,Die Wohnung ist teuer.,The apartment is expensive.,L'appartement est cher.,Nominative,Nominatif,Feminine,Féminin,
2,_____ Person ist freundlich.,Die,Die Person ist freundlich.,The person is friendly.,La personne est sympathique.,Nominative,Nominatif,Feminine,Féminin,
2,_____ Nacht ist dunkel.,Die,Die Nacht ist dunkel.,The night is dark.,La nuit est sombre.,Nominative,Nominatif,Feminine,Féminin,
2,_____ Tochter ist freundlich.,Die,Die Tochter ist freundlich.,The daughter is kind.,La fille est gentille.,Nominative,Nominatif,Feminine,Féminin,
2,_____ Frage ist einfach.,Die,Die Frage ist einfach.,The question is simple.,La question est simple.,Nominative,Nominatif,Feminine,Féminin,
2,_____ Vater ist müde.,Der,Der Vater ist müde.,The father is tired.,Le père est fatigué.,Nominative,Nominatif,Masculine,Masculin,
2,_____ Name ist bekannt.,Der,Der Name ist bekannt.,The name is familiar.,Le nom est familier.,Nominative,Nominatif,Masculine,Masculin,
2,_____ Kopf tut weh.,Der,Der Kopf tut weh.,The head hurts.,La tête me fait mal.,Nominative,Nominatif,Masculine,Masculin,
2,_____ Lehrer ist nett.,Der,Der Lehrer ist nett.,The teacher is kind.,Le professeur est gentil.,Nominative,Nominatif,Masculine,Masculin,
2,_____ Monat hat vier Wochen.,Der,Der Monat hat vier Wochen.,The month has four weeks.,Le mois a quatre semaines.,Nominative,Nominatif,Masculine,Masculin,
2,_____ Morgen ist schön.,Der,Der Morgen ist schön.,The morning is beautiful.,La matinée est belle.,Nominative,Nominatif,Masculine,Masculin,
2,_____ Abend ist ruhig.,Der,Der Abend ist ruhig.,The evening is quiet.,La soirée est calme.,Nominative,Nominatif,Masculine,Masculin,
2,_____ Staat ist reich.,Der,Der Staat ist reich.,The state is rich.,L'État est riche.,Nominative,Nominatif,Masculine,Masculin,
2,_____ Schüler ist fleißig.,Der,Der Schüler ist fleißig.,The student is hardworking.,L'étudiant est travailleur.,Nominative,Nominatif,Masculine,Masculin,
2,_____ Sohn ist klug.,Der,Der Sohn ist klug.,The son is smart.,Le fils est intelligent.,Nominative,Nominatif,Masculine,Masculin,
2,_____ Leben ist schön.,Das,Das Leben ist schön.,Life is beautiful.,La vie est belle.,Nominative,Nominatif,Neuter,Neutre,
2,_____ Haus ist neu.,Das,Das Haus ist neu.,The house is new.,La maison est neuve.,Nominative,Nominatif,Neuter,Neutre,
2,_____ Paar ist glücklich.,Das,Das Paar ist glücklich.,The couple is happy.,Le couple est heureux.,Nominative,Nominatif,Neuter,Neutre,
2,_____ Unternehmen ist groß.,Das,Das Unternehmen ist groß.,The company is big.,L'entreprise est grande.,Nominative,Nominatif,Neuter,Neutre,
2,_____ Bild ist schön.,Das,Das Bild ist schön.,The picture is beautiful.,La photo est belle.,Nominative,Nominatif,Neuter,Neutre,
2,_____ Buch ist spannend.,Das,Das Buch ist spannend.,The book is exciting.,Le livre est passionnant.,Nominative,Nominatif,Neuter,Neutre,
2,_____ Stück ist small.,Das,Das Stück ist small.,The piece is small.,La pièce est petite.,Nominative,Nominatif,Neuter,Neutre,
2,_____ Auto ist schnell.,Das,Das Auto ist schnell.,The car is fast.,La voiture est rapide.,Nominative,Nominatif,Neuter,Neutre,
2,_____ Auge ist blau.,Das,Das Auge ist blau.,The eye is blue.,L'œil est bleu.,Nominative,Nominatif,Neuter,Neutre,
2,_____ Ziel ist weit.,Das,Das Ziel ist weit.,The destination is far.,La destination est loin.,Nominative,Nominatif,Neuter,Neutre,
2,_____ Eltern sind nett.,Die,Die Eltern sind nett.,The parents are kind.,Les parents sont gentils.,Nominative,Nominatif,Plural,Pluriel,
2,_____ Straßen sind lang.,Die,Die Straßen sind lang.,The roads are long.,Les routes sont longues.,Nominative,Nominatif,Plural,Pluriel,
2,_____ Wörter sind lang.,Die,Die Wörter sind lang.,The words are long.,Les mots sont longs.,Nominative,Nominatif,Plural,Pluriel,
2,_____ Preise sind hoch.,Die,Die Preise sind hoch.,The prices are high. ,Les prix sont élevés.,Nominative,Nominatif,Plural,Pluriel,
2,_____ Freunde sind nett.,Die,Die Freunde sind nett.,The friends are nice.,Les amis sont sympas.,Nominative,Nominatif,Plural,Pluriel,
2,_____ Kirchen sind alt.,Die,Die Kirchen sind alt.,The churches are old.,Les églises sont vieilles.,Nominative,Nominatif,Plural,Pluriel,
2,_____ Gruppen sind klein.,Die,Die Gruppen sind klein.,The groups are small.,Les groupes sont petits.,Nominative,Nominatif,Plural,Pluriel,
2,_____ Türen sind offen.,Die,Die Türen sind offen.,The doors are open.,Les portes sont ouvertes.,Nominative,Nominatif,Plural,Pluriel,
2,_____ Orangen sind frisch.,Die,Die Orangen sind frisch.,The oranges are fresh.,Les oranges sont fraîches.,Nominative,Nominatif,Plural,Pluriel,
2,_____ Tische sind aus Holz.,Die,Die Tische sind aus Holz.,The tables are of wood.,Les tables sont en bois.,Nominative,Nominatif,Plural,Pluriel,
3,Wir besuchen _____ Schule jeden Tag.,die,Wir besuchen die Schule jeden Tag.,We visit the school every day.,Nous visitons l'école tous les jours.,Accusative,Accusatif,Feminine,Féminin,
3,Ich plane _____ Woche im Voraus.,die,Ich plane die Woche im Voraus.,I plan the week in advance.,Je planifie la semaine à l'avance.,Accusative,Accusatif,Feminine,Féminin,
3,Wir besuchen _____ Mutter am Wochenende.,die,Wir besuchen die Mutter am Wochenende.,We visit the mother on the weekend.,Nous rendons visite à la mère le week-end.,Accusative,Accusatif,Feminine,Féminin,
