Nr,level,level_verben,question,answer,german,english
1,1,,the tax,die Abgabe,die Gabe,the gift
2,1,,the input,die Eingabe,die Gabe,the gift
3,1,,"the output, expense, expenditure",die Ausgabe,die Gabe,the gift
4,1,,the guideline,die Vorgabe,die Gabe,the gift
5,1,,the task,die Aufgabe,die Gabe,the gift
6,1,,"the ascent, the rise",der Aufgang,der Gang,the walk
7,1,,"the passage, the transit",der Durchgang,der Gang,the walk
8,1,,"the decline, the downfall",der Niedergang,der Gang,the walk
9,1,,"the decline, the decrease",der Rückgang,der Gang,the walk
10,1,,"the process, the procedure",der Vorgang,der Gang,the walk
11,1,,"the access, the entrance",der Zugang,der Gang,the walk
12,1,,"the transition, the crossing",der übergang,der Gang,the walk
13,1,,"the downfall, the decline",der Untergang,der Gang,the walk
14,1,,"the exit, the outcome",der Ausgang,der Gang,the walk
15,1,,"the entrance, the entry",der Eingang,der Gang,the walk
16,1,,"the view, the outlook",der Ausblick,der Blick,the view
17,1,,the insight,der Einblick,der Blick,the view
18,1,,the overview,der überblick,der Blick,the view
19,1,,"the review, the retrospect",der Rückblick,der Blick,the view
20,1,,"the moment, the instant",der Augenblick,der Blick,the view
21,1,,the foresight,der Weitblick,der Blick,the view
22,1,,"the sight, the view",der Anblick,der Blick,the view
23,1,,"the understanding, the comprehension",der Durchblick,der Blick,the view
24,1,,the accident,der Umfall,der Fall,the case
25,1,,the coincidence,der Zufall,der Fall,the case
26,1,,"the waste, the garbage",der Abfall,der Fall,the case
27,1,,the emergency,der Notfall,der Fall,the case
28,1,,the inscription,die Aufschrift,die Schrift,"the writing, the scripture"
29,1,,the inscription,die Inschrift,die Schrift,"the writing, the scripture"
30,1,,the handwriting,die Handschrift,die Schrift,"the writing, the scripture"
31,1,,the signature,due Unterschrift,die Schrift,"the writing, the scripture"
32,1,,the regulation,die Vorschrift,die Schrift,"the writing, the scripture"
33,1,,the departure,der Auszug,der Zug,"the train, the pull"
34,1,,the entry,der Einzug,der Zug,"the train, the pull"
35,1,,"the move, the relocation",der Umzug,der Zug,"the train, the pull"
36,1,,the suit,der Anzug,der Zug,"the train, the pull"
37,1,,the retreat,der Rückzug,der Zug,"the train, the pull"
38,1,,the perspective,der Aussicht,der Sicht,the view
39,1,,the view,der Ansicht,der Sicht,the view
40,1,,the overview,der übersicht,der Sicht,the view
41,1,,the insight,der Einsicht,der Sicht,the view
42,1,,the consideration,der Rücksicht,der Sicht,the view
43,1,,the uprising,der Aufstand,der Stand,the stand
44,1,,the condition,der Zustand,der Stand,the stand
45,1,,the resistance,der Widerstand,der Stand,the stand
46,1,,the distance,der Abstand,der Stand,the stand
47,1,,the wrong way,der Abweg,der Weg,the way
48,1,,the detour,der Umweg,der Weg,the way
49,1,,the way out,der Ausweg,der Weg,the way
50,1,,the way back,der Rückweg,der Weg,the way
51,1,,"the paragraph, the sales",der Absatz,der Satz,"the sentence, the clause"
52,1,,"the approach, the attempt",der Ansatz,der Satz,"the sentence, the clause"
53,1,,"the essay, the article",der Aufsatz,der Satz,"the sentence, the clause"
54,1,,"the commitment, the deployment",der Einsatz,der Satz,"the sentence, the clause"
55,1,,"the replacement, the substitute",der Ersatz,der Satz,"the sentence, the clause"
56,1,,"the principle, the tenet",der Grundsatz,der Satz,"the sentence, the clause"
57,1,,"the theorem, the proposition",der Lehrsatz,der Satz,"the sentence, the clause"
58,1,,"the postscript, the afterthought",der Nachsatz,der Satz,"the sentence, the clause"
59,1,,"the intention, the premiditation",der Vorsatz,der Satz,"the sentence, the clause"
60,1,,"the turnover, the sales",der Umsatz,der Satz,"the sentence, the clause"
61,1,,"the addition, the supplement",der Satz,der Satz,"the sentence, the clause"
62,1,,"the statement, the testimony",die Aussage,die Sage,"the sage, the tale, the legend"
63,1,,"the promise, the commitment",die Zusage,die Sage,"the sage, the tale, the legend"
64,1,,"the cancellation, the refusal",die Absage,die Sage,"the sage, the tale, the legend"
65,1,,"the decrease, the reduction",die Abnahme,die Nahme,the act of taking
66,1,,"the assumption, the hypothesis",die Annahme,die Nahme,the act of taking
67,1,,"the reception, the recoding, the admission",die Aufnahme,die Nahme,the act of taking
68,1,,the exception,die Ausnahme,die Nahme,the act of taking
69,1,,"the receipt, the revenue",die Einnahme,die Nahme,the act of taking
70,1,,"the removal, the withdrawal",die Entnahme,die Nahme,the act of taking
71,1,,"the acceptance, the takeover, the acquisition",die Übernahme,die Nahme,the act of taking
72,1,,the increase,die Zunahme,die Nahme,the act of taking
73,2,A1,the work,die Arbeit,arbeiten,to work
74,2,A1,the thought,der Gedanke,denken,to think
75,2,A1,the monument,das Denkmal,denken,to think
76,2,A1,"the meal, the food",das Essen,essen,to eat
77,2,A1,the walk,der Gang,gehen,to go
78,2,A1,the belief,der Glaube,glauben,to believe
79,2,A1,the knowledge,die Kenntnis,kennen,to know (a person)
80,2,A1,the acquaintance,die Bekannte,kennen,to know (a person)
81,2,A1,the life,das Leben,leben,to live
82,2,A1,the love,die Liebe,lieben,to love
83,2,A1,the power,die Macht,machen,"to make, to do"
84,2,A1,the speech,die Rede,reden,to talk
85,2,A1,the sight,die Sicht,sehen,to see
86,2,A1,"the being, the existence",das Sein,sein,to be
87,2,A1,"the languge, the speech",die Sprache,sprechen,to speak
88,2,A1,the conversation,das Gespräch,sprechen,to speak
89,2,A1,"the action, the act",die Tat,tun,to do
90,2,A1,the understanding,das Verständnis,verstehen,to understand
91,2,A1,the mind,der Verstand,verstehen,to understand
92,2,A1,the wait,das Warten,warten,to wait
93,2,A1,the knowledge,das Wissen,wissen,to know
94,2,A1,the science,die Wissenschaft,wissen,to know
95,2,A1,the scientist,der Wissenschaftler,wissen,to know
96,2,A1,the will,der Wille,wollen,to want
97,2,A1,the meaning,die Bedeutung,bedeuten,to mean
98,2,A1,the spelling,das Buchstabieren,buchstabieren,to spell
99,2,A1,the memory,die Erinnerung,erinnern,to remember
100,2,A1,the explanation,die Erklärung,erklären,to explain
101,2,A1,the narration,die Erzählung,erzählen,to tell
102,2,A1,the drive,die Fahrt,fahren,to drive
103,2,A1,the question,die Frage,fragen,to ask
104,2,A1,the feeling,das Gefühl,fühlen,to feel
105,2,A1,the leadership,die Führung,führen,to lead
106,2,A1,the functionality,die Funktion,funktionieren,to function
107,2,A1,the hope,die Hoffnung,hoffen,to hope
108,2,A1,the interest,das Interesse,interessieren,to be interested
109,2,A1,the purchase,der Kauf,kaufen,to buy
110,2,A1,the cost,der Preis,kosten,to cost
111,2,A1,the run,der Lauf,laufen,to run
112,2,A1,the rain,der Regen,regnen,to rain
113,2,A1,the sleep,der Schlaf,schlafen,to sleep
114,2,A1,the snow,der Schnee,schneien,to snow
115,2,A1,the game,das Spiel,spielen,to play
116,2,A1,the search,die Suche,suchen,to search
117,2,A1,the meeting,das Treffen,treffen,to meet
118,2,A1,the drink,das Getränk,trinken,to drink
119,2,A1,the translation,die Übersetzung,übersetzen,to translate
120,2,A1,the attempt,der Versuch,versuchen,to try
121,2,A1,the repetition,die Wiederholung,wiederholen,to repeat
122,2,A1,the residence,der Wohnsitz,wohnen,to live
123,2,A1,the apartment,die Wohnung,wohnen,to live
124,2,A1,the payment,die Zahlung,zahlen,to pay
125,2,A1,the drawing,die Zeichnung,zeichnen,to draw
126,2,A1,the train,der Zug,ziehen,to pull
127,3,A2,the change,die Änderung,ändern,to change
128,3,A2,the beginning,der Anfang,anfangen,to begin
129,3,A2,the call,der Anruf,anrufen,to call (on phone)
130,3,A2,the view,die Ansicht,ansehen,to look at
131,3,A2,the appearance,das Aussehen,aussehen,to look like (appearance)
132,3,A2,the view,die Aussicht,aussehen,to look like
133,3,A2,the appearance,das Aussehen,aussehen,to look like
134,3,A2,the beginning,der Beginn,beginnen,to begin
135,3,A2,the use,die Benutzung,benutzen,to use
136,3,A2,the determination,die Bestimmung,bestimmen,to determine
137,3,A2,the visit,der Besuch,besuchen,to visit
138,3,A2,the payment,die Bezahlung,bezahlen,to pay
139,3,A2,the invitation,die Einladung,einladen,to invite
140,3,A2,the television,das Fernsehen,fernsehen,to watch TV
141,3,A2,"the result, the consequence",die Folge,folgen,to follow
142,3,A2,the joy,die Freude,freuen,to be happy
143,3,A2,the pleasure,das Gefallen,gefallen,to please
144,3,A2,"the belonging, the affiliation",die Zugehörigkeit,gehören,to belong
145,3,A2,the victory,der Gewinn,gewinnen,to win
146,3,A2,the retrieval,das Holen,holen,to fetch
147,3,A2,the laughter,das Lachen,lachen,to laugh
148,3,A2,the placement,das Legen,legen,to lay
149,3,A2,the position,die Lage,liegen,to lie (down)
150,3,A2,the opening,die Öffnung,öffnen,to open
151,3,A2,the attempt,die Probe,probieren,to try
152,3,A2,the show,der Schau,schauen,to show
153,3,A2,the appearance,der Schein,scheinen,to seem
154,3,A2,the closure,die Schließung,schliessen,to close
155,3,A2,the castle,der Schloss,schliessen,to close
156,3,A2,the key,der Schlüssel,schliessen,to close
157,3,A2,the seat,der Sitz,sitzen,to sit
158,3,A2,"the spot, the position (work)",die Stelle,stellen,to place
159,3,A2,"the placement, the position",die Stellung,stellen,to place
160,3,A2,the dream,der Traum,träumen,to dream
161,3,A2,the sale,der Verkauf,verkaufen,to sell
162,3,A2,the loss,der Verlust,verlieren,to lose
163,3,A2,the wish,der Wunsch,wünschen,to wish
164,3,A2,the arrival,die Ankunft,ankommen,to arrive
165,3,A2,the registration,die Anmeldung,anmelden,to register
166,3,A2,the answer,die Antwort,antworten,to answer
167,3,A2,the construction,der Bau,bauen,to build
168,3,A2,the building,das Gebäude,bauen,to build
169,3,A2,the movement,die Bewegung,bewegen,to move
170,3,A2,the break,der Bruch,brechen,to break
171,3,A2,the duration,die Dauer,dauern,to last
172,3,A2,the decision,die Entscheidung,entscheiden,to decide
173,3,A2,the recognition,die Erkenntnis,erkennen,to recognize
174,3,A2,the absence,das Fehlen,fehlen,to lack
175,3,A2,"the mistake, the fault",der Fehler,fehlen,to miss
176,3,A2,the celebration,die Feier,feiern,to celebrate
177,3,A2,the suspension,das Hängen,hängen,to hang
178,3,A2,the help,die Hilfe,helfen,to help
179,3,A2,the fight,der Kampf,kämpfen,to fight
180,3,A2,the permission,das Lassen,lassen,to let
181,3,A2,the report,die Meldung,melden,to report
182,3,A2,"the rent, the rental",die Miete,mieten,to rent
183,3,A2,the smoke,der Rauch,rauchen,to smoke
184,3,A2,the journey,die Reise,reisen,to travel
185,3,A2,"the care, the concern",die Sorge,sorgen,to care
186,3,A2,the theft,der Diebstahl,stehlen,to steal
187,3,A2,the division,die Teilung,teilen,to share
188,3,A2,the surprise,die Überraschung,überraschen,to surprise
189,3,A2,the signature,die Unterschrift,unterschreiben,to sign
190,3,A2,the marriage,die Verheiratung,verheiraten,to be married
191,3,A2,the promise,das Versprechen,versprechen,to promise
192,3,A2,the trust,das Vertrauen,vertrauen,to trust
193,3,A2,the introduction,die Vorstellung,vorstellen,to introduce
194,3,A2,the choice,die Wahl,wählen,to choose
195,3,A2,the throw,der Wurf,werfen,to throw
196,3,A2,the number,die Zahl,zählen,to count
197,3,A2,the agreement,die Zustimmung,zustimmen,to agree
198,4,B1,the submission,die Abgabe,abgeben,to hand over
199,4,B1,the respect,die Achtung,achten,to respect
200,4,B1,the acceptance,die Annahme,annehmen,to accept
201,4,B1,the position,das Befinden,befinden,to be located
202,4,B1,the possession,der Besitz,besitzen,to own
203,4,B1,the offer,das Angebot,bieten,to offer
204,4,B1,the request,die Bitte,bitten,to ask (for)
205,4,B1,the service,der Dienst,dienen,to serve
206,4,B1,the turn,die Drehung,drehen,to turn
207,4,B1,the pressure,der Druck,drücken,to press
208,4,B1,the end,das Ende,enden,to end
209,4,B1,the content,der Inhalt,enthalten,to contain
210,4,B1,the expectation,die Erwartung,erwarten,to expect
211,4,B1,the fall,der Fall,fallen,to fall
212,4,B1,the catch,der Fang,fangen,to catch
213,4,B1,the guess,der Rat,raten,to guess
214,4,B1,the estimation,die Schätzung,schätzen,to estimate
215,4,B1,the gift,das Geschenk,schenken,to give (a gift)
216,4,B1,the protection,der Schutz,schützen,to protect
217,4,B1,the jump,der Sprung,springen,to jump
218,4,B1,the disturbance,die Störung,stören,to disturb
219,4,B1,the death,der Tod,töten,to kill
220,4,B1,"the take over, the assumption",die Übernahme,übernehmen,"to take over, to assume"
221,4,B1,the modification,die Veränderung,verändern,to alter
222,4,B1,the prohibition,das Verbot,verbieten,to forbid
223,4,B1,the comparison,der Vergleich,vergleichen,to compare
224,4,B1,the injury,die Verletzung,verletzen,to injure
225,4,B1,the miss,das Verpassen,verpassen,to miss (an event)
226,4,B1,the disappearance,das Verschwinden,verschwinden,to disappear
227,4,B1,the growth,das Wachstum,wachsen,to grow
228,4,B1,the cry,das Weinen,weinen,to cry
229,4,B1,the destruction,die Zerstörung,zerstören,to destroy
230,4,B1,the pickup,die Abholung,abholen,to pick up
231,4,B1,the cancellation,die Absage,absagen,to cancel
232,4,B1,the annoyance,der Ärger,ärgern,to annoy
233,4,B1,the representation,die Darstellung,darstellen,to represent
234,4,B1,the removal,die Entfernung,entfernen,to remove
235,4,B1,"the preservation, the receipt",der Erhalt,erhalten,"to receive, to preserve"
236,4,B1,the permission,die Erlaubnis,erlauben,to allow
237,4,B1,the adulthood,das Erwachsenenalter,erwachsen,to grow up
238,4,B1,the adult,der Erwachsene,erwachsen,to grow up
239,4,B1,the grip,der Griff,greifen,to grab
240,4,B1,the hatred,der Hass,hassen,to hate
241,4,B1,the resignation,die Kündigung,kündigen,to resign
242,4,B1,the kiss,der Kuss,küssen,to kiss
243,4,B1,the collection,die Sammlung,sammeln,to collect
244,4,B1,the push,der Schub,schieben,to push
245,4,B1,the separation,die Trennung,trennen,to separate
246,4,B1,the move,der Umzug,umziehen,to move
247,4,B1,the disguise,die Verkleidung,verkleiden,to disguise
248,4,B1,the change,der Wechsel,wechseln,to change
249,4,B1,the effect,die Wirkung,wirken,to have an effect
250,4,B1,the comeback,das Zurückkommen,zurückkommen,to come back
251,4,B1,the rest,die Ruhe,ausruhen,to rest
