exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french,explanation_synonym_english,explanation_synonym_french
1,,und,und,,and,et,Coordinating conjunction,Conjonction de coordination,und = and ● Coordinating conjunction,und = et ● Conjonction de coordination,,
1,,aber,aber,,but,mais,Coordinating conjunction,Conjonction de coordination,aber = but ● Coordinating conjunction,aber = mais ● Conjonction de coordination,,
1,,oder,oder,,or,"ou, ou bien, ou alors",Coordinating conjunction,Conjonction de coordination,oder = or ● Coordinating conjunction,"oder = ou, ou bien, ou alors ● Conjonction de coordination",,
1,,denn,denn,,"for, because","car, parce que",Coordinating conjunction,Conjonction de coordination,"denn = for, because ● Coordinating conjunction","denn = car, parce que ● Conjonction de coordination",,
2,Ich gehe einkaufen _____ mein Bruder kocht das Abendessen.,und,und,Ich gehe einkaufen und mein Bruder kocht das Abendessen.,"I go shopping, and my brother cooks dinner.",Je vais faire les courses et mon frère prépare le dîner.,,,und = and ● Coordinating conjunction,und = et ● Conjonction de coordination,,
2,Wir lernen Deutsch _____ wir hören deutsche Musik.,und,und,Wir lernen Deutsch und wir hören deutsche Musik.,"We learn German, and we listen to German music.",Nous apprenons l’allemand et nous écoutons de la musique allemande.,,,und = and ● Coordinating conjunction,und = et ● Conjonction de coordination,,
2,Sie liest ein Buch _____ ihr Freund schaut einen Film.,und,und,Sie liest ein Buch und ihr Freund schaut einen Film.,"She reads a book, and her boyfriend watches a movie.",Elle lit un livre et son petit ami regarde un film.,,,und = and ● Coordinating conjunction,und = et ● Conjonction de coordination,,
2,Er putzt das Haus _____ seine Schwester macht die Wäsche.,und,und,Er putzt das Haus und seine Schwester macht die Wäsche.,"He cleans the house, and his sister does the laundry.",Il nettoie la maison et sa sœur fait la lessive.,,,und = and ● Coordinating conjunction,und = et ● Conjonction de coordination,,
2,Wir essen zusammen _____ dann spielen wir Karten.,und,und,Wir essen zusammen und dann spielen wir Karten.,"We eat together, and then we play cards.","Nous mangeons ensemble, puis nous jouons aux cartes.",,,und = and ● Coordinating conjunction,und = et ● Conjonction de coordination,,
2,"Ich möchte ins Kino gehen, _____ ich habe keine Zeit.",aber,aber,"Ich möchte ins Kino gehen, aber ich habe keine Zeit.","I want to go to the cinema, but I have no time.","Je veux aller au cinéma, mais je n'ai pas le temps.",,,aber = but ● Coordinating conjunction,aber = mais ● Conjonction de coordination,,
2,"Er lernt viel, _____ er versteht die Grammatik nicht.",aber,aber,"Er lernt viel, aber er versteht die Grammatik nicht.","He studies a lot, but he doesn’t understand the grammar.","Il étudie beaucoup, mais il ne comprend pas la grammaire.",,,aber = but ● Coordinating conjunction,aber = mais ● Conjonction de coordination,,
2,"Sie mag Sport, _____ sie geht selten ins Fitnessstudio.",aber,aber,"Sie mag Sport, aber sie geht selten ins Fitnessstudio.","She likes sports, but she rarely goes to the gym.","Elle aime le sport, mais elle va rarement à la salle de sport.",,,aber = but ● Coordinating conjunction,aber = mais ● Conjonction de coordination,,
2,"Wir wollten spazieren gehen, _____ es hat geregnet.",aber,aber,"Wir wollten spazieren gehen, aber es hat geregnet.","We wanted to go for a walk, but it rained.","Nous voulions faire une promenade, mais il pleuvait.",,,aber = but ● Coordinating conjunction,aber = mais ● Conjonction de coordination,,
2,"Ich esse gern Pizza, _____ ich koche nicht oft.",aber,aber,"Ich esse gern Pizza, aber ich koche nicht oft.","I like eating pizza, but I don’t cook often.","J’aime manger de la pizza, mais je ne cuisine pas souvent.",,,aber = but ● Coordinating conjunction,aber = mais ● Conjonction de coordination,,
