Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,verb_german,verb_english,verb_french,explanation_english_article,explanation_french_article,valency_english,valency_french,explanation_english_valency,explanation_french_valency,explanation_english_verb,explanation_french_verb,explanation_english,explanation_french
1,1,Ich danke _____ für deine Hilfe.,dir,Ich danke dir für deine Hilfe.,I thank you for your help.,Je te remercie pour ton aide.,du,Dative,Datif,,,danken,to thank,remercier,"du, Dative → dir","du, Datif → dir",Dative,Datif,danken → Dative,danken → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"du, Dative → dir<br><br>danken → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>danken = to thank","du, Datif → dir<br><br>danken → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>danken = remercier"
2,1,Er dankt _____ Mutter für das Geschenk.,seiner,Er dankt seiner Mutter für das Geschenk.,He thanks his mother for the gift.,Il remercie sa mère pour le cadeau.,sein,Dative,Datif,Feminine,Féminin,danken,to thank,remercier,"sein, Feminine, Dative → seiner","sein, Féminin, Datif → seiner",Dative,Datif,danken → Dative,danken → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"sein, Feminine, Dative → seiner<br><br>danken → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>danken = to thank","sein, Féminin, Datif → seiner<br><br>danken → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>danken = remercier"
3,1,Wir danken _____ Lehrer für den Unterricht.,dem,Wir danken dem Lehrer für den Unterricht.,We thank the teacher for the lesson.,Nous remercions le professeur pour le cours.,der/die/das,Dative,Datif,Masculine,Masculin,danken,to thank,remercier,"der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,danken → Dative,danken → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"der/die/das, Masculine, Dative → dem<br><br>danken → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>danken = to thank","der/die/das, Masculin, Datif → dem<br><br>danken → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>danken = remercier"
4,2,Das Buch gehört _____.,mir,Das Buch gehört mir.,The book belongs to me.,Le livre m’appartient.,ich,Dative,Datif,,,gehören,to belong to,appartenir à,"ich, Dative → mir","ich, Datif → mir",Dative,Datif,gehören → Dative,gehören → Datif,,,"ich, Dative → mir<br><br>gehören → Dative<br><br>gehören = to belong to","ich, Datif → mir<br><br>gehören → Datif<br><br>gehören = appartenir à"
5,2,Das Auto gehört _____ Bruder.,meinem,Das Auto gehört meinem Bruder.,The car belongs to my brother.,La voiture appartient à mon frère.,mein,Dative,Datif,Masculine,Masculin,gehören,to belong to,appartenir à,"mein, Masculine, Dative → meinem","mein, Masculin, Datif → meinem",Dative,Datif,gehören → Dative,gehören → Datif,,,"mein, Masculine, Dative → meinem<br><br>gehören → Dative<br><br>gehören = to belong to","mein, Masculin, Datif → meinem<br><br>gehören → Datif<br><br>gehören = appartenir à"
6,2,Diese Tasche gehört _____ Frau dort.,der,Diese Tasche gehört der Frau dort.,This bag belongs to the woman over there.,Ce sac appartient à la femme là-bas.,der/die/das,Dative,Datif,Feminine,Féminin,gehören,to belong to,appartenir à,"der/die/das, Feminine, Dative → der","der/die/das, Féminin, Datif → der",Dative,Datif,gehören → Dative,gehören → Datif,,,"der/die/das, Feminine, Dative → der<br><br>gehören → Dative<br><br>gehören = to belong to","der/die/das, Féminin, Datif → der<br><br>gehören → Datif<br><br>gehören = appartenir à"
7,3,Ich helfe _____ bei den Hausaufgaben.,dir,Ich helfe dir bei den Hausaufgaben.,I help you with the homework.,Je t’aide avec les devoirs.,du,Dative,Datif,,,helfen,to help,aider,"du, Dative → dir","du, Datif → dir",Dative,Datif,helfen → Dative,helfen → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"du, Dative → dir<br><br>helfen → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>helfen = to help","du, Datif → dir<br><br>helfen → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>helfen = aider"
8,3,Sie hilft _____ Mann im Garten.,dem,Sie hilft dem Mann im Garten.,She helps the man in the garden.,Elle aide l’homme dans le jardin.,der/die/das,Dative,Datif,Masculine,Masculin,helfen,to help,aider,"der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,helfen → Dative,helfen → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"der/die/das, Masculine, Dative → dem<br><br>helfen → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>helfen = to help","der/die/das, Masculin, Datif → dem<br><br>helfen → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>helfen = aider"
9,3,Wir helfen _____ Freunden bei dem Umzug.,unseren,Wir helfen unseren Freunden bei dem Umzug.,We help our friends with the move.,Nous aidons nos amis pour le déménagement.,unser,Dative,Datif,Masculine,Masculin,helfen,to help,aider,"unser, Masculine, Dative → unseren","unser, Masculin, Datif → unseren",Dative,Datif,helfen → Dative,helfen → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"unser, Masculine, Dative → unseren<br><br>helfen → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>helfen = to help","unser, Masculin, Datif → unseren<br><br>helfen → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>helfen = aider"
10,1,Es tut _____ leid.,mir,Es tut mir leid.,I am sorry.,Je suis désolé.,ich,Dative,Datif,,,leidtun,"to be sorry, to feel sorry","être désolé, avoir de la peine","ich, Dative → mir","ich, Datif → mir",Dative,Datif,leidtun → Dative,leidtun → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"ich, Dative → mir<br><br>leidtun → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>leidtun = to be sorry, to feel sorry","ich, Datif → mir<br><br>leidtun → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>leidtun = être désolé, avoir de la peine"
11,1,"Es tut _____ leid, dass er zu spät kommt.",ihm,"Es tut ihm leid, dass er zu spät kommt.",He is sorry that he is late.,Il est désolé d’arriver en retard.,er,Dative,Datif,,,leidtun,"to be sorry, to feel sorry","être désolé, avoir de la peine","er, Dative → ihm","er, Datif → ihm",Dative,Datif,leidtun → Dative,leidtun → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"er, Dative → ihm<br><br>leidtun → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>leidtun = to be sorry, to feel sorry","er, Datif → ihm<br><br>leidtun → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>leidtun = être désolé, avoir de la peine"
12,1,Es tut _____ leid für den Fehler.,uns,Es tut uns leid für den Fehler.,We are sorry for the mistake.,Nous sommes désolés pour l’erreur.,wir,Dative,Datif,,,leidtun,"to be sorry, to feel sorry","être désolé, avoir de la peine","wir, Dative → uns","wir, Datif → uns",Dative,Datif,leidtun → Dative,leidtun → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"wir, Dative → uns<br><br>leidtun → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>leidtun = to be sorry, to feel sorry","wir, Datif → uns<br><br>leidtun → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>leidtun = être désolé, avoir de la peine"
13,2,Das Buch gefällt _____.,mir,Das Buch gefällt mir.,I like the book.,Le livre me plaît.,ich,Dative,Datif,,,gefallen,"to please, to appeal to",plaire,"ich, Dative → mir","ich, Datif → mir",Dative,Datif,gefallen → Dative,gefallen → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"ich, Dative → mir<br><br>gefallen → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>gefallen = to please, to appeal to","ich, Datif → mir<br><br>gefallen → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>gefallen = plaire"
14,2,Die Musik gefällt _____ sehr.,ihm,Die Musik gefällt ihm sehr.,He likes the music very much.,La musique lui plaît beaucoup.,er,Dative,Datif,,,gefallen,"to please, to appeal to",plaire,"er, Dative → ihm","er, Datif → ihm",Dative,Datif,gefallen → Dative,gefallen → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"er, Dative → ihm<br><br>gefallen → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>gefallen = to please, to appeal to","er, Datif → ihm<br><br>gefallen → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>gefallen = plaire"
