Nr,exercise,original_exercise,question,answer,german,english,french,person,preposition,article,combination,case_english_,case_french_,gender_english,gender_french,explanation_english,explanation_french,case_english,case_french
1,1,1,Wir fahren _____ Schule nach Hause.,nach der,Wir fahren nach der Schule nach Hause.,We go home after school.,Nous rentrons à la maison après l'école.,der/die/das,nach,der,,Dative,Datif,Feminine,Féminin,to indicate that an event is after another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,", Dative",", Datif"
2,2,1,_____ Essen wasche ich meine Hände.,Vor dem,Vor dem Essen wasche ich meine Hände.,"Before eating, I wash my hands.","Avant de manger, je me lave les mains.",der/die/das,vor,dem,,Dative,Datif,Plural,Pluriel,to indicate that an event is before another → vor + Dat.,pour indiquer qu'un événement est antérieur à un autre → vor + Dat.,", Dative",", Datif"
3,3,1,_____ Schule spiele ich mit meinem Bruder.,Vor der,Vor der Schule spiele ich mit meinem Bruder.,I play with my brother before school.,Je joue avec mon frère avant l'école.,der/die/das,vor,der,,Dative,Datif,Masculine,Masculin,to indicate that an event is before another → vor + Dat.,pour indiquer qu'un événement est antérieur à un autre → vor + Dat.,", Dative",", Datif"
4,4,1,_____ Nacht ist es sehr ruhig.,In der,In der Nacht ist es sehr ruhig.,"At night, it is very quiet.","La nuit, c'est très calme.",der/die/das,In,der,,Dative,Datif,Feminine,Féminin,"to introduce a month, a season or before the word ""Nacht"" → in + Dat.","pour indiquer un mois, une saison ou avant le mot ""Nacht"" → in + Dat.",", Dative",", Datif"
5,1,1,_____ Woche regnet es jeden Tag.,Seit einer,Seit einer Woche regnet es jeden Tag.,It has been raining every day for a week.,Il pleut tous les jours depuis une semaine.,ein,Seit,einer,,Dative,Datif,Feminine,Féminin,general translation of <i>since</i> → seit + Dat.,traduction générale de <i>depuis</i> → seit + Dat.,", Dative",", Datif"
6,2,1,_____ Wochenende fühle ich mich besser.,Seit dem,Seit dem Wochenende fühle ich mich besser.,I have been feeling better since the weekend.,Je me sens mieux depuis le week-end.,der/die/das,Seit,dem,,Dative,Datif,Neuter,Neutre,general translation of <i>since</i> → seit + Dat.,traduction générale de <i>depuis</i> → seit + Dat.,", Dative",", Datif"
7,3,1,_____ Frühstück gehe ich zur Arbeit.,Nach dem,Nach dem Frühstück gehe ich zur Arbeit.,"After breakfast, I go to work.","Après le petit-déjeuner, je vais travailler.",der/die/das,Nach,dem,,Dative,Datif,Neuter,Neutre,to indicate that an event is after another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,", Dative",", Datif"
8,4,1,_____ Sport dusche ich immer.,Nach dem,Nach dem Sport dusche ich immer.,"After sports, I always take a shower.","Après le sport, je prends toujours une douche.",der/die/das,Nach,dem,,Dative,Datif,Masculine,Masculin,to indicate that an event is after another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,", Dative",", Datif"
9,1,1,_____ Schlafen lese ich ein Buch.,Vor dem,Vor dem Schlafen lese ich ein Buch.,"Before sleeping, I read a book.","Avant de dormir, je lis un livre.",der/die/das,Vor,dem,,Dative,Datif,Neuter,Neutre,to indicate that an event is before another → vor + Dat.,pour indiquer qu'un événement est antérieur à un autre → vor + Dat.,", Dative",", Datif"
10,2,1,Die Pause ist _____ zwei Unterrichtsstunden.,zwischen den,Die Pause ist zwischen den zwei Unterrichtsstunden.,The break is between the two lessons.,La pause se situe entre les deux cours.,der/die/das,zwischen,den,,Dative,Datif,Feminine,Féminin,general translation of <i>between</i> in a temporal context→ zwischen + Dat.,traduction générale de <i>entre</i> dans un contexte temporel → zwischen + Dat.,", Dative",", Datif"
11,3,1,_____ Konzert sind wir noch essen gegangen.,Nach dem,Nach dem Konzert sind wir noch essen gegangen.,"After the concert, we went out to eat.","Après le concert, nous sommes allés dîner.",der/die/das,Nach,dem,,Dative,Datif,Neuter,Neutre,to indicate that an event is after another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,", Dative",", Datif"
12,4,1,_____ Woche fühlte ich mich besser.,Nach einer,Nach einer Woche fühlte ich mich besser.,"After a week, I felt better.","Au bout d'une semaine, je me sentais mieux.",ein,Nach,einer,,Dative,Datif,Feminine,Féminin,to indicate that an event is after another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,", Dative",", Datif"
13,1,1,_____ Frühstück trinke ich ein Glas Wasser.,Vor dem,Vor dem Frühstück trinke ich ein Glas Wasser.,I drink a glass of water before breakfast.,Je bois un verre d'eau avant le petit-déjeuner.,der/die/das,Vor,dem,,Dative,Datif,Neuter,Neutre,to indicate that an event is before another → vor + Dat.,pour indiquer qu'un événement est antérieur à un autre → vor + Dat.,", Dative",", Datif"
14,2,1,_____ Schlafengehen lese ich ein Buch.,Vor dem,Vor dem Schlafengehen lese ich ein Buch.,I read a book before going to bed.,Je lis un livre avant d'aller me coucher.,der/die/das,Vor,dem,,Dative,Datif,Neuter,Neutre,to indicate that an event is before another → vor + Dat.,pour indiquer qu'un événement est antérieur à un autre → vor + Dat.,", Dative",", Datif"
15,3,2,Das Bild hängt _____ Tür.,an der,Das Bild hängt an der Tür.,The picture hangs on the door.,Le tableau est accroché à la porte.,der/die/das,an,der,,Dative,Datif,Feminine,Féminin,to indicate that an object is located <i>on</i> a vertical area → an + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone verticale → an + Dat.,", Dative",", Datif"
16,4,2,Die Uhr hängt _____ Wand.,an der,Die Uhr hängt an der Wand.,The clock is hanging on the wall.,L'horloge est accrochée au mur.,der/die/das,an,der,,Dative,Datif,Feminine,Féminin,to indicate that an object is located <i>on</i> a vertical area → an + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone verticale → an + Dat.,", Dative",", Datif"
17,1,2,Die Katze sitzt _____ Sofa.,auf dem,Die Katze sitzt auf dem Sofa.,The cat is sitting on the sofa.,Le chat est assis sur le canapé.,der/die/das,auf,dem,,Dative,Datif,Neuter,Neutre,to indicate that an object is located <i>on</i> a horizontal area → auf + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone horizontale → auf + Dat.,", Dative",", Datif"
