exercise,question,answer,german,english,french,explanation_english,explanation_french,antonym
1,,alt,,old,vieux,<br><br>alt ↔ jung,<br><br>alt ↔ jung,jung
1,,jung,,young,jeune,<br><br>jung ↔ alt,<br><br>jung ↔ alt,alt
1,,neu,,new,nouveau,​,​,
1,,einfach,,"easy, simple","facile, simple",<br><br>einfach ↔ schwierig,<br><br>einfach ↔ schwierig,schwierig
1,,schwierig,,difficult,difficile,<br><br>schwierig ↔ einfach,<br><br>schwierig ↔ einfach,einfach
1,,richtig,,"right, correct","correct, juste",<br><br>richtig ↔ falsch,<br><br>richtig ↔ falsch,falsch
1,,falsch,,"false, wrong",faux,<br><br>falsch ↔ richtig,<br><br>falsch ↔ richtig,richtig
1,,groß,,"big, tall",grand,<br><br>groß ↔ klein,<br><br>groß ↔ klein,klein
1,,klein,,small,petit,<br><br>klein ↔ groß,<br><br>klein ↔ groß,groß
1,,gut,,good,"bon, bien",<br><br>gut ↔ schlecht,<br><br>gut ↔ schlecht,schlecht
1,,schlecht,,bad,mauvais,<br><br>schlecht ↔ gut,<br><br>schlecht ↔ gut,gut
1,,schnell,,fast,rapide,<br><br>schnell ↔ langsam,<br><br>schnell ↔ langsam,langsam
1,,langsam,,slow,lent,<br><br>langsam ↔ schnell,<br><br>langsam ↔ schnell,schnell
1,,schön,,beautiful,beau,<br><br>schön ↔ hässlich,<br><br>schön ↔ hässlich,hässlich
1,,hässlich,,ugly,laid,<br><br>hässlich ↔ schön,<br><br>hässlich ↔ schön,schön
1,,gleich,,same,même,<br><br>gleich ↔ anders,<br><br>gleich ↔ anders,anders
1,,anders,,"other, different","autre, différent",<br><br>anders ↔ gleich,<br><br>anders ↔ gleich,gleich
1,,wichtig,,important,important,<br><br>wichtig ↔ unwichtig,<br><br>wichtig ↔ unwichtig,unwichtig
1,,kurz,,short,court,<br><br>kurz ↔ lang,<br><br>kurz ↔ lang,lang
1,,lang,,long,long,<br><br>lang ↔ kurz,<br><br>lang ↔ kurz,kurz
2,,ganz,,"whole, entire, complete","entier, complet",<br><br>ganz ↔ unvollständig,<br><br>ganz ↔ unvollständig,unvollständig
2,,hoch,,high,haut,<br><br>hoch ↔ niedrig,<br><br>hoch ↔ niedrig,niedrig
2,,niedrig,,low,bas,<br><br>niedrig ↔ hoch,<br><br>niedrig ↔ hoch,hoch
2,,rot,,red,rouge,​,​,
2,,schwarz,,black,noir,<br><br>schwarz ↔ weiß,<br><br>schwarz ↔ weiß,weiß
2,,weiß,,white,blanc,<br><br>weiß ↔ schwarz,<br><br>weiß ↔ schwarz,schwarz
2,,blau,,blue,bleu,​,​,
2,,grün,,green,vert,​,​,
2,,gelb,,yellow,jaune,​,​,
2,,grau,,grey,gris,​,​,
2,,frei,,free,libre,​,​,
2,,spät,,late,"tard, en retard",<br><br>spät ↔ früh,<br><br>spät ↔ früh,früh
2,,früh,,early,tôt,<br><br>früh ↔ spät,<br><br>früh ↔ spät,spät
2,,billig,,cheap,bon marché,<br><br>billig ↔ teuer,<br><br>billig ↔ teuer,teuer
2,,teuer,,expensive,cher,<br><br>teuer ↔ billig,<br><br>teuer ↔ billig,billig
2,,normal,,normal,normale,​,​,
2,,wahr,,true,vrai,​,​,
2,,heiß,,hot,chaud,<br><br>heiß ↔ kalt,<br><br>heiß ↔ kalt,kalt
2,,kalt,,cold,froid,<br><br>kalt ↔ heiß,<br><br>kalt ↔ heiß,heiß
2,,nett,,nice,"bon, gentils",​,​,
3,,glücklich,,"happy, glad","heureux, content",<br><br>glücklich ↔ unglücklich,<br><br>glücklich ↔ unglücklich,unglücklich
3,,traurig,,sad,triste,​,​,
3,,unglücklich,,unhappy,malheureux,<br><br>unglücklich ↔ glücklich,<br><br>unglücklich ↔ glücklich,glücklich
3,,viel,,much,beaucoup,<br><br>viel ↔ wenig,<br><br>viel ↔ wenig,wenig
3,,wenig,,little,peu,<br><br>wenig ↔ viel,<br><br>wenig ↔ viel,viel
3,,reich,,rich,riche,<br><br>reich ↔ arm,<br><br>reich ↔ arm,arm
3,,arm,,poor,pauvre,<br><br>arm ↔ reich,<br><br>arm ↔ reich,reich
3,,schmutzig,,dirty,sale,<br><br>schmutzig ↔ sauber,<br><br>schmutzig ↔ sauber,sauber
3,,sauber,,clean,propre,<br><br>sauber ↔ schmutzig,<br><br>sauber ↔ schmutzig,schmutzig
