Nr,exercise,level,level_adjektive,level_noun,question,answer,german,english,root_english,french,root_french,adjective_german,adjective_english,adjective_french,noun_german,noun_english,noun_french,gender_english,gender_french
1,1,A1,A1,A1,die Richtung,richtig,,"right, correct",the direction,"correct, juste",la direction,richtig,"right, correct","correct, juste",die Richtung,the direction,la direction,,
2,1,A1,A1,A1,die Größe,groß,,"big, tall","the size, height",grand,la taille,groß,"big, tall",grand,die Größe,"the size, height",la taille,,
3,1,B1,B1,A1,die Unterschied,unterschiedlich,,"other, different",the difference,"autre, différent",la différence,unterschiedlich,"other, different","autre, différent",die Unterschied,the difference,la différence,,
4,1,A1,A1,A1,die Höhe,hoch,,high,"the height, altitude",haut,la hauteur,hoch,high,haut,die Höhe,"the height, altitude",la hauteur,,
5,1,A1,A1,A1,die Freiheit,frei,,free,the freedom,libre,liberté,frei,free,libre,die Freiheit,the freedom,liberté,,
6,1,A1,A1,A1,die Wahrheit,wahr,,true,the truth,vrai,la vérité,wahr,true,vrai,die Wahrheit,the truth,la vérité,,
7,1,A1,A1,A1,das Glück,glücklich,,"happy, glad","the luck, the happiness","heureux, content","le bonheur, la chance",glücklich,"happy, glad","heureux, content",das Glück,"the luck, the happiness","le bonheur, la chance",,
8,1,A1,A1,A1,die Gesundheit,gesund,,healthy,the health,"sain, en bonne santé",la santé,gesund,healthy,"sain, en bonne santé",die Gesundheit,the health,la santé,,
9,1,A2,A1,A2,die Jugend,jung,,young,the youth,jeune,la jeunesse,jung,young,jeune,die Jugend,the youth,la jeunesse,,
10,1,A2,A1,A2,die Schwierigkeit,schwierig,,difficult,the difficulty,difficile,la difficulté,schwierig,difficult,difficile,die Schwierigkeit,the difficulty,la difficulté,,
11,1,A2,A1,A2,die Länge,lang,,long,the length,long,la longueur,lang,long,long,die Länge,the length,la longueur,,
12,1,A2,A1,A2,die Hitze,heiß,,hot,the heat,chaud,la chaleur,heiß,hot,chaud,die Hitze,the heat,la chaleur,,
13,1,A2,A1,A2,die Lust,lustig,,funny,"the wish, the joy",drôle,"le désir, l'envie",lustig,funny,drôle,die Lust,"the wish, the joy","le désir, l'envie",,
14,1,A2,A1,A2,die Stärke,stark,,strong,the strength,fort,la force,stark,strong,fort,die Stärke,the strength,la force,,
15,1,A2,A2,A1,die Krankheit,krank,,sick,"the illness, disease",malade,la maladie,krank,sick,malade,die Krankheit,"the illness, disease",la maladie,,
16,1,A2,A2,A1,die Möglichkeit,möglich,,"possible, likely",the possibility,possible,la possibilité,möglich,"possible, likely",possible,die Möglichkeit,the possibility,la possibilité,,
17,2,A1,A1,A1,richtig,die Richtung,,the direction,"right, correct",la direction,"correct, juste",richtig,"right, correct","correct, juste",die Richtung,the direction,la direction,Feminine,Féminin
18,2,A1,A1,A1,groß,die Größe,,"the size, height","big, tall",la taille,grand,groß,"big, tall",grand,die Größe,"the size, height",la taille,Feminine,Féminin
19,2,B1,B1,A1,unterschiedlich,die Unterschied,,the difference,"other, different",la différence,"autre, différent",unterschiedlich,"other, different","autre, différent",die Unterschied,the difference,la différence,Feminine,Féminin
20,2,A1,A1,A1,hoch,die Höhe,,"the height, altitude",high,la hauteur,haut,hoch,high,haut,die Höhe,"the height, altitude",la hauteur,Feminine,Féminin
21,2,A1,A1,A1,frei,die Freiheit,,the freedom,free,liberté,libre,frei,free,libre,die Freiheit,the freedom,liberté,Feminine,Féminin
22,2,A1,A1,A1,wahr,die Wahrheit,,the truth,true,la vérité,vrai,wahr,true,vrai,die Wahrheit,the truth,la vérité,Feminine,Féminin
23,2,A1,A1,A1,glücklich,das Glück,,"the luck, the happiness","happy, glad","le bonheur, la chance","heureux, content",glücklich,"happy, glad","heureux, content",das Glück,"the luck, the happiness","le bonheur, la chance",Neuter,Neutre
24,2,A1,A1,A1,gesund,die Gesundheit,,the health,healthy,la santé,"sain, en bonne santé",gesund,healthy,"sain, en bonne santé",die Gesundheit,the health,la santé,Feminine,Féminin
