Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,level,type
1,1,,gewesen,sein,to be,être,"sein, war, gewesen","sein, war, gewesen",A1,irregular
2,1,,gehabt,haben,"to have, to contain","avoir, contenir","haben, hatte, gehabt","haben, hatte, gehabt",A1,irregular
3,1,,geworden,werden,"to become, will, to be done (passive voice)",devenir,"werden, wurde, geworden","werden, wurde, geworden",A1,irregular
4,1,,gewusst,wissen,"to know, to have knowledge",savoir,"wissen, wusste, gewusst","wissen, wusste, gewusst",A1,irregular
5,1,,getan,tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un","tun, tat, getan","tun, tat, getan",A1,irregular
6,1,,gegangen,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)","gehen, ging, gegangen","gehen, ging, gegangen",A1,irregular
7,1,,gesehen,sehen,"to see, to realise","voir, se rendre compte","sehen, sah, gesehen","sehen, sah, gesehen",A1,irregular
8,1,,gegeben,geben,to give,donner,"geben, gab, gegeben","geben, gab, gegeben",A1,irregular
9,1,,gekommen,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire","kommen, kam, gekommen","kommen, kam, gekommen",A1,irregular
10,1,,gefunden,finden,to find,trouver,"finden, fand, gefunden","finden, fand, gefunden",A1,irregular
11,1,,geblieben,bleiben,"to remain, to stay",rester,"bleiben, blieb, geblieben","bleiben, blieb, geblieben",A1,irregular
12,1,,gebracht,bringen,"to bring, to take, to lead","apporter, prendre, conduire","bringen, brachte, gebracht","bringen, brachte, gebracht",A1,irregular
13,1,,gestanden,stehen,"to stand, to be, to appear","être debout, apparaître","stehen, stand, gestanden","stehen, stand, gestanden",A1,irregular
14,1,,geheißen,heißen,"to be called, to mean",être appelé,"heißen, hieß, geheißen","heißen, hieß, geheißen",A1,irregular
15,1,,genommen,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","nehmen, nahm, genommen","nehmen, nahm, genommen",A1,irregular
16,1,,gesprochen,sprechen,to speak,parler (une langue),"sprechen, sprach, gesprochen","sprechen, sprach, gesprochen",A1,irregular
17,1,,bekommen,bekommen,"to receive, to catch (e.g. a cold), to sit well with someone","recevoir, attraper (par exemple un rhume), s'entendre avec quelqu'un","bekommen, bekam, bekommen","bekommen, bekam, bekommen",A1,irregular
18,1,,vergessen,vergessen,"to forget, to leave (forget to take)",oublier,"vergessen, vergaß, vergessen","vergessen, vergaß, vergessen",A1,irregular
19,1,,gehalten,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder","halten, hielt, gehalten","halten, hielt, gehalten",A1,irregular
20,1,,gekannt,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec","kennen, kannte, gekannt","kennen, kannte, gekannt",A1,irregular
21,2,,verstanden,verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un","verstehen, verstand, verstanden","verstehen, verstand, verstanden",A1,irregular
22,2,,gedacht,denken,"to think, to consider","penser, considérer","denken, dachte, gedacht","denken, dachte, gedacht",A1,irregular
23,2,,gegessen,essen,to eat,manger,"essen, aß, gegessen","essen, aß, gegessen",A1,irregular
24,2,,angezogen,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer","anziehen, zog an, angezogen","anziehen, zog an, angezogen",A1,irregular
25,2,,ausgezogen,ausziehen,"to take something off, to undress, to pull out, to move out","enlever quelque chose, se déshabiller, se retirer, sortir","ausziehen, zog aus, ausgezogen","ausziehen, zog aus, ausgezogen",A1,irregular
26,2,,gefahren,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire","fahren, fuhr, gefahren","fahren, fuhr, gefahren",A1,irregular
27,2,,getroffen,treffen,"to meet (refl.), to encounter (refl.), to hit, to affect","rencontrer (refl.), se rencontrer (refl.), heurter, frapper","treffen, traf, getroffen","treffen, traf, getroffen",A1,irregular
28,2,,getrunken,trinken,to drink,boire,"trinken, trank, getrunken","trinken, trank, getrunken",A1,irregular
29,2,,geschlafen,schlafen,to sleep,dormir,"schlafen, schlief, geschlafen","schlafen, schlief, geschlafen",A1,irregular
30,2,,gelaufen,laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)","laufen, lief, gelaufen","laufen, lief, gelaufen",A1,irregular
31,2,,gewaschen,waschen,to wash,laver,"waschen, wusch, gewaschen","waschen, wusch, gewaschen",A1,irregular
32,2,,geschrieben,schreiben,to write,écrire,"schreiben, schrieb, geschrieben","schreiben, schrieb, geschrieben",A1,irregular
33,2,,getragen,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir","tragen, trug, getragen","tragen, trug, getragen",A1,irregular
34,2,,gezogen,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer","ziehen, zog, gezogen","ziehen, zog, gezogen",A1,irregular
35,2,,gelesen,lesen,to read,lire,"lesen, las, gelesen","lesen, las, gelesen",A1,irregular
36,2,,verloren,verlieren,to lose,perdre,"verlieren, verlor, verloren","verlieren, verlor, verloren",A1,irregular
37,2,,begonnen,beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),"beginnen, begann, begonnen","beginnen, begann, begonnen",A1,irregular
38,2,,geschlossen,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure","schließen, schloss, geschlossen","schließen, schloss, geschlossen",A1,irregular
39,2,,geholfen,helfen,to help,aider,"helfen, half, geholfen","helfen, half, geholfen",A1,irregular
40,2,,gesessen,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester","sitzen, saß, gesessen","sitzen, saß, gesessen",A1,irregular
41,3,,gewesen,sein,to be,être,"sein, war, gewesen","sein, war, gewesen",A1,all
42,3,,gehabt,haben,"to have, to contain","avoir, contenir","haben, hatte, gehabt","haben, hatte, gehabt",A1,all
43,3,,geworden,werden,"to become, will, to be done (passive voice)",devenir,"werden, wurde, geworden","werden, wurde, geworden",A1,all
44,3,,gekonnt,können,"can, to be able to","pouvoir, être capable de","können, konnte, gekonnt","können, konnte, gekonnt",A1,all
45,3,,gewollt,wollen,to want,vouloir,"wollen, wollte, gewollt","wollen, wollte, gewollt",A1,all
46,3,,gemusst,müssen,"must, to have to, to be obliged (to do something)","devoir, être obligé (de faire quelque chose)","müssen, musste, gemusst","müssen, musste, gemusst",A1,all
47,3,,gesollt,sollen,"shall, to be asked to (do something), to be supposed to (do something)","devoir, être invité (à faire quelque chose)","sollen, sollte, gesollt","sollen, sollte, gesollt",A1,all
48,3,,gemocht,mögen,to like,"aimer, apprécier","mögen, mochte, gemocht","mögen, mochte, gemocht",A1,all
49,3,,gedurft,dürfen,"to be allowed (to do something), may","être autorisé (à faire quelque chose), peut","dürfen, durfte, gedurft","dürfen, durfte, gedurft",A1,all
50,3,,gewusst,wissen,"to know, to have knowledge",savoir,"wissen, wusste, gewusst","wissen, wusste, gewusst",A1,all
51,3,,gemacht,machen,"to make, to prepare, to do","faire, préparer","machen, machte, gemacht","machen, machte, gemacht",A1,all
52,3,,getan,tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un","tun, tat, getan","tun, tat, getan",A1,all
53,3,,gesagt,sagen,"to say, to tell","dire, raconter","sagen, sagte, gesagt","sagen, sagte, gesagt",A1,all
54,3,,gegangen,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)","gehen, ging, gegangen","gehen, ging, gegangen",A1,all
55,3,,gesehen,sehen,"to see, to realise","voir, se rendre compte","sehen, sah, gesehen","sehen, sah, gesehen",A1,all
56,3,,gegeben,geben,to give,donner,"geben, gab, gegeben","geben, gab, gegeben",A1,all
57,3,,gekommen,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire","kommen, kam, gekommen","kommen, kam, gekommen",A1,all
58,3,,geglaubt,glauben,to believe,croire,"glauben, glaubte, geglaubt","glauben, glaubte, geglaubt",A1,all
59,3,,geredet,reden,to talk,"parler, discuter","reden, redete, geredet","reden, redete, geredet",A1,all
60,3,,gehört,hören,"to hear, to listen to","entendre, écouter","hören, hörte, gehört","hören, hörte, gehört",A1,all
61,4,,gefunden,finden,to find,trouver,"finden, fand, gefunden","finden, fand, gefunden",A1,all
62,4,,geblieben,bleiben,"to remain, to stay",rester,"bleiben, blieb, geblieben","bleiben, blieb, geblieben",A1,all
63,4,,gebraucht,brauchen,to need,avoir besoin,"brauchen, brauchte, gebraucht","brauchen, brauchte, gebraucht",A1,all
64,4,,geliebt,lieben,to love,"aimer, être amoureux de","lieben, liebte, geliebt","lieben, liebte, geliebt",A1,all
65,4,,gebracht,bringen,"to bring, to take, to lead","apporter, prendre, conduire","bringen, brachte, gebracht","bringen, brachte, gebracht",A1,all
66,4,,gestanden,stehen,"to stand, to be, to appear","être debout, apparaître","stehen, stand, gestanden","stehen, stand, gestanden",A1,all
67,4,,geheißen,heißen,"to be called, to mean",être appelé,"heißen, hieß, geheißen","heißen, hieß, geheißen",A1,all
68,4,,genommen,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","nehmen, nahm, genommen","nehmen, nahm, genommen",A1,all
69,4,,gesprochen,sprechen,to speak,parler (une langue),"sprechen, sprach, gesprochen","sprechen, sprach, gesprochen",A1,all
70,4,,bekommen,bekommen,"to receive, to catch (e.g. a cold), to sit well with someone","recevoir, attraper (par exemple un rhume), s'entendre avec quelqu'un","bekommen, bekam, bekommen","bekommen, bekam, bekommen",A1,all
71,4,,vergessen,vergessen,"to forget, to leave (forget to take)",oublier,"vergessen, vergaß, vergessen","vergessen, vergaß, vergessen",A1,all
72,4,,gehalten,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder","halten, hielt, gehalten","halten, hielt, gehalten",A1,all
73,4,,gewartet,warten,"to wait, to maintain (e.g. a car)","attendre, entretenir (par exemple une voiture)","warten, wartete, gewartet","warten, wartete, gewartet",A1,all
74,4,,gekannt,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec","kennen, kannte, gekannt","kennen, kannte, gekannt",A1,all
75,4,,verstanden,verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un","verstehen, verstand, verstanden","verstehen, verstand, verstanden",A1,all
76,4,,gedacht,denken,"to think, to consider","penser, considérer","denken, dachte, gedacht","denken, dachte, gedacht",A1,all
77,4,,gelebt,leben,to live,vivre,"leben, lebte, gelebt","leben, lebte, gelebt",A1,all
78,4,,gearbeitet,arbeiten,to work,travailler,"arbeiten, arbeitete, gearbeitet","arbeiten, arbeitete, gearbeitet",A1,all
