Nr,level,reflexive,question,answer,english,german
1,1,,sein,gewesen,to be,
2,1,,haben,gehabt,"to have, to contain",
3,1,,werden,geworden,"to become, will, to be done (passive voice)",
4,1,,können,gekonnt,"can, to be able to",
5,1,,wollen,gewollt,to want,
6,1,,müssen,gemusst,"must, to have to, to be obliged (to do something)",
7,1,,sollen,gesollt,"shall, to be asked (to do something)",
8,1,,mögen,gemocht,to like,
9,1,,dürfen,gedurft,"to be allowed (to do something), may",
10,1,,wissen,gewusst,to know,
11,1,,machen,gemacht,"to make, to prepare (e.g. food), to do",
12,1,,tun,getan,"to do, to do something to someone",
13,1,,sagen,gesagt,"to say, to tell",
14,1,,gehen,gegangen,"to go, to leave, to work, to function (coll.)",
15,1,,sehen,gesehen,"to see, to see (to something), to realise",
16,1,,geben,gegeben,to give,
17,1,,kommen,gekommen,"to come, to make it (e.g. over something), to go to, to occur",
18,1,,glauben,geglaubt,to believe,
19,1,,passieren,passiert,"to happen (conversational), to move beyond, to strain",
20,1,,reden,geredet,to talk,
21,1,,hören,gehört,"to hear, to listen to",
22,1,,finden,gefunden,to find,
23,1,,bleiben,geblieben,"to remain, to stay",
24,1,,brauchen,gebraucht,to need,
25,1,,lieben,geliebt,to love,
26,1,,bringen,gebracht,"to bring, to take, to lead",
27,1,,stehen,gestanden,"to stand, to be, to appear",
28,1,,heissen,geheissen,"to be called, to mean",
29,1,,nehmen,genommen,"to take, to cause oneself to be (in some state)",
30,1,,sprechen,gesprochen,to speak,
31,1,,bekommen,bekommen,"to receive, to catch (e.g. a cold), to sit well with someone",
32,1,,vergessen,vergessen,"to forget, to leave (forget to take)",
33,1,,halten,gehalten,"to hold, to stop (a movement), to support, to keep",
34,1,,warten,gewartet,"to wait, to maintain (e.g. a car)",
35,1,,kennen,gekannt,"to know, to be acquainted with, to be familiar with",
36,1,,verstehen,verstanden,"to understand, to get along with someone/something",
37,1,,denken,gedacht,"to think, to consider",
38,1,,leben,gelebt,to live,
39,1,,verlieren,verloren,to lose,
40,1,,arbeiten,gearbeitet,to work,
41,1,,essen,gegessen,to eat,
42,1,,spielen,gespielt,to play,
43,1,,fahren,gefahren,"to go (by vehicle), to leave, to drive",
44,1,,versuchen,versucht,to try,
45,1,,erzählen,erzählt,"to tell, to narrate",
46,1,,fragen,gefragt,"to ask, to wonder (refl.)",
47,1,sich,treffen,getroffen,"to meet, to encounter",
48,1,,hoffen,gehofft,to hope,
49,1,,suchen,gesucht,"to seek, to search",
50,1,,trinken,getrunken,to drink,
51,1,,lernen,gelernt,"to learn, to study (revise/review materials), to train something",
52,1,,zeigen,gezeigt,"to show, to point at, to demonstrate",
53,1,,schlafen,geschlafen,to sleep,
54,1,,kaufen,gekauft,to buy,
55,1,,laufen,gelaufen,"to walk, to flow (of a fluid), to run (of an event)",
56,1,,erklären,erklärt,"to explain, to declare, to assert",
57,1,,zahlen,gezahlt,"to pay (for something), to atone for",
