exercise,question,answer,german,english,french,transitivity_english,transitivity_french
1,,sein,sein,to be,être,,
1,,haben,haben,"to have, to contain","avoir, contenir",,
1,,werden,werden,"to become, will, to be done (passive voice)",devenir,,
1,,können,können,"can, to be able to","pouvoir, être capable de",,
1,,wollen,wollen,to want,vouloir,,
1,,müssen,müssen,"must, to have to, to be obliged (to do something)","devoir, être obligé (de faire quelque chose)",,
1,,sollen,sollen,"shall, to be asked to (do something), to be supposed to (do something)","devoir, être invité (à faire quelque chose)",,
1,,mögen,mögen,to like,"aimer, apprécier",,
1,,dürfen,dürfen,"to be allowed (to do something), may","être autorisé (à faire quelque chose), pouvoir",,
1,,wissen,wissen,"to know, to have knowledge",savoir,,
1,,machen,machen,"to make, to prepare, to do","faire, préparer",Sometimes Reflexive,Parfois Réfléchi
1,,tun,tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un",Sometimes Reflexive,Parfois Réfléchi
1,,sagen,sagen,"to say, to tell","dire, raconter",Sometimes Reflexive,Parfois Réfléchi
1,,gehen,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",Sometimes Reflexive,Parfois Réfléchi
1,,sehen,sehen,"to see, to realise","voir, se rendre compte",Sometimes Reflexive,Parfois Réfléchi
1,,geben,geben,to give,donner,Sometimes Reflexive,Parfois Réfléchi
1,,kommen,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",Sometimes Reflexive,Parfois Réfléchi
1,,glauben,glauben,to believe,croire,Sometimes Reflexive,Parfois Réfléchi
1,,reden,reden,to talk,"parler, discuter",Sometimes Reflexive,Parfois Réfléchi
1,,hören,hören,"to hear, to listen to","entendre, écouter",Sometimes Reflexive,Parfois Réfléchi
2,,finden,finden,to find,trouver,Sometimes Reflexive,Parfois Réfléchi
2,,bleiben,bleiben,"to remain, to stay",rester,,
2,,brauchen,brauchen,to need,avoir besoin,,
2,,lieben,lieben,to love,"aimer, être amoureux de",,
2,,bringen,bringen,"to bring, to take, to lead","apporter, prendre, conduire",,
2,,stehen,stehen,"to stand, to be, to appear","être debout, apparaître",,
2,,heißen,heißen,"to be called, to mean",être appelé,Sometimes Reflexive,Parfois Réfléchi
2,,nehmen,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",Sometimes Reflexive,Parfois Réfléchi
2,,sprechen,sprechen,to speak,parler (une langue),,
2,,bekommen,bekommen,"to receive, to catch (e.g. a cold), to sit well with someone","recevoir, attraper (par exemple un rhume), s'entendre avec quelqu'un",,
2,,vergessen,vergessen,"to forget, to leave (forget to take)",oublier,,
2,,halten,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",Sometimes Reflexive,Parfois Réfléchi
2,,warten,warten,"to wait, to maintain (e.g. a car)","attendre, entretenir (par exemple une voiture)",,
2,,kennen,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",,
2,,verstehen,verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un",Sometimes Reflexive,Parfois Réfléchi
2,,denken,denken,"to think, to consider","penser, considérer",Sometimes Reflexive,Parfois Réfléchi
2,,leben,leben,to live,vivre,Sometimes Reflexive,Parfois Réfléchi
2,,arbeiten,arbeiten,to work,travailler,,
2,,essen,essen,to eat,manger,,
2,,anziehen,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",Sometimes Reflexive,Parfois Réfléchi
3,,ausziehen,ausziehen,"to take something off, to undress, to pull out, to move out","enlever quelque chose, se déshabiller, se retirer, sortir",Sometimes Reflexive,Parfois Réfléchi
3,,spielen,spielen,to play,jouer,,
3,,fahren,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire",Sometimes Reflexive,Parfois Réfléchi
3,,erzählen,erzählen,"to tell, to narrate","raconter, narrer",,
3,,fragen,fragen,"to ask, to wonder (refl.)","demander, se demander (réfl.)",,
3,,treffen/sich treffen,treffen,"to meet (refl.), to encounter (refl.), to hit, to affect","rencontrer (refl.), se rencontrer (refl.), heurter, frapper",Mostly Reflexive,Principalement Réfléchi
3,,hoffen,hoffen,to hope,espérer,,
3,,suchen,suchen,"to seek, to search","chercher, rechercher",,
3,,trinken,trinken,to drink,boire,,
3,,lernen,lernen,"to learn, to study, to train something","apprendre, étudier, se former à quelque chose",,
3,,zeigen,zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer",,
3,,schlafen,schlafen,to sleep,dormir,,
3,,kaufen,kaufen,to buy,acheter,Sometimes Reflexive,Parfois Réfléchi
3,,laufen,laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)",Sometimes Reflexive,Parfois Réfléchi
3,,zahlen,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier",,
3,,kochen,kochen,"to cook, to boil (to heat a liquid), to boil something","cuire, faire bouillir (chauffer un liquide), faire bouillir quelque chose",,
3,,waschen,waschen,to wash,laver,Sometimes Reflexive,Parfois Réfléchi
3,,wohnen,wohnen,"to live, to reside, to dwell","vivre, résider, habiter",,
3,,schreiben,schreiben,to write,écrire,Sometimes Reflexive,Parfois Réfléchi
3,,tragen,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir",,
4,,ziehen,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",Sometimes Reflexive,Parfois Réfléchi
4,,lesen,lesen,to read,lire,,
4,,kosten,kosten,"to cost, to taste",coûter,,
4,,wiederholen,wiederholen,to repeat,répéter,Sometimes Reflexive,Parfois Réfléchi
4,,übersetzen,übersetzen,to translate,traduire,,
4,,fühlen/sich fühlen,fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)",Regularly Reflexive,Régulièrement Réfléchi
4,,regnen,regnen,to rain,pleuvoir,,
4,,schneien,schneien,to snow,neiger,,
4,,verlieren,verlieren,to lose,perdre,,
4,,bezahlen,bezahlen,"to pay, to pay someone (transitive)","payer, payer quelqu'un (transitif)",,
4,,öffnen,öffnen,to open,ouvrir,Sometimes Reflexive,Parfois Réfléchi
4,,beginnen,beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),,
4,,schließen,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",Sometimes Reflexive,Parfois Réfléchi
4,,reisen,reisen,to travel,voyager,,
4,,feiern,feiern,to celebrate,célébrer,,
4,,helfen,helfen,to help,aider,,
4,,verkaufen,verkaufen,to sell,vendre,Sometimes Reflexive,Parfois Réfléchi
4,,schicken,schicken,to send,envoyer,,
4,,besuchen,besuchen,to visit,visiter,,
4,,sitzen,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester",,
5,,erklären,erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer",Sometimes Reflexive,Parfois Réfléchi
5,,passieren,passieren,"to happen (colloquial), to move beyond, to strain",se produire,,
5,,bieten,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)",,
5,,versuchen,versuchen,"to try, to attempt","essayer, tenter",,
5,,interessieren/sich interessieren,interessieren,"to interest, to be interested in (refl.)","intéresser, être intéressé par (réfl.)",Mostly Reflexive,Principalement Réfléchi
5,,bedeuten,bedeuten,"to mean, to signify","vouloir dire, signifier",,
5,,funktionieren,funktionieren,"to function, to work",fonctionner,,
5,,erinnern/sich erinnern,erinnern,"to remind, to remember (refl.)","rappeler, se souvenir (réfl.)",Mostly Reflexive,Principalement Réfléchi
5,,führen,führen,"to lead, to guide","guider, conduire",Sometimes Reflexive,Parfois Réfléchi
5,,zeichnen,zeichnen,"to draw, to sketch","dessiner, esquisser",,
5,,holen,holen,to fetch,aller chercher,,
5,,anrufen,anrufen,"to call by telephone, to call on (someone)",appeler par téléphone,,
5,,aufhören,aufhören,"to stop, to cease an activity or process","arrêter, cesser une activité ou un processus",,
5,,anfangen,anfangen,to begin something new,commencer quelque chose de nouveau,,
5,,gewinnen,gewinnen,to win,gagner,,
5,,benutzen,benutzen,to use (transitive),utiliser (transitif),,
5,,lachen,lachen,to laugh,rire,,
5,,scheinen,scheinen,"to shine, to seem (formal)","briller, paraître (formel)",,
5,,ändern,ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement),Sometimes Reflexive,Parfois Réfléchi
5,,gehören,gehören,to belong to,appartenir à,,
6,,aufstehen,aufstehen,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",,
6,,aufwachen,aufwachen,to wake up,se réveiller,Sometimes Reflexive,Parfois Réfléchi
6,,wehtun/sich wehtun,wehtun,"to hurt, to be painful","blesser, être douloureux",Mostly Reflexive,Principalement Réfléchi
6,,stellen,stellen,"to position, to put, to catch","positionner, mettre",Sometimes Reflexive,Parfois Réfléchi
6,,setzen,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),Sometimes Reflexive,Parfois Réfléchi
6,,liegen,liegen,"to lie, to be located","être allongé, être localisé",,
6,,danken,danken,to thank,remercier,,
6,,legen,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",Sometimes Reflexive,Parfois Réfléchi
6,,schauen,schauen,to look at (Bayern and Austria),regarder (Bayern et Autriche),,
6,,sich freuen,sich freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",Always Reflexive,Toujours Réfléchi
6,,einladen,einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",,
6,,gefallen,gefallen,"to please, to appeal to",plaire,,
