Nr,exercise,question,answer,german,english,french,connector,explanation_english_,explanation_french_,indication_english_,indication_french_,verb,verb_english,verb_french,indication_english,indication_french,connector_english,connector_french,explanation_english,explanation_french
1,1,,Ich sehe den Hund.,Ich sehe den Hund.,I see the dog.,Je vois le chien.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
2,1,,Du kaufst eine Gurke.,Du kaufst eine Gurke.,You buy a cucumber.,Tu achètes un concombre.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
3,1,,Er hat ein Auto.,Er hat ein Auto.,He has a car.,Il a une voiture.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
4,1,,Sie liest ein Buch.,Sie liest ein Buch.,She reads a book.,Elle lit un livre.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
5,1,,Wir trinken Wasser.,Wir trinken Wasser.,We drink water.,Nous buvons de l’eau.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
6,1,,Ihr esst einen Apfel.,Ihr esst einen Apfel.,You eat an apple.,Vous mangez une pomme.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
7,1,,Sie machen die Hausaufgaben.,Sie machen die Hausaufgaben.,They do the homework.,Ils font les devoirs.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
8,1,,Ich bin müde.,Ich bin müde.,I am tired.,Je suis fatigué.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
9,1,,Du bist glücklich.,Du bist glücklich.,You are happy.,Tu es heureux.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
10,1,,Er ist groß.,Er ist groß.,He is tall.,Il est grand.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
11,1,,Sie ist nett.,Sie ist nett.,She is nice.,Elle est gentille.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
12,1,,Wir sind bereit.,Wir sind bereit.,We are ready.,Nous sommes prêts.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
13,1,,Ihr seid schnell.,Ihr seid schnell.,You are fast.,Vous êtes rapides.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
14,1,,Sie sind hier.,Sie sind hier.,They are here.,Ils sont ici.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
15,1,,Ich finde den Film gut.,Ich finde den Film gut.,I find the film good.,Je trouve le film bon.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
16,1,,Du kennst den Mann.,Du kennst den Mann.,You know the man.,Tu connais l’homme.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
17,1,,Er kauft die Zeitung.,Er kauft die Zeitung.,He buys the newspaper.,Il achète le journal.,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place.",,,,,,,,,,"Rule: in main declarative clauses, the conjugated verb occupies the second position.","Règle : dans les phrases simples (et dans les propositions principales), le verbe conjugué occupe la deuxième place."
