exercise,question,answer,german,english,french,explanation_english,explanation_french,comparative,superlative
1,,älter,alt,old,vieux,"alt, älter, am ältesten","alt, älter, am ältesten",älter,am ältesten
1,,jünger,jung,young,jeune,"jung, jünger, am jüngsten","jung, jünger, am jüngsten",jünger,am jüngsten
1,,neuer,neu,new,nouveau,"neu, neuer, am neuesten","neu, neuer, am neuesten",neuer,am neuesten
1,,einfacher,einfach,"easy, simple","facile, simple","einfach, einfacher, am einfachsten","einfach, einfacher, am einfachsten",einfacher,am einfachsten
1,,schwieriger,schwierig,difficult,difficile,"schwierig, schwieriger, am schwierigsten","schwierig, schwieriger, am schwierigsten",schwieriger,am schwierigsten
1,,richtiger,richtig,"right, correct","correct, juste","richtig, richtiger, am richtigsten","richtig, richtiger, am richtigsten",richtiger,am richtigsten
1,,falscher,falsch,"false, wrong",faux,"falsch, falscher, am falschesten","falsch, falscher, am falschesten",falscher,am falschesten
1,,größer,groß,"big, tall",grand,"groß, größer, am größten","groß, größer, am größten",größer,am größten
1,,kleiner,klein,small,petit,"klein, kleiner, am kleinsten","klein, kleiner, am kleinsten",kleiner,am kleinsten
1,,besser,gut,good,"bon, bien","gut, besser, am besten","gut, besser, am besten",besser,am besten
1,,schlechter,schlecht,bad,mauvais,"schlecht, schlechter, am schlechtesten","schlecht, schlechter, am schlechtesten",schlechter,am schlechtesten
1,,schneller,schnell,fast,rapide,"schnell, schneller, am schnellsten","schnell, schneller, am schnellsten",schneller,am schnellsten
1,,langsamer,langsam,slow,lent,"langsam, langsamer, am langsamsten","langsam, langsamer, am langsamsten",langsamer,am langsamsten
1,,schöner,schön,beautiful,beau,"schön, schöner, am schönsten","schön, schöner, am schönsten",schöner,am schönsten
1,,hässlicher,hässlich,ugly,laid,"hässlich, hässlicher, am hässlichsten","hässlich, hässlicher, am hässlichsten",hässlicher,am hässlichsten
1,,wichtiger,wichtig,important,important,"wichtig, wichtiger, am wichtigsten","wichtig, wichtiger, am wichtigsten",wichtiger,am wichtigsten
2,,höher,hoch,high,haut,"hoch, höher, am höchsten","hoch, höher, am höchsten",höher,am höchsten
2,,niedriger,niedrig,low,bas,"niedrig, niedriger, am niedrigsten","niedrig, niedriger, am niedrigsten",niedriger,am niedrigsten
2,,kürzer,kurz,short,court,"kurz, kürzer, am kürzesten","kurz, kürzer, am kürzesten",kürzer,am kürzesten
2,,länger,lang,long,long,"lang, länger, am längsten","lang, länger, am längsten",länger,am längsten
2,,roter,rot,red,rouge,"rot, roter, am rotesten","rot, roter, am rotesten",roter,am rotesten
2,,schwärzer,schwarz,black,noir,"schwarz, schwärzer, am schwärzesten","schwarz, schwärzer, am schwärzesten",schwärzer,am schwärzesten
2,,weißer,weiß,white,blanc,"weiß, weißer, am weißesten","weiß, weißer, am weißesten",weißer,am weißesten
2,,blauer,blau,blue,bleu,"blau, blauer, am blausten","blau, blauer, am blausten",blauer,am blausten
2,,grüner,grün,green,vert,"grün, grüner, am grünsten","grün, grüner, am grünsten",grüner,am grünsten
2,,gelber,gelb,yellow,jaune,"gelb, gelber, am gelbsten","gelb, gelber, am gelbsten",gelber,am gelbsten
2,,grauer,grau,grey,gris,"grau, grauer, am grausten","grau, grauer, am grausten",grauer,am grausten
2,,freier,frei,free,libre,"frei, freier, am freiesten","frei, freier, am freiesten",freier,am freiesten
2,,später,spät,late,"tard, en retard","spät, später, am spätesten","spät, später, am spätesten",später,am spätesten
2,,früher,früh,early,tôt,"früh, früher, am frühesten","früh, früher, am frühesten",früher,am frühesten
2,,billiger,billig,cheap,bon marché,"billig, billiger, am billigsten","billig, billiger, am billigsten",billiger,am billigsten
2,,teurer,teuer,expensive,cher,"teuer, teurer, am teuersten","teuer, teurer, am teuersten",teurer,am teuersten
2,,normaler,normal,normal,normale,"normal, normaler, am normalsten","normal, normaler, am normalsten",normaler,am normalsten
2,,wahrer,wahr,true,vrai,"wahr, wahrer, am wahrsten","wahr, wahrer, am wahrsten",wahrer,am wahrsten
2,,heißer,heiß,hot,chaud,"heiß, heißer, am heißesten","heiß, heißer, am heißesten",heißer,am heißesten
2,,kälter,kalt,cold,froid,"kalt, kälter, am kältesten","kalt, kälter, am kältesten",kälter,am kältesten
3,,glücklicher,glücklich,"happy, glad","heureux, content","glücklich, glücklicher, am glücklichsten","glücklich, glücklicher, am glücklichsten",glücklicher,am glücklichsten
3,,trauriger,traurig,sad,triste,"traurig, trauriger, am traurigsten","traurig, trauriger, am traurigsten",trauriger,am traurigsten
3,,mehr,viel,much,beaucoup,"viel, mehr, am meisten","viel, mehr, am meisten",mehr,am meisten
3,,weniger,wenig,little,peu,"wenig, weniger, am wenigsten","wenig, weniger, am wenigsten",weniger,am wenigsten
3,,reicher,reich,rich,riche,"reich, reicher, am reichsten","reich, reicher, am reichsten",reicher,am reichsten
3,,ärmer,arm,poor,pauvre,"arm, ärmer, am ärmsten","arm, ärmer, am ärmsten",ärmer,am ärmsten
3,,schmutziger,schmutzig,dirty,sale,"schmutzig, schmutziger, am schmutzigsten","schmutzig, schmutziger, am schmutzigsten",schmutziger,am schmutzigsten
3,,sauberer,sauber,clean,propre,"sauber, sauberer, am saubersten","sauber, sauberer, am saubersten",sauberer,am saubersten
3,,weiter,weit,far,loin,"weit, weiter, am weitesten","weit, weiter, am weitesten",weiter,am weitesten
3,,näher,nah,"close, near","proche, près","nah, näher, am nächsten","nah, näher, am nächsten",näher,am nächsten
3,,lustiger,lustig,funny,drôle,"lustig, lustiger, am lustigsten","lustig, lustiger, am lustigsten",lustiger,am lustigsten
3,,netter,nett,nice,"bon, gentils","nett, netter, am nettesten","nett, netter, am nettesten",netter,am nettesten
