Nr,level,question,answer,german,english
1,1,what,was,,
2,1,how,wie,,
3,1,why,warum,,
4,1,when,wann,,
5,1,which (feminin),welche,,
6,1,which (masculin),welcher,,
7,1,which (neutral),welches,,
8,1,which (plural),welche,,
9,1,who (Nominative),wer,,
10,1,where,wo,,
11,2,_____ geht es dir?,Wie,Wie geht es dir?,How are you?
12,2,_____ heißt du?,Wie,Wie heißt du?,What is your name?
13,2,_____ alt bist du?,Wie,Wie alt bist du?,How old are you?
14,2,_____ spät ist es?,Wie,Wie spät ist es?,What time is it?
15,2,_____ ist das Wetter heute?,Wie,Wie ist das Wetter heute?,How is the weather today?
16,2,_____ beginnt der Film?,Wann,Wann beginnt der Film?,When does the movie start?
17,2,_____ hast du Geburtstag?,Wann,Wann hast du Geburtstag?,When is your birthday?
18,2,_____ kommst du nach Hause?,Wann,Wann kommst du nach Hause?,When are you coming home?
19,2,_____ fährt der nächste Bus?,Wann,Wann fährt der nächste Bus?,When does the next bus leave?
20,2,_____ hast du Zeit?,Wann,Wann hast du Zeit?,When do you have time?
21,2,_____ lernst du Deutsch?,Warum,Warum lernst du Deutsch?,Why are you learning German?
22,2,_____ bist du zu spät gekommen?,Warum,Warum bist du zu spät gekommen?,Why did you come late?
23,2,_____ lachst du?,Warum,Warum lachst du?,Why are you laughing?
24,2,_____ ist der Himmel blau?,Warum,Warum ist der Himmel blau?,Why is the sky blue?
25,2,_____ hast du gestern nicht angerufen?,Warum,Warum hast du gestern nicht angerufen?,Why didn’t you call yesterday?
26,2,_____ bist du?,Wer,Wer bist du?,Who are you?
27,2,_____ ist dein Lehrer?,Wer,Wer ist dein Lehrer?,Who is your teacher?
28,2,_____ hat das gesagt?,Wer,Wer hat das gesagt?,Who said that?
29,2,_____ kommt mit ins Kino?,Wer,Wer kommt mit ins Kino?,Who is coming to the cinema?
30,2,_____ ruft mich an?,Wer,Wer ruft mich an?,Who is calling me?
31,2,_____ ist das?,Was,Was ist das?,What is that?
32,2,_____ machst du gerade?,Was,Was machst du gerade?,What are you doing right now?
33,2,_____ möchtest du essen?,Was,Was möchtest du essen?,What would you like to eat?
34,2,_____ suchst du denn?,Was,Was suchst du denn?,What are you looking for?
35,2,_____ bedeutet dieses Wort?,Was,Was bedeutet dieses Wort?,What does this word mean?
36,2,_____ wohnst du?,Wo,Wo wohnst du?,Where do you live?
37,2,_____ ist mein Handy?,Wo,Wo ist mein Handy?,Where is my phone?
38,2,_____ arbeitet dein Vater?,Wo,Wo arbeitet dein Vater?,Where does your father work?
39,2,_____ treffen wir uns?,Wo,Wo treffen wir uns?,Where are we meeting?
40,2,_____ ist die nächste U-Bahn-Station?,Wo,Wo ist die nächste U-Bahn-Station?,Where is the nearest subway station?
41,2,_____ Buch liest du?,Welches,Welches Buch liest du?,Which book are you reading?
42,2,_____ Tier ist das?,Welches,Welches Tier ist das?,Which animal is that?
43,2,_____ Auto gehört dir?,Welches,Welches Auto gehört dir?,Which car belongs to you?
44,2,_____ Getränk möchtest du?,Welches,Welches Getränk möchtest du?,Which drink would you like?
45,2,_____ Zimmer ist frei?,Welches,Welches Zimmer ist frei?,Which room is available?
46,2,_____ Farbe magst du?,Welche,Welche Farbe magst du?,Which color do you like?
47,2,_____ Stadt ist deine Lieblingsstadt?,Welche,Welche Stadt ist deine Lieblingsstadt?,Which city is your favorite?
48,2,_____ Blume ist das?,Welche,Welche Blume ist das?,Which flower is that?
49,2,_____ Straße ist das?,Welche,Welche Straße ist das?,Which street is that?
50,2,_____ Lampe gefällt dir am besten?,Welche,Welche Lampe gefällt dir am besten?,Which lamp do you like best?
51,2,_____ Tag ist heute?,Welcher,Welcher Tag ist heute?,Which day is today?
52,2,_____ Bus fährt zum Bahnhof?,Welcher,Welcher Bus fährt zum Bahnhof?,Which bus goes to the train station?
53,2,_____ Film läuft im Kino?,Welcher,Welcher Film läuft im Kino?,Which movie is playing in the cinema?
54,2,_____ Apfel ist süßer?,Welcher,Welcher Apfel ist süßer?,Which apple is sweeter?
55,2,_____ Lehrer unterrichtet Deutsch?,Welcher,Welcher Lehrer unterrichtet Deutsch?,Which teacher teaches German?
56,2,_____ Bücher liest du gern?,Welche,Welche Bücher liest du gern?,Which books do you like to read?
57,2,_____ Filme magst du?,Welche,Welche Filme magst du?,Which movies do you like?
58,2,_____ Sprachen sprichst du?,Welche,Welche Sprachen sprichst du?,Which languages do you speak?
59,2,_____ Tiere findest du interessant?,Welche,Welche Tiere findest du interessant?,Which animals do you find interesting?
60,2,_____ Farben gefallen dir?,Welche,Welche Farben gefallen dir?,Which colors do you like?
61,3,how much,wie viel,,
62,3,how many,wie viele,,
63,3,where to,wohin,,
64,3,where from,woher,,
65,3,since when,seit wann,,
66,3,until when,bis wann,,
67,3,from when,ab wann,,
68,3,how long,wie lange,,
69,3,how late,wie spät,,
70,3,how often,wie oft,,
71,4,_____ gehst du?,Wohin,Wohin gehst du?,Where are you going?
72,4,_____ fährt dieser Bus?,Wohin,Wohin fährt dieser Bus?,Where does this bus go?
73,4,_____ fliegst du in den Urlaub?,Wohin,Wohin fliegst du in den Urlaub?,Where are you flying for vacation?
74,4,_____ soll ich die Tasche stellen?,Wohin,Wohin soll ich die Tasche stellen?,Where should I put the bag?
75,4,_____ gehen wir heute Abend essen?,Wohin,Wohin gehen wir heute Abend essen?,Where are we going to eat tonight?
76,4,_____ kostet das Brot?,Wie viel,Wie viel kostet das Brot?,How much does the bread cost?
77,4,_____ Wasser trinkst du am Tag?,Wie viel,Wie viel Wasser trinkst du am Tag?,How much water do you drink per day?
78,4,_____ Mehl brauchst du?,Wie viel,Wie viel Mehl brauchst du?,How much flour do you need?
79,4,_____ Zucker soll ich in den Tee geben?,Wie viel,Wie viel Zucker soll ich in den Tee geben?,How much sugar should I put in the tea?
80,4,_____ Geld hast du dabei?,Wie viel,Wie viel Geld hast du dabei?,How much money do you have with you?
81,4,_____ kommst du?,Woher,Woher kommst du?,Where are you from?
82,4,_____ kennst du ihn?,Woher,Woher kennst du ihn?,Where do you know him from?
83,4,_____ hast du dieses Buch?,Woher,Woher hast du dieses Buch?,Where did you get this book from?
84,4,_____ weißt du das?,Woher,Woher weißt du das?,How do you know that? (Where do you know that from?)
85,4,_____ kommt dieser Lärm?,Woher,Woher kommt dieser Lärm?,Where is this noise coming from?
86,4,_____ Geschwister hast du?,Wie viele,Wie viele Geschwister hast du?,How many siblings do you have?
87,4,_____ Bücher hast du zu Hause?,Wie viele,Wie viele Bücher hast du zu Hause?,How many books do you have at home?
88,4,_____ Stunden arbeitest du am Tag?,Wie viele,Wie viele Stunden arbeitest du am Tag?,How many hours do you work per day?
89,4,_____ Eier sind im Kühlschrank?,Wie viele,Wie viele Eier sind im Kühlschrank?,How many eggs are in the fridge?
90,4,_____ Schüler sind in deiner Klasse?,Wie viele,Wie viele Schüler sind in deiner Klasse?,How many students are in your class?
91,4,_____ lernst du Deutsch?,Seit wann,Seit wann lernst du Deutsch?,Since when have you been learning German?
92,4,_____ wohnst du in dieser Stadt?,Seit wann,Seit wann wohnst du in dieser Stadt?,Since when have you been living in this city?
93,4,_____ arbeitest du in dieser Firma?,Seit wann,Seit wann arbeitest du in dieser Firma?,Since when have you been working at this company?
94,4,_____ kennst du ihn?,Seit wann,Seit wann kennst du ihn?,Since when have you known him?
95,4,_____ hast du ein Auto?,Seit wann,Seit wann hast du ein Auto?,Since when have you had a car?
96,4,_____ arbeitest du heute?,Bis wann,Bis wann arbeitest du heute?,Until when are you working today?
97,4,_____ bleibt das Museum geöffnet?,Bis wann,Bis wann bleibt das Museum geöffnet?,Until when is the museum open?
98,4,_____ muss ich das Formular abgeben?,Bis wann,Bis wann muss ich das Formular abgeben?,Until when do I have to submit the form?
99,4,_____ dauert der Kurs?,Bis wann,Bis wann dauert der Kurs?,Until when does the course last?
100,4,_____ bleibst du in Deutschland?,Bis wann,Bis wann bleibst du in Deutschland?,Until when are you staying in Germany?
101,4,_____ arbeitest du morgen?,Ab wann,Ab wann arbeitest du morgen?,From when are you working tomorrow?
102,4,_____ ist das Büro geöffnet?,Ab wann,Ab wann ist das Büro geöffnet?,From when is the office open?
103,4,_____ beginnt der Film?,Ab wann,Ab wann beginnt der Film?,From when does the movie start?
104,4,_____ kann man die Wohnung mieten?,Ab wann,Ab wann kann man die Wohnung mieten?,From when can one rent the apartment?
105,4,_____ gilt der neue Fahrplan?,Ab wann,Ab wann gilt der neue Fahrplan?,From when is the new schedule valid?
106,4,_____ lernst du schon Deutsch?,Wie lange,Wie lange lernst du schon Deutsch?,How long have you been learning German?
107,4,_____ dauert der Film?,Wie lange,Wie lange dauert der Film?,How long does the movie last?
108,4,_____ bleibst du im Urlaub?,Wie lange,Wie lange bleibst du im Urlaub?,How long are you staying on vacation?
109,4,_____ musst du noch arbeiten?,Wie lange,Wie lange musst du noch arbeiten?,How long do you still have to work?
110,4,_____ wohnst du schon hier?,Wie lange,Wie lange wohnst du schon hier?,How long have you been living here?
111,4,_____ ist es?,Wie spät,Wie spät ist es?,What time is it?
112,4,"Weißt du, _____ es ist?",wie spät,"Weißt du, wie spät es ist?",Do you know what time it is?
113,4,_____ beginnt der Unterricht?,Wie spät,Wie spät beginnt der Unterricht?,What time does the class start?
114,4,_____ kommt der Bus?,Wie spät,Wie spät kommt der Bus?,What time does the bus arrive?
115,4,_____ gehst du normalerweise ins Bett?,Wie spät,Wie spät gehst du normalerweise ins Bett?,What time do you usually go to bed?
116,4,_____ gehst du ins Fitnessstudio?,Wie oft,Wie oft gehst du ins Fitnessstudio?,How often do you go to the gym?
117,4,_____ siehst du deine Familie?,Wie oft,Wie oft siehst du deine Familie?,How often do you see your family?
118,4,_____ lernst du Deutsch pro Woche?,Wie oft,Wie oft lernst du Deutsch pro Woche?,How often do you study German per week?
119,4,_____ machst du Urlaub?,Wie oft,Wie oft machst du Urlaub?,How often do you go on vacation?
120,4,_____ kaufst du online ein?,Wie oft,Wie oft kaufst du online ein?,How often do you shop online?
121,5,whom (accusative),wen,,
122,5,to whom (dative),wem,,
123,5,whose (genitive),wessen,,
124,5,which (masculin accusative),welchen,,
125,5,which (masculin dative),welchem,,
