exercise,level_verb,Nr_verb,answer,question,german,english,french,type,prefix,level_root,root_german,root_english,root_french,explanation_prefix_english,explanation_prefix_french,explanation_english_beta,explanation_french_beta
1,A1,30,bekommen,,,"to receive, to catch (e.g. a cold), to sit well with someone","recevoir, attraper (par exemple un rhume), s'entendre avec quelqu'un",1. verb,be,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",,,,
1,A1,35,verstehen,,,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un",1. verb,ver,A1,stehen,"to stand, to be, to appear","être debout, apparaître",,,,
1,A1,40,anziehen,,,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",1. verb,an,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer","to add the meaning of <i>on</i>, of a contact → an",,,
1,A1,41,ausziehen,,,"to take something off, to undress, to pull out, to move out","enlever quelque chose, se déshabiller, se retirer, sortir",1. verb,aus,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer","to add the meaning of ""out"", to extend, to complete → aus",,"<br><br>to add the meaning of ""out"", to extend, to complete → aus",
1,A1,44,erzählen,,,"to tell, to narrate","raconter, narrer",1. verb,er,A2,zählen,to count,compter,,,,
1,A1,64,wiederholen,,,to repeat,répéter,1. verb,wieder,A2,holen,to fetch,aller chercher,,,,
1,A1,65,übersetzen,,,to translate,traduire,1. verb,über,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),to translate the prefix <i>trans-</i> → über,,,
1,A1,70,bezahlen,,,"to pay, to pay someone (transitive)","payer, payer quelqu'un (transitif)",1. verb,be,A1,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier",to make an intransitive verb transitive → be,,,
1,A1,77,verkaufen,,,to sell,vendre,1. verb,ver,A1,kaufen,to buy,acheter,,,,
1,A1,79,besuchen,,,to visit,visiter,1. verb,be,A1,suchen,"to seek, to search","chercher, rechercher",,,,
4,A2,81,erklären,,,"to explain, to declare, to assert","expliquer, déclarer, affirmer",1. verb,er,B2,klären,"to clarify, to resolve, to clear up","clarifier, résoudre, éclaircir",,,,
4,A2,84,versuchen,,,"to try, to attempt","essayer, tenter",1. verb,ver,A1,suchen,"to seek, to search","chercher, rechercher",,,,
4,A2,92,anrufen,,,"to call by telephone, to call on (someone)",appeler par téléphone,1. verb,an,B1,rufen,"to call, to shout, to summon","appeler, crier, convoquer","to add the meaning of <i>on</i>, of a contact → an",,,
4,A2,93,aufhören,,,"to stop, to cease an activity or process","arrêter, cesser une activité ou un processus",1. verb,auf,A1,hören,"to hear, to listen to","entendre, écouter",,,,
4,A2,94,anfangen,,,to begin something new,commencer quelque chose de nouveau,1. verb,an,B2,fangen,to catch,attraper,"to indicate the action is partial, beginning → an",,,
4,A2,96,benutzen,,,to use (transitive),utiliser (transitif),1. verb,be,B1,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de",to make an intransitive verb transitive → be,,,
4,A2,101,aufstehen,,,"to get up, to be open (e.g. a window, door)","se lever, être ouvert (par exemple une fenêtre, une porte)",1. verb,auf,A1,stehen,"to stand, to be, to appear","être debout, apparaître",to add the meaning of <i>up</i> → auf,,,
4,A2,102,aufwachen,,,to wake up,se réveiller,1. verb,auf,C1,wachen,"to wake, to guard, to be awake","veiller, réveiller, surveiller",to add the meaning of <i>up</i> → auf,,,
4,A2,103,wehtun,,,"to hurt, to be painful","blesser, être douloureux",1. verb,weh,A1,tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un",,,,
4,A2,111,einladen,,,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",1. verb,ein,B1,laden,"to load, to charge, to invite","charger, inviter","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
4,A2,116,aussehen,,,"to look like, to appear","paraître, ressembler, apparaître",1. verb,aus,A1,sehen,"to see, to realise","voir, se rendre compte","to add the meaning of ""out"", to extend, to complete → aus",,,
4,A2,118,fernsehen,,,to watch TV,regarder la télévision,1. verb,fern,A1,sehen,"to see, to realise","voir, se rendre compte","to add the meaning of <i>remotely</i>, <i>from afar</i> → fern",,,
4,A2,122,ausgehen,,,"to go out, to run out (e.g. of money)","sortir, être à court (par exemple d'argent)",1. verb,aus,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)","to add the meaning of ""out"", to extend, to complete → aus",,,
4,A2,124,ankommen,,,"to arrive, to depend on something","arriver, dépendre de quelque chose",1. verb,an,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire","to add the meaning of <i>on</i>, of a contact → an",,,
4,A2,126,anmelden,,,"to register, to sign up, to sign on",s'inscrire,1. verb,an,A2,melden,"to report, to register","signaler, enregistrer","to add the meaning of <i>on</i>, of a contact → an",,,
4,A2,128,verlassen,,,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir",1. verb,ver,A2,lassen,"to let, to leave, to allow","laisser, quitter, permettre",,,,
4,A2,138,vorstellen,,,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",1. verb,vor,A2,stellen,"to position, to put, to catch","positionner, mettre","to indicate that something is <i>in front</i>, a performance → vor",,,
4,A2,139,entscheiden,,,to decide,décider,1. verb,ent,B2,scheiden,"to separate, to divorce, to part","se séparer, divorcer",,,,
4,A2,148,empfehlen,,,"to recommend, to suggest","recommander, suggérer",1. verb,emp,A2,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant",,,,
4,A2,152,annehmen,,,"to accept, to assume (a hypothesis), to receive, to suppose","accepter, supposer (une hypothèse), recevoir",1. verb,an,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>on</i>, of a contact → an",,,
4,A2,153,aussteigen,,,"to exit, to get off","sortir, descendre",1. verb,aus,A2,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever","to add the meaning of ""out"", to extend, to complete → aus",,,
4,A2,154,einsteigen,,,"to enter, to get in, to board","entrer, monter à bord, embarquer",1. verb,ein,A2,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
4,A2,155,vorbereiten,,,"to prepare, to get ready, to prepare in advance",se préparer,1. verb,vor,C1,bereiten,"to prepare, to cause","préparer, provoquer","to add the meaning of <i>pre-</i>, that something is <i>before</i>, <i>in advance</i> → vor",,,
4,A2,156,umziehen,,,"to move (house), to change clothes","déménager, changer de vêtements",1. verb,um,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",to add the meaning of <i>around</i> → um,,,
4,A2,158,entdecken,,,"to discover, to find","découvrir, trouver",1. verb,ent,B2,decken,"to cover, to set (a table), to hedge","couvrir, dresser (une table), se protéger",,,,
7,B1,161,verändern,,,"to alter, to change something","modifier, changer quelque chose",1. verb,ver,A2,ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement),,,,
7,B1,162,stattfinden,,,"to take place, to occur","avoir lieu, se produire",1. verb,statt,A1,finden,to find,trouver,"to add the meaning of ""out"", to extend, to complete → aus",,,
7,B1,164,versprechen,,,"to promise, to hope for, to misspeak","promettre, espérer",1. verb,ver,A1,sprechen,to speak,parler (une langue),,,,
7,B1,165,erkennen,,,"to recognize, to realise","reconnaître, réaliser",1. verb,er,A1,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",,,,
7,B1,166,besitzen,,,"to own, to possess, to have","posséder, avoir",1. verb,be,A1,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester",,,,
7,B1,167,übernehmen,,,to take over,"prendre le relais, prendre le contrôle",1. verb,über,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>over</i>, to translate the prefix <i>sur</i> → über",,,
7,B1,168,enthalten,,,"to contain, to include","contenir, inclure",1. verb,ent,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
7,B1,174,erwarten,,,"to expect, to await",s'attendre à,1. verb,er,A1,warten,"to wait, to maintain (e.g. a car)","attendre, entretenir (par exemple une voiture)",,,,
7,B1,175,behalten,,,to keep,garder,1. verb,be,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
7,B1,176,verpassen,,,"to miss (to be late for something, e.g. a train)","manquer (être en retard pour quelque chose, par exemple un train)",1. verb,ver,A2,passen,"to fit, to suit","s'adapter, convenir",,,,
7,B1,180,befinden,,,"to be located (refl.), to find, to consider (formal)","être localisé (réfl.), trouver, considérer (formel)",1. verb,be,A1,finden,to find,trouver,,,,
