exercise,question,answer,german,english,french,explanation_english,explanation_french
1,,seiend,sein,to be,être,being,étant
1,,habend,haben,"to have, to contain","avoir, contenir",having,ayant
1,,werdend,werden,"to become, will, to be done (passive voice)",devenir,becoming,devenant
1,,könnend,können,"can, to be able to","pouvoir, être capable de",being able,"pouvant, étant capable"
1,,wollend,wollen,to want,vouloir,wanting,désirant
1,,müssend,müssen,"must, to have to, to be obliged (to do something)","devoir, être obligé (de faire quelque chose)","having to, being obliged to",devant
1,,sollend,sollen,"shall, to be asked to (do something), to be supposed to (do something)","devoir, être invité (à faire quelque chose)",being asked to,étant invité à
1,,mögend,mögen,to like,"aimer, apprécier",liking,aimant
1,,dürfend,dürfen,"to be allowed (to do something), may","être autorisé (à faire quelque chose), pouvoir",being allowed to,étant autorisé à
1,,wissend,wissen,"to know, to have knowledge",savoir,knowing,connaissant
1,,machend,machen,"to make, to prepare, to do","faire, préparer",making,fabriquant
1,,tuend,tun,"to do, to do something to someone","faire, faire quelque chose à quelqu'un",doing,faisant
1,,sagend,sagen,"to say, to tell","dire, raconter",saying,disant
1,,gehend,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",going,allant
1,,sehend,sehen,"to see, to realise","voir, se rendre compte",seeing,voyant
1,,gebend,geben,to give,donner,giving,donnant
1,,kommend,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",coming,venant
1,,glaubend,glauben,to believe,croire,believing,croyant
1,,redend,reden,to talk,"parler, discuter",talking,parlant
1,,hörend,hören,"to hear, to listen to","entendre, écouter",hearing,écoutant
2,,findend,finden,to find,trouver,finding,trouvant
2,,bleibend,bleiben,"to remain, to stay",rester,remaining,restant
2,,brauchend,brauchen,to need,avoir besoin,needing,"ayant besoin, nécessitant"
2,,liebend,lieben,to love,"aimer, être amoureux de",loving,aimant
2,,bringend,bringen,"to bring, to take, to lead","apporter, prendre, conduire",bringing,apportant
2,,stehend,stehen,"to stand, to be, to appear","être debout, apparaître",standing,debout
2,,heißend,heißen,"to be called, to mean",être appelé,being called,étant appelé
2,,nehmend,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",taking,prenant
2,,sprechend,sprechen,to speak,parler (une langue),speaking,parlant
2,,bekommend,bekommen,"to receive, to catch (e.g. a cold), to sit well with someone","recevoir, attraper (par exemple un rhume), s'entendre avec quelqu'un",getting,recevant
2,,vergessend,vergessen,"to forget, to leave (forget to take)",oublier,forgetting,oubliant
2,,haltend,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",holding,tenant
2,,wartend,warten,"to wait, to maintain (e.g. a car)","attendre, entretenir (par exemple une voiture)",waiting,attendant
2,,kennend,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",knowing,connaissant
2,,verstehend,verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un",understanding,comprenant
2,,denkend,denken,"to think, to consider","penser, considérer",thinking,pensant
2,,lebend,leben,to live,vivre,living,vivant
2,,arbeitend,arbeiten,to work,travailler,working,travaillant
2,,essend,essen,to eat,manger,eating,mangeant
2,,anziehend,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",offering,offrant
3,,ausziehend,ausziehen,"to take something off, to undress, to pull out, to move out","enlever quelque chose, se déshabiller, se retirer, sortir",getting dressed,s'habillant
3,,spielend,spielen,to play,jouer,undressing,se déshabillant
3,,fahrend,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire",playing,jouant
3,,erzählend,erzählen,"to tell, to narrate","raconter, narrer",driving,conduisant
3,,fragend,fragen,"to ask, to wonder (refl.)","demander, se demander (réfl.)",trying,essayant
3,,treffend,treffen,"to meet (refl.), to encounter (refl.), to hit, to affect","rencontrer (refl.), se rencontrer (refl.), heurter, frapper",telling,racontant
3,,hoffend,hoffen,to hope,espérer,asking,demandant
3,,suchend,suchen,"to seek, to search","chercher, rechercher",meeting,rencontrant
3,,trinkend,trinken,to drink,boire,hoping,espérant
3,,lernend,lernen,"to learn, to study, to train something","apprendre, étudier, se former à quelque chose",searching,cherchant
3,,zeigend,zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer",drinking,buvant
3,,schlafend,schlafen,to sleep,dormir,learning,apprenant
3,,kaufend,kaufen,to buy,acheter,showing,montrant
3,,laufend,laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)",sleeping,dormant
3,,zahlend,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier",buying,achetant
3,,kochend,kochen,"to cook, to boil (to heat a liquid), to boil something","cuire, faire bouillir (chauffer un liquide), faire bouillir quelque chose",walking,marchant
3,,waschend,waschen,to wash,laver,explaining,expliquant
3,,wohnend,wohnen,"to live, to reside, to dwell","vivre, résider, habiter",paying,payant
3,,schreibend,schreiben,to write,écrire,cooking,cuisant
3,,tragend,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir",washing,lavant
4,,ziehend,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",drawing,dessinant
4,,lesend,lesen,to read,lire,living,vivant
4,,kostend,kosten,"to cost, to taste",coûter,writing,écrivant
4,,wiederholend,wiederholen,to repeat,répéter,carrying,portant
4,,übersetzend,übersetzen,to translate,traduire,being interested,étant intéressé
4,,fühlend/sich fühlend,fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)",pulling,tirant
4,,regnend,regnen,to rain,pleuvoir,reading,lisant
4,,schneiend,schneien,to snow,neiger,costing,coûtant
4,,verlierend,verlieren,to lose,perdre,repeating,répétant
4,,bezahlend,bezahlen,"to pay, to pay someone (transitive)","payer, payer quelqu'un (transitif)",translating,traduisant
4,,öffnend,öffnen,to open,ouvrir,spelling,épelant
4,,beginnend,beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),signifying,voulant dire
4,,schließend,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",functioning,fonctionnant
4,,reisend,reisen,to travel,voyager,reminding,rappelant
4,,feiernd,feiern,to celebrate,célébrer,feeling,sentant
4,,helfend,helfen,to help,aider,raining,pleuvant
4,,verkaufend,verkaufen,to sell,vendre,snowing,neigeant
4,,schickend,schicken,to send,envoyer,leading,guidant
4,,besuchend,besuchen,to visit,visiter,happening,se produisant
