Nr,exercise,level,question,answer,german,english,french
1,1,A1,_____ Jahr,das,das Jahr,the year,l'année
2,1,A1,_____ Mal,das,das Mal,the time,le temps
3,1,A1,_____ Beispiel,das,das Beispiel,the example,l'exemple
4,1,A1,_____ Zeit,die,die Zeit,the time,le temps
5,1,A1,_____ Frau,die,die Frau,the woman,la femme
6,1,A1,_____ Mensch,der,der Mensch,the human being,l'être humain
7,1,A1,_____ Deutsch,das,das Deutsch,the German language,l'Allemand
8,1,A1,_____ Kind,das,das Kind,the child,l'enfant
9,1,A1,_____ Tag,der,der Tag,the day,le jour
10,1,A1,_____ Mann,der,der Mann,the man,l'homme
11,1,A1,_____ Land,das,das Land,the country,le pays
12,1,A1,_____ Frage,die,die Frage,the question,la question
13,1,A1,_____ Haus,das,das Haus,the house,la maison
14,1,A1,_____ Fall,der,der Fall,the case,l'affaire
15,1,A1,_____ Leute,die,die Leute,the people,le peuple
16,1,A1,_____ Arbeit,die,die Arbeit,the work,le travail
17,1,A1,_____ Prozent,das,das Prozent,the percent,le pourcentage
18,1,A1,_____ Hand,die,die Hand,the hand,la main
19,1,A1,_____ Stadt,die,die Stadt,the city,la ville
20,1,A1,_____ Herr,der,der Herr,"the gentleman, the lord","le monsieur, le seigneur"
21,2,A1,_____ Teil,der,der Teil,the part,la partie
22,2,A1,_____ Problem,das,das Problem,the problem,le problème
23,2,A1,_____ Welt,die,die Welt,the world,le monde
24,2,A1,_____ Recht,das,das Recht,the right,le droit
25,2,A1,_____ Ende,das,das Ende,the end,la fin
26,2,A1,_____ Million,die,die Million,the million,le million
27,2,A1,_____ Schule,die,die Schule,the school,l'école
28,2,A1,_____ Woche,die,die Woche,the week,la semaine
29,2,A1,_____ Vater,der,der Vater,the father,le père
30,2,A1,_____ Seite,die,die Seite,the page,la page
31,2,A1,_____ Leben,das,das Leben,the life,la vie
32,2,A1,_____ Mutter,die,die Mutter,the mother,la mère
33,2,A1,_____ Grund,der,der Grund,the reason,la raison
34,2,A1,_____ Auge,das,das Auge,the eye,l'œil
35,2,A1,_____ Wort,das,das Wort,the word,le mot
36,2,A1,_____ Geld,das,das Geld,the money,l'argent
37,2,A1,_____ Art,die,die Art,the type,le type
38,2,A1,_____ Bereich,der,der Bereich,the area,la région
39,2,A1,_____ Weg,der,der Weg,the way,le chemin
40,2,A1,_____ Stunde,die,die Stunde,the hour,l'heure
41,3,A1,_____ Name,der,der Name,the name,le nom
42,3,A1,_____ Geschichte,die,die Geschichte,the story,l'histoire
43,3,A1,_____ Gesellschaft,die,die Gesellschaft,the society,la société
44,3,A1,_____ Kopf,der,der Kopf,the head,la tête
45,3,A1,_____ Paar,das,das Paar,the couple,le couple
