Nr,level,level_verben,question,answer,case,german,english,complement
1,1,1 - 3 (A1),to work at,bei,D,arbeiten,,
2,1,1 - 3 (A1),to work on,an,D,arbeiten,,
3,1,1 - 3 (A1),to work as,als,-,arbeiten,,
4,1,1 - 3 (A1),to bring to,zu,-,bringen,,
5,1,1 - 3 (A1),to think of,an,A,denken,,
6,1,1 - 3 (A1),"to ask for, about",nach,D,fragen,,
7,1,1 - 3 (A1),to believe in,an,A,glauben,,
8,1,1 - 3 (A1),to hope for,auf,A,hoffen,,
9,1,1 - 3 (A1),to listen to,auf,A,hören,,
10,1,1 - 3 (A1),to be interested in,für,A,interessieren,,
11,1,1 - 3 (A1),to come from,aus,A,kommen,,
12,1,1 - 3 (A1),to come to,zu,D,kommen,,
13,1,1 - 3 (A1),to write about,über,A,schreiben,,
14,1,1 - 3 (A1),to write to,an,A / D,schreiben,,
15,1,1 - 3 (A1),to be against,gegen,A,sein,,
16,1,1 - 3 (A1),to be for,für,A,sein,,
17,1,1 - 3 (A1),to play with,mit,D,spielen,,
18,1,1 - 3 (A1),to speak with,mit,D,sprechen,,
19,1,1 - 3 (A1),to search for,nach,D,suchen,,
20,1,1 - 3 (A1),to meet for,zu,D,treffen,,
21,1,1 - 3 (A1),to meet with,mit,D,treffen,,
22,1,1 - 3 (A1),to translate from,aus,A,übersetzen,,
23,1,1 - 3 (A1),to translate into,in,A,übersetzen,,
24,1,1 - 3 (A1),to wait for,auf,A,warten,,
25,1,1 - 3 (A1),to change on,an,D,ändern,,
26,2,,Er arbeitet _____ einer großen Firma.,bei,,Er arbeitet bei einer großen Firma.,He works at a big company.,arbeiten
27,2,,Ich arbeite _____ Lidl als Verkäufer.,bei,,Ich arbeite bei Lidl als Verkäufer.,I work at Lidl as a salesperson.,arbeiten
28,2,,Sie arbeitet _____ einem neuen Projekt.,an,,Sie arbeitet an einem neuen Projekt.,She is working on a new project.,arbeiten
29,2,,Ich arbeite _____ meinem Deutsch.,an,,Ich arbeite an meinem Deutsch.,I am working on my German.,arbeiten
30,2,,Er arbeitet _____ Lehrer.,als,,Er arbeitet als Lehrer.,He works as a teacher.,arbeiten
31,2,,Ich arbeite _____ Kellnerin.,als,,Ich arbeite als Kellnerin.,I work as a waitress.,arbeiten
32,2,,Der Briefträger bringt das Paket _____ mir.,zu,,Der Briefträger bringt das Paket zu mir.,The postman brings the package to me.,bringen
33,2,,Ich bringe das Kind _____ der Schule.,zu,,Ich bringe das Kind zu der Schule.,I bring the child to school.,bringen
34,2,,Ich denke _____ meine Mutter.,an,,Ich denke an meine Mutter.,I think about my mother.,denken
35,2,,Er denkt oft _____ seinen Urlaub.,an,,Er denkt oft an seinen Urlaub.,He often thinks about his vacation.,denken
36,2,,Er fragt _____ dem Weg.,nach,,Er fragt nach dem Weg.,He asks for the way.,fragen
37,2,,Ich frage _____ dem Preis.,nach,,Ich frage nach dem Preis.,I ask for the price.,fragen
38,2,,Sie glaubt _____ Gott.,an,,Sie glaubt an Gott.,She believes in God.,glauben
39,2,,Ich glaube _____ meine Freunde.,an,,Ich glaube an meine Freunde.,I believe in my friends.,glauben
40,2,,Wir hoffen _____ gutes Wetter.,auf,,Wir hoffen auf gutes Wetter.,We hope for good weather.,hoffen
41,2,,Ich hoffe _____ eine gute Note.,auf,,Ich hoffe auf eine gute Note.,I hope for a good grade.,hoffen
42,2,,Das Kind hört _____ seine Mutter.,auf,,Das Kind hört auf seine Mutter.,The child listens to his mother.,hören
43,2,,Ich höre _____ den Lehrer.,auf,,Ich höre auf den Lehrer.,I listen to the teacher.,hören
44,2,,Ich interessiere mich _____ Geschichte.,für,,Ich interessiere mich für Geschichte.,I am interested in history.,interessieren
45,2,,Er interessiert sich _____ Musik.,für,,Er interessiert sich für Musik.,He is interested in music.,interessieren
46,2,,Ich komme _____ Deutschland.,aus,,Ich komme aus Deutschland.,I come from Germany.,kommen
47,2,,Sie kommt _____ Italien.,aus,,Sie kommt aus Italien.,She comes from Italy.,kommen
48,2,,Er kommt zu spät _____ der Schule.,zu,,Er kommt zu spät zu der Schule.,He comes late to school.,kommen
49,2,,Ich komme _____ deiner Party.,zu,,Ich komme zu deiner Party.,I come to your party.,kommen
50,2,,Ich schreibe _____ meine Familie.,über,,Ich schreibe über meine Familie.,I write about my family.,schreiben
51,2,,Er schreibt _____ seine Reise.,über,,Er schreibt über seine Reise.,He writes about his trip.,schreiben
52,2,,Ich schreibe einen Brief _____ meine Oma.,an,,Ich schreibe einen Brief an meine Oma.,I write a letter to my grandma.,schreiben
53,2,,Sie schreibt eine E-Mail _____ ihren Freund.,an,,Sie schreibt eine E-Mail an ihren Freund.,She writes an email to her boyfriend.,schreiben
54,2,,Ich bin _____ die Idee.,gegen,,Ich bin gegen die Idee.,I am against the idea.,sein
55,2,,Er ist _____ das neue Gesetz.,gegen,,Er ist gegen das neue Gesetz.,He is against the new law.,sein
56,2,,Ich bin _____ das neue Projekt.,für,,Ich bin für das neue Projekt.,I am for the new project.,sein
57,2,,Sie ist _____ eine längere Pause.,für,,Sie ist für eine längere Pause.,She is for a longer break.,sein
58,2,,Das Kind spielt _____ dem Ball.,mit,,Das Kind spielt mit dem Ball.,The child plays with the ball.,spielen
59,2,,Ich spiele _____ meinem Hund.,mit,,Ich spiele mit meinem Hund.,I play with my dog.,spielen
60,2,,Ich spreche _____ meinem Vater.,mit,,Ich spreche mit meinem Vater.,I talk with my father.,sprechen
61,2,,Sie spricht _____ ihrer Lehrerin.,mit,,Sie spricht mit ihrer Lehrerin.,She talks with her teacher.,sprechen
62,2,,Ich suche _____ meinem Handy.,nach,,Ich suche nach meinem Handy.,I am looking for my phone.,suchen
63,2,,Sie sucht _____ einem neuen Job.,nach,,Sie sucht nach einem neuen Job.,She is looking for a new job.,suchen
64,2,,Wir treffen uns _____ einem Kaffee.,zu,,Wir treffen uns zu einem Kaffee.,We meet for a coffee.,treffen
65,2,,Sie treffen sich _____ einer Besprechung.,zu,,Sie treffen sich zu einer Besprechung.,They meet for a meeting.,treffen
66,2,,Ich treffe mich _____ meiner Freundin.,mit,,Ich treffe mich mit meiner Freundin.,I meet with my girlfriend.,treffen
67,2,,Er trifft sich _____ seinen Kollegen.,mit,,Er trifft sich mit seinen Kollegen.,He meets with his colleagues.,treffen
