Nr,level,question,answer,german,english,case,complement,,
1,1,the memory of,an,die Erinnerung,,,,,31
2,1,the belief in,an,der Glaube,,,,,
3,1,the answer to,auf,die Antwort,,,,,
4,1,the concentration on,auf,die Konzentration,,,,,
5,1,the hope for,auf,die Hoffnung,,,,,
6,1,the translation from,aus,die Übersetzung,,,,,
7,1,the decision for,für,die Entscheidung,,,,,
8,1,the apology for,für,die Entschuldigung,,,,,
9,1,the concern for,für,die Sorge,,,,,
10,1,the decision against,gegen,die Entscheidung,,,,,
11,1,the protest against,gegen,der Protest,,,,,
12,1,the translation into,in,die Übersetzung,,,,,
13,1,the discussion with,mit,die Diskussion,,,,,
14,1,the game with,mit,das Spiel,,,,,
15,1,the conversation with,mit,das Gespräch,,,,,
16,1,the beginning with,mit,der Anfang,,,,,
17,1,the start with,mit,der Beginn,,,,,
18,1,the question about,nach,die Frage,,,,,
19,1,the search for,nach,die Suche,,,,,
20,1,the smell of,nach,der Geruch,,,,,
21,1,the anger about,über,der Ärger,,,,,
22,1,the happiness about,über,das Glück,,,,,
23,1,the discussion about,über,die Diskussion,,,,,
24,1,the conversation about,über,das Gespräch,,,,,
25,1,the request for (something),um,die Bitte,,,,,
26,1,the request to (someone),an,die Bitte,,,X,,
27,1,the concern for,um,die Sorge,,,,,
28,1,the dream of,von,der Traum,,,,,
29,1,the expectation of,von,die Erwartung,,,,,
30,1,the fear of,vor,die Angst,,,,,
31,1,the invitation to,zu,die Einladung,,,,,
32,2,Die Erinnerung _____ den Urlaub bleibt unvergesslich.,an,Die Erinnerung an den Urlaub bleibt unvergesslich.,The memory of the vacation remains unforgettable.,,Erinnerung,,
33,2,Seine Erinnerung _____ die Kindheit ist voller Freude.,an,Seine Erinnerung an die Kindheit ist voller Freude.,His memory of childhood is full of joy.,,Erinnerung,,
34,2,Der Glaube _____ seine Fähigkeiten gab ihm Kraft.,an,Der Glaube an seine Fähigkeiten gab ihm Kraft.,The belief in his abilities gave him strength.,,Glaube,,
35,2,Ihr Glaube _____ das Gute in Menschen ist beeindruckend.,an,Ihr Glaube an das Gute in Menschen ist beeindruckend.,Her belief in the good in people is impressive.,,Glaube,,
36,2,Die Antwort _____ seine Frage war überraschend.,auf,Die Antwort auf seine Frage war überraschend.,The answer to his question was surprising.,,Antwort,,
37,2,Ihre Antwort _____ die Kritik war sehr professionell.,auf,Ihre Antwort auf die Kritik war sehr professionell.,Her response to the criticism was very professional.,,Antwort,,
38,2,Die Konzentration _____ die Aufgabe ist entscheidend.,auf,Die Konzentration auf die Aufgabe ist entscheidend.,Concentration on the task is crucial.,,Konzentration,,
39,2,Ihre Konzentration _____ die Prüfungsvorbereitung war beeindruckend.,auf,Ihre Konzentration auf die Prüfungsvorbereitung war beeindruckend.,Her focus on exam preparation was impressive.,,Konzentration,,
40,2,Die Hoffnung _____ eine bessere Zukunft bleibt bestehen.,auf,Die Hoffnung auf eine bessere Zukunft bleibt bestehen.,The hope for a better future remains.,,Hoffnung,,
41,2,Sie setzt ihre Hoffnung _____ die nächste Generation.,auf,Sie setzt ihre Hoffnung auf die nächste Generation.,She places her hope in the next generation.,,Hoffnung,,
