Nr,exercise,level_verben,question,answer,german,english
1,1,,the tax,die Abgabe,die Gabe,the gift
2,1,,the input,die Eingabe,die Gabe,the gift
3,1,,"the output, the expense, the expenditure",die Ausgabe,die Gabe,the gift
4,1,,the guideline,die Vorgabe,die Gabe,the gift
5,1,,the task,die Aufgabe,die Gabe,the gift
6,1,,"the ascent, the rise",der Aufgang,der Gang,the walk
7,1,,"the passage, the transit",der Durchgang,der Gang,the walk
8,1,,"the decline, the downfall",der Niedergang,der Gang,the walk
9,1,,"the decline, the decrease",der Rückgang,der Gang,the walk
10,1,,"the process, the procedure",der Vorgang,der Gang,the walk
11,1,,"the access, the entrance",der Zugang,der Gang,the walk
12,1,,"the transition, the crossing",der übergang,der Gang,the walk
13,1,,"the downfall, the decline",der Untergang,der Gang,the walk
14,1,,"the exit, the outcome",der Ausgang,der Gang,the walk
15,1,,"the entrance, the entry",der Eingang,der Gang,the walk
16,1,,the outlook,der Ausblick,der Blick,the view
17,1,,the insight,der Einblick,der Blick,the view
18,1,,the overview,der überblick,der Blick,the view
19,1,,"the review, the retrospect",der Rückblick,der Blick,the view
20,1,,"the moment, the instant",der Augenblick,der Blick,the view
21,1,,the foresight,der Weitblick,der Blick,the view
22,1,,the sight,der Anblick,der Blick,the view
23,1,,"the understanding, the comprehension",der Durchblick,der Blick,the view
24,1,,the accident,der Umfall,der Fall,the case
25,1,,the coincidence,der Zufall,der Fall,the case
26,1,,"the waste, the garbage",der Abfall,der Fall,the case
27,1,,the emergency,der Notfall,der Fall,the case
28,1,,"the decay, the decomposition",der Zerfall,der Fall,the case
29,1,,the inscription,die Aufschrift,die Schrift,"the writing, the scripture"
30,1,,the handwriting,die Handschrift,die Schrift,"the writing, the scripture"
31,1,,the signature,die Unterschrift,die Schrift,"the writing, the scripture"
32,1,,the regulation,die Vorschrift,die Schrift,"the writing, the scripture"
33,1,,the departure,der Auszug,der Zug,"the train, the pull"
34,1,,the entry,der Einzug,der Zug,"the train, the pull"
35,1,,"the move, the relocation",der Umzug,der Zug,"the train, the pull"
36,1,,the suit,der Anzug,der Zug,"the train, the pull"
37,1,,the retreat,der Rückzug,der Zug,"the train, the pull"
38,1,,the perspective,der Aussicht,der Sicht,the view
39,1,,the view,der Ansicht,der Sicht,the view
40,1,,the overview,der übersicht,der Sicht,the view
41,1,,the insight,der Einsicht,der Sicht,the view
42,1,,the consideration,der Rücksicht,der Sicht,the view
43,2,,the uprising,der Aufstand,der Stand,the stand
44,2,,the condition,der Zustand,der Stand,the stand
45,2,,the resistance,der Widerstand,der Stand,the stand
46,2,,the distance,der Abstand,der Stand,the stand
47,2,,the wrong way,der Abweg,der Weg,the way
48,2,,the detour,der Umweg,der Weg,the way
49,2,,the way out,der Ausweg,der Weg,the way
50,2,,the way back,der Rückweg,der Weg,the way
51,2,,"the paragraph, the sales",der Absatz,der Satz,"the sentence, the clause"
52,2,,"the approach, the attempt",der Ansatz,der Satz,"the sentence, the clause"
53,2,,"the essay, the article",der Aufsatz,der Satz,"the sentence, the clause"
54,2,,"the commitment, the deployment",der Einsatz,der Satz,"the sentence, the clause"
55,2,,"the replacement, the substitute",der Ersatz,der Satz,"the sentence, the clause"
56,2,,"the principle, the tenet",der Grundsatz,der Satz,"the sentence, the clause"
57,2,,"the theorem, the proposition",der Lehrsatz,der Satz,"the sentence, the clause"
58,2,,"the postscript, the afterthought",der Nachsatz,der Satz,"the sentence, the clause"
59,2,,"the intention, the premiditation",der Vorsatz,der Satz,"the sentence, the clause"
60,2,,"the turnover, the sales",der Umsatz,der Satz,"the sentence, the clause"
61,2,,"the addition, the supplement",der Satz,der Satz,"the sentence, the clause"
62,2,,"the statement, the testimony",die Aussage,die Sage,"the sage, the tale, the legend"
63,2,,"the promise, the commitment",die Zusage,die Sage,"the sage, the tale, the legend"
64,2,,"the cancellation, the refusal",die Absage,die Sage,"the sage, the tale, the legend"
65,2,,"the decrease, the reduction",die Abnahme,die Nahme,the act of taking
66,2,,"the assumption, the hypothesis",die Annahme,die Nahme,the act of taking
67,2,,"the reception, the recoding, the admission",die Aufnahme,die Nahme,the act of taking
68,2,,the exception,die Ausnahme,die Nahme,the act of taking
69,2,,"the receipt, the revenue",die Einnahme,die Nahme,the act of taking
70,2,,"the removal, the withdrawal",die Entnahme,die Nahme,the act of taking
71,2,,"the acceptance, the takeover, the acquisition",die Übernahme,die Nahme,the act of taking
72,2,,the increase,die Zunahme,die Nahme,the act of taking
73,2,,"the discount, the rebate",der Abschlag,der Schlag,"the blow, the hit"
74,2,,"the attempt, the attack",der Anschlag,der Schlag,"the blow, the hit"
75,2,,the impact,der Aufschlag,der Schlag,"the blow, the hit"
76,2,,"the rash, the eruption",der Ausschlag,der Schlag,"the blow, the hit"
77,2,,"the impact, the wrapper",der Einschlag,der Schlag,"the blow, the hit"
78,2,,"the envelope, the wrapper",der Umschlag,der Schlag,"the blow, the hit"
79,2,,"the shed, the hutch",der Verschlag,der Schlag,"the blow, the hit"
80,2,,"the suggestion, the proposal",der Vorschlag,der Schlag,"the blow, the hit"
81,2,,"the extra fee, the bonus",der Zuschlag,der Schlag,"the blow, the hit"
82,3,A1,the work,die Arbeit,arbeiten,to work
83,3,A1,the thought,der Gedanke,denken,to think
84,3,A1,the monument,das Denkmal,denken,to think
85,3,A1,"the meal, the food",das Essen,essen,to eat
86,3,A1,the walk,der Gang,gehen,to go
87,3,A1,the belief,der Glaube,glauben,to believe
88,3,A1,the knowledge,die Kenntnis,kennen,to know (a person)
89,3,A1,the acquaintance,die Bekannte,kennen,to know (a person)
90,3,A1,the life,das Leben,leben,to live
91,3,A1,the love,die Liebe,lieben,to love
92,3,A1,the power,die Macht,machen,"to make, to do"
93,3,A1,the speech,die Rede,reden,to talk
94,3,A1,the sight,die Sicht,sehen,to see
95,3,A1,"the being, the existence",das Sein,sein,to be
96,3,A1,"the languge, the speech",die Sprache,sprechen,to speak
97,3,A1,the conversation,das Gespräch,sprechen,to speak
98,3,A1,"the action, the act",die Tat,tun,to do
99,3,A1,the understanding,das Verständnis,verstehen,to understand
100,3,A1,the mind,der Verstand,verstehen,to understand
101,3,A1,the wait,das Warten,warten,to wait
102,3,A1,the knowledge,das Wissen,wissen,to know
103,3,A1,the science,die Wissenschaft,wissen,to know
104,3,A1,the scientist,der Wissenschaftler,wissen,to know
105,3,A1,the will,der Wille,wollen,to want
106,3,A1,the meaning,die Bedeutung,bedeuten,to mean
107,3,A1,the spelling,das Buchstabieren,buchstabieren,to spell
108,3,A1,the memory,die Erinnerung,erinnern,to remember
109,3,A1,the explanation,die Erklärung,erklären,to explain
110,3,A1,the narration,die Erzählung,erzählen,to tell
111,3,A1,the drive,die Fahrt,fahren,to drive
112,3,A1,the question,die Frage,fragen,to ask
113,3,A1,the feeling,das Gefühl,fühlen,to feel
114,3,A1,the leadership,die Führung,führen,to lead
115,3,A1,the functionality,die Funktion,funktionieren,to function
116,3,A1,the hope,die Hoffnung,hoffen,to hope
117,3,A1,the interest,das Interesse,interessieren,to be interested
118,3,A1,the purchase,der Kauf,kaufen,to buy
119,3,A1,the cost,der Preis,kosten,to cost
120,3,A1,the run,der Lauf,laufen,to run
121,3,A1,the rain,der Regen,regnen,to rain
122,3,A1,the sleep,der Schlaf,schlafen,to sleep
123,3,A1,the snow,der Schnee,schneien,to snow
124,3,A1,the game,das Spiel,spielen,to play
125,3,A1,the search,die Suche,suchen,to search
126,3,A1,the meeting,das Treffen,treffen,to meet
127,3,A1,the drink,das Getränk,trinken,to drink
128,3,A1,the translation,die Übersetzung,übersetzen,to translate
129,3,A1,the attempt,der Versuch,versuchen,to try
130,3,A1,the repetition,die Wiederholung,wiederholen,to repeat
131,3,A1,the residence,der Wohnsitz,wohnen,to live
132,4,A1,the apartment,die Wohnung,wohnen,to live
133,4,A1,the payment,die Zahlung,zahlen,to pay
134,4,A1,the drawing,die Zeichnung,zeichnen,to draw
135,4,A1,the train,der Zug,ziehen,to pull
136,4,A1,the change,die Änderung,ändern,to change
137,4,A1,the beginning,der Anfang,anfangen,to begin
138,4,A1,the call,der Anruf,anrufen,to call (on phone)
139,4,A1,the view,die Ansicht,ansehen,to look at
140,4,A1,the appearance,das Aussehen,aussehen,to look like (appearance)
141,4,A1,the view,die Aussicht,aussehen,to look like
142,4,A1,the appearance,das Aussehen,aussehen,to look like
143,4,A1,the beginning,der Beginn,beginnen,to begin
144,4,A1,the use,die Benutzung,benutzen,to use
145,4,A1,the determination,die Bestimmung,bestimmen,to determine
146,4,A1,the visit,der Besuch,besuchen,to visit
147,4,A1,the payment,die Bezahlung,bezahlen,to pay
148,4,A1,the invitation,die Einladung,einladen,to invite
149,4,A1,the television,das Fernsehen,fernsehen,to watch TV
150,4,A1,"the result, the consequence",die Folge,folgen,to follow
151,4,A1,the joy,die Freude,freuen,to be happy
152,4,A1,the pleasure,das Gefallen,gefallen,to please
153,4,A1,"the belonging, the affiliation",die Zugehörigkeit,gehören,to belong
154,4,A1,the victory,der Gewinn,gewinnen,to win
155,4,A1,the retrieval,das Holen,holen,to fetch
156,4,A1,the laughter,das Lachen,lachen,to laugh
157,4,A1,the placement,das Legen,legen,to lay
158,4,A1,the position,die Lage,liegen,to lie (down)
159,4,A1,the opening,die Öffnung,öffnen,to open
160,4,A1,the attempt,die Probe,probieren,to try
161,4,A1,the show,der Schau,schauen,to show
162,4,A1,the appearance,der Schein,scheinen,to seem
163,4,A1,the closure,die Schließung,schliessen,to close
164,4,A1,the castle,der Schloss,schliessen,to close
165,4,A1,the key,der Schlüssel,schliessen,to close
166,4,A1,the seat,der Sitz,sitzen,to sit
167,4,A1,"the spot, the position (work)",die Stelle,stellen,to place
168,4,A1,"the placement, the position",die Stellung,stellen,to place
169,4,A1,the dream,der Traum,träumen,to dream
170,4,A1,the sale,der Verkauf,verkaufen,to sell
171,4,A1,the loss,der Verlust,verlieren,to lose
172,4,A1,the wish,der Wunsch,wünschen,to wish
173,5,A2,the arrival,die Ankunft,ankommen,to arrive
174,5,A2,the registration,die Anmeldung,anmelden,to register
175,5,A2,the answer,die Antwort,antworten,to answer
176,5,A2,the construction,der Bau,bauen,to build
177,5,A2,the building,das Gebäude,bauen,to build
178,5,A2,the movement,die Bewegung,bewegen,to move
179,5,A2,the break,der Bruch,brechen,to break
180,5,A2,the duration,die Dauer,dauern,to last
181,5,A2,the decision,die Entscheidung,entscheiden,to decide
182,5,A2,the recognition,die Erkenntnis,erkennen,to recognize
183,5,A2,the absence,das Fehlen,fehlen,to lack
184,5,A2,"the mistake, the fault",der Fehler,fehlen,to miss
185,5,A2,the celebration,die Feier,feiern,to celebrate
186,5,A2,the suspension,das Hängen,hängen,to hang
187,5,A2,the help,die Hilfe,helfen,to help
188,5,A2,the fight,der Kampf,kämpfen,to fight
189,5,A2,the permission,das Lassen,lassen,to let
190,5,A2,the report,die Meldung,melden,to report
191,5,A2,"the rent, the rental",die Miete,mieten,to rent
192,5,A2,the smoke,der Rauch,rauchen,to smoke
193,5,A2,the journey,die Reise,reisen,to travel
194,5,A2,"the care, the concern",die Sorge,sorgen,to care
195,5,A2,the theft,der Diebstahl,stehlen,to steal
196,5,A2,the division,die Teilung,teilen,to share
197,5,A2,the surprise,die Überraschung,überraschen,to surprise
198,5,A2,the signature,die Unterschrift,unterschreiben,to sign
199,5,A2,the marriage,die Verheiratung,verheiraten,to be married
200,5,A2,the promise,das Versprechen,versprechen,to promise
201,5,A2,the trust,das Vertrauen,vertrauen,to trust
202,5,A2,the introduction,die Vorstellung,vorstellen,to introduce
203,5,A2,the choice,die Wahl,wählen,to choose
204,5,A2,the throw,der Wurf,werfen,to throw
205,5,A2,the number,die Zahl,zählen,to count
206,5,A2,the agreement,die Zustimmung,zustimmen,to agree
207,5,A2,the submission,die Abgabe,abgeben,to hand over
208,5,A2,the respect,die Achtung,achten,to respect
209,5,A2,the acceptance,die Annahme,annehmen,to accept
210,5,A2,the position,das Befinden,befinden,to be located
211,5,A2,the possession,der Besitz,besitzen,to own
212,5,A2,the offer,das Angebot,bieten,to offer
213,5,A2,the request,die Bitte,bitten,to ask (for)
214,5,A2,the service,der Dienst,dienen,to serve
215,5,A2,the turn,die Drehung,drehen,to turn
216,5,A2,the pressure,der Druck,drücken,to press
217,5,A2,the end,das Ende,enden,to end
218,5,A2,the content,der Inhalt,enthalten,to contain
219,5,A2,the expectation,die Erwartung,erwarten,to expect
220,5,A2,the fall,der Fall,fallen,to fall
221,5,A2,the catch,der Fang,fangen,to catch
222,5,A2,the guess,der Rat,raten,to guess
223,6,A2,the estimation,die Schätzung,schätzen,to estimate
224,6,A2,the gift,das Geschenk,schenken,to give (a gift)
225,6,A2,the protection,der Schutz,schützen,to protect
226,6,A2,the jump,der Sprung,springen,to jump
227,6,A2,the disturbance,die Störung,stören,to disturb
228,6,A2,the death,der Tod,töten,to kill
229,6,A2,"the take over, the assumption",die Übernahme,übernehmen,"to take over, to assume"
230,6,A2,the modification,die Veränderung,verändern,to alter
231,6,A2,the prohibition,das Verbot,verbieten,to forbid
232,6,A2,the comparison,der Vergleich,vergleichen,to compare
233,6,A2,the injury,die Verletzung,verletzen,to injure
234,6,A2,the miss,das Verpassen,verpassen,to miss (an event)
235,6,A2,the disappearance,das Verschwinden,verschwinden,to disappear
236,6,A2,the growth,das Wachstum,wachsen,to grow
237,6,A2,the cry,das Weinen,weinen,to cry
238,6,A2,the destruction,die Zerstörung,zerstören,to destroy
239,6,A2,the pickup,die Abholung,abholen,to pick up
240,6,A2,the cancellation,die Absage,absagen,to cancel
241,6,A2,the annoyance,der Ärger,ärgern,to annoy
242,6,A2,the representation,die Darstellung,darstellen,to represent
243,6,A2,the removal,die Entfernung,entfernen,to remove
244,6,A2,"the preservation, the receipt",der Erhalt,erhalten,"to receive, to preserve"
245,6,A2,the permission,die Erlaubnis,erlauben,to allow
246,6,A2,the adulthood,das Erwachsenenalter,erwachsen,to grow up
247,6,A2,the adult,der Erwachsene,erwachsen,to grow up
248,6,A2,the grip,der Griff,greifen,to grab
