Nr,level,question,english_verb,answer,english
1,1,sein,to be,seiend,being
2,1,haben,"to have, to contain",habend,having
3,1,werden,"to become, will, to be done (passive voice)",werdend,becoming
4,1,können,"can, to be able to",könnend,being able
5,1,wollen,to want,wollend,wanting
6,1,müssen,"must, to have to, to be obliged (to do something)",müssend,must
7,1,sollen,"shall, to be asked (to do something)",sollend,should
8,1,mögen,to like,mögend,liking
9,1,dürfen,"to be allowed (to do something), may",dürfend,may
10,1,wissen,to know,wissend,knowing
11,1,machen,"to make, to prepare (e.g. food), to do",machend,making
12,1,tun,"to do, to do something to someone",tuend,doing
13,1,sagen,"to say, to tell",sagend,saying
14,1,gehen,"to go, to leave, to work, to function (coll.)",gehend,going
15,1,sehen,"to see, to see (to something), to realise",sehend,seeing
16,1,geben,to give,gebend,giving
17,1,kommen,"to come, to make it (e.g. over something), to go to, to occur",kommend,coming
18,1,glauben,to believe,glaubend,believing
19,1,reden,to talk,redend,happening
20,1,hören,"to hear, to listen to",hörend,talking
21,1,finden,to find,findend,hearing
22,1,bleiben,"to remain, to stay",bleibend,finding
23,1,brauchen,to need,brauchend,remaining
24,1,lieben,to love,liebend,needing
25,1,bringen,"to bring, to take, to lead",bringend,loving
26,1,stehen,"to stand, to be, to appear",stehend,bringing
27,1,heissen,"to be called, to mean",heissend,standing
28,1,nehmen,"to take, to cause oneself to be (in some state)",nehmend,welcoming
29,1,sprechen,to speak,sprechend,taking
30,1,bekommen,"to receive, to catch (e.g. a cold), to sit well with someone",bekommend,speaking
31,1,vergessen,"to forget, to leave (forget to take)",vergessend,getting
32,1,halten,"to hold, to stop (a movement), to support, to keep",haltend,forgetting
33,1,warten,"to wait, to maintain (e.g. a car)",wartend,holding
34,1,kennen,"to know, to be acquainted with, to be familiar with",kennend,waiting
35,1,verstehen,"to understand, to get along with someone/something",verstehend,knowing
36,1,denken,"to think, to consider",denkend,understanding
37,1,leben,to live,lebend,thinking
38,1,arbeiten,to work,arbeitend,living
39,1,essen,to eat,essend,working
40,1,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)",bietend,eating
41,2,aufstehen,"to get up, to be open (e.g. a window, door)",aufstehend,standing
42,2,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull",anziehend,attracting
43,2,ausziehen,"to take something off, to undress, to pull out, to move out",ausziehend,taking holding
44,2,spielen,to play,spielend,playing
45,2,fahren,"to go (by vehicle), to leave, to drive",fahrend,driving
46,2,versuchen,to try,versuchend,trying
