Nr,exercise,level,level_adjektive,level_verb,question,answer,german,english,root_english,french,root_french,adjective_german,adjective_english,adjective_french,verb_german,verb_english,verb_french
1,1,A2,A2,A1,mögen,möglich,,"possible, likely",to like,possible,"aimer, apprécier",möglich,"possible, likely",possible,mögen,to like,"aimer, apprécier"
2,1,A2,A2,A1,kosten,kostenlos,,free of charge,"to cost, to taste",gratuit,coûter,kostenlos,free of charge,gratuit,kosten,"to cost, to taste",coûter
3,1,A2,A2,A1,interessieren,interessant,,interesting,"to interest, to be interested in (refl.)",intéressant,"intéresser, être intéressé par (réfl.)",interessant,interesting,intéressant,interessieren,"to interest, to be interested in (refl.)","intéresser, être intéressé par (réfl.)"
4,1,A2,A2,A2,veröffentlichen,öffentlich,,public,"to publish, to release",publique,"publier, diffuser",öffentlich,public,publique,veröffentlichen,"to publish, to release","publier, diffuser"
5,1,B1,A1,B1,richten,richtig,,"right, correct","to direct, to adjust, to focus, to judge","correct, juste","diriger, ajuster, focaliser, juger",richtig,"right, correct","correct, juste",richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger"
6,1,B1,A1,B1,erhöhen,hoch,,high,"to increase, to raise, to enhance",haut,"augmenter, élever, rehausser",hoch,high,haut,erhöhen,"to increase, to raise, to enhance","augmenter, élever, rehausser"
7,1,B1,A1,B1,erweitern,weit,,far,"to expand, to broaden, to widen, to extend",loin,"étendre, élargir, étendre",weit,far,loin,erweitern,"to expand, to broaden, to widen, to extend","étendre, élargir, étendre"
8,1,B1,A2,B1,klären,klar,,clear,"to clarify, to resolve, to clear up",clair,"clarifier, résoudre, éclaircir",klar,clear,clair,klären,"to clarify, to resolve, to clear up","clarifier, résoudre, éclaircir"
9,1,B1,A2,B1,sichern,sicher,,"safe, secure","to secure, to safeguard, to back up","sûr, sécurisé","sécuriser, sauvegarder",sicher,"safe, secure","sûr, sécurisé",sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder"
10,1,B1,B1,B1,nutzen,nutzlos,,useless,"to use, to utilize, to benefit from",inutile,"utiliser, exploiter, bénéficier de",nutzlos,useless,inutile,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de"
11,1,B1,B1,B1,nutzen,nützlich,,useful,"to use, to utilize, to benefit from",utile,"utiliser, exploiter, bénéficier de",nützlich,useful,utile,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de"
12,1,B1,B1,B1,töten,tot,,dead,"to kill, to slay",mort,"tuer, égorger",tot,dead,mort,töten,"to kill, to slay","tuer, égorger"
13,1,B1,B1,A1,lieben,lieb,,lovely,to love,"cher, gentil","aimer, être amoureux de",lieb,lovely,"cher, gentil",lieben,to love,"aimer, être amoureux de"
